absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,1896,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01001,2020-11-04T10:43:23Z,R+45,Trump +45,44.55299,republican,Autauga,19,,,19,25781,2,27639,7450,7450,346,346,19764,19764,158,0,0,0,0
some,6293,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01003,2020-11-04T10:43:23Z,R+54,Trump +54,53.8905,republican,Baldwin,51,,,51,106641,4,108945,24344,24344,1221,1221,83055,83055,650,0,0,0,0
all,1554,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01005,2020-11-04T10:43:23Z,R+8,Trump +8,7.96596,republican,Barbour,17,,,15,10457,6,10457,4772,4772,68,68,5605,5605,24,0,0,0,0
some,410,"As a precinct in the FIRST cumulative report, along with regular precincts",,571,100,>98% reported,edison,>98%,01007,2020-11-04T10:43:23Z,R+58,Trump +58,57.72485,republican,Bibb,10,,,10,9104,2,9573,1982,2197,73,77,7508,7860,20,215,4,352,0
all,1181,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01009,2020-11-04T10:43:23Z,R+80,Trump +80,80.00291,republican,Blount,25,,,24,27459,6,27459,2627,2627,209,209,24595,24595,56,0,0,0,0
none,557,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01011,2020-11-04T10:43:23Z,D+50,Biden +50,49.88051,democrat,Bullock,16,,,14,4603,6,4603,3439,3439,19,19,1143,1143,4,0,0,0,0
all,4735,Released as a precinct as first report of the night,,1053,100,>98% reported,edison,>98%,01013,2020-11-04T10:43:24Z,R+16,Trump +16,15.79337,republican,Butler,23,,,22,9466,6,9466,3953,4569,59,67,5448,5877,12,616,8,429,0
unknown,1917,Released with cumulative results periodically election night,,0,100,>98% reported,edison,>98%,01015,2020-11-04T10:43:24Z,R+39,Trump +39,39.11081,republican,Calhoun,45,,,43,49412,2,50743,15118,15118,548,548,34964,34964,226,0,0,0,0
unknown,883,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01017,2020-11-04T10:43:25Z,R+16,Trump +16,15.66573,republican,Chambers,21,,,21,15083,2,15269,6356,6356,140,140,8748,8748,50,0,0,0,0
all,800,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01019,2020-11-04T10:43:26Z,R+73,Trump +73,72.8554,republican,Cherokee,24,,,24,12275,6,12275,1619,1619,82,82,10562,10562,24,0,0,0,0
some,1819,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,98,98% reported,edison,98%,01021,2020-11-04T10:43:27Z,R+67,Trump +67,67.47664,republican,Chilton,19,,,18,19581,2,19260,3056,3056,123,123,16052,16052,58,0,0,0,0
unknown,1080,Released as a separate subtotal in the middle of the tabulation,,0,100,>98% reported,edison,>98%,01023,2020-11-04T21:08:10Z,R+16,Trump +16,15.65474,republican,Choctaw,35,,,32,7198,2,7461,3126,3126,38,38,4294,4294,6,0,0,0,0
all,1469,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,01025,2020-11-04T10:43:28Z,R+12,Trump +12,12.05923,republican,Clarke,21,,,19,12512,4,13102,5730,5730,48,48,7310,7310,28,0,0,0,0
all,950,Released as a separate subtotal as first report of the night,,557,100,>98% reported,edison,>98%,01027,2020-11-04T20:19:07Z,R+63,Trump +63,62.59222,republican,Clay,16,,,15,6904,6,6913,1262,1439,53,57,5589,5965,18,177,4,376,0
all,483,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01029,2020-11-04T10:43:29Z,R+80,Trump +80,80.44383,republican,Cleburne,16,,,16,6068,6,7210,672,672,58,58,6472,6472,16,0,0,0,0
all,1406,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01031,2020-11-04T10:43:29Z,R+53,Trump +53,53.11993,republican,Coffee,31,,,30,22180,6,22180,5050,5050,262,262,16832,16832,72,0,0,0,0
all,1442,Released as a precinct as first report of the night,,1510,100,>98% reported,edison,>98%,01033,2020-11-04T10:43:29Z,R+42,Trump +42,41.56802,republican,Colbert,35,,,31,24668,6,24668,7057,7932,239,253,17311,17925,129,875,14,614,7
all,526,Released as a precinct in the middle of the night,,0,100,>98% reported,edison,>98%,01035,2020-11-04T10:43:30Z,R+8,Trump +8,7.54012,republican,Conecuh,28,,,24,6419,6,6419,2951,2951,32,32,3435,3435,2,0,0,0,0
all,288,Released as a precinct as first report of the night,,364,100,>98% reported,edison,>98%,01037,2020-11-04T10:43:32Z,R+33,Trump +33,33.47953,republican,Coosa,13,,,12,5439,4,5472,1794,1957,46,46,3626,3827,12,163,0,201,0
all,1227,Released as a precinct as first report of the night,,1521,100,>98% reported,edison,>98%,01039,2020-11-04T10:43:32Z,R+68,Trump +68,68.10196,republican,Covington,25,,,24,17418,6,17418,2717,3213,97,109,14579,15590,52,496,12,1011,2
