absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,jonesd__total_count,democrat__total_count,tubervillet__total_count,republican__total_count,write-ins__total_count,jonesd__absentee_count,tubervillet__absentee_count,write-ins__absentee_count
unknown,1896,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01001,2020-11-04T10:43:59Z,R+40,Tuberville +40,40.2676,republican,Autauga,19,,,19,25781,2,27578,8215,8215,19320,19320,86,0,0,0
some,6293,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01003,2020-11-04T10:43:59Z,R+47,Tuberville +47,47.02855,republican,Baldwin,51,,,51,106641,4,108617,28656,28656,79737,79737,448,0,0,0
all,1554,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01005,2020-11-04T10:43:59Z,R+4,Tuberville +4,4.39582,republican,Barbour,17,,,15,10457,6,10419,4976,4976,5434,5434,18,0,0,0
unknown,410,"As a precinct in the FIRST cumulative report, along with regular precincts",,570,100,>98% reported,edison,>98%,01007,2020-11-04T10:44:00Z,R+53,Tuberville +53,53.03902,republican,Bibb,10,,,10,9104,2,9559,2236,2470,7306,7642,34,234,336,0
all,1181,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01009,2020-11-04T10:44:00Z,R+76,Tuberville +76,75.88764,republican,Blount,25,,,24,27459,6,27376,3274,3274,24049,24049,106,0,0,0
none,557,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01011,2020-11-04T10:44:00Z,D+52,Jones +52,51.81878,democrat,Bullock,16,,,14,4603,6,4591,3484,3484,1105,1105,4,0,0,0
all,4735,Released as a precinct as first report of the night,,1045,99,>98% reported,edison,>98%,01013,2020-11-04T10:44:01Z,R+11,Tuberville +11,11.07924,republican,Butler,23,,,22,9466,6,9414,4180,4806,5223,5642,22,626,419,0
unknown,1917,Released with cumulative results periodically election night,,0,100,>98% reported,edison,>98%,01015,2020-11-04T10:44:01Z,R+34,Tuberville +34,33.79533,republican,Calhoun,45,,,42,49412,2,50578,16704,16704,33797,33797,154,0,0,0
unknown,883,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01017,2020-11-04T15:24:02Z,R+9,Tuberville +9,9.25816,republican,Chambers,21,,,21,15083,2,15219,6898,6898,8307,8307,28,0,0,0
all,800,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01019,2020-11-04T10:43:23Z,R+65,Tuberville +65,65.42048,republican,Cherokee,24,,,24,12275,6,12224,2105,2105,10102,10102,34,0,0,0
some,1819,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,98,98% reported,edison,98%,01021,2020-11-04T10:43:23Z,R+64,Tuberville +64,63.58517,republican,Chilton,19,,,18,19581,2,19179,3481,3481,15676,15676,44,0,0,0
unknown,1080,Released as a separate subtotal in the middle of the tabulation,,0,100,>98% reported,edison,>98%,01023,2020-11-04T21:08:09Z,R+13,Tuberville +13,13.00418,republican,Choctaw,35,,,32,7198,2,7413,3223,3223,4187,4187,6,0,0,0
all,1469,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,01025,2020-11-04T10:43:23Z,R+8,Tuberville +8,8.06439,republican,Clarke,21,,,19,12512,4,13045,5992,5992,7044,7044,18,0,0,0
all,950,Released as a separate subtotal as first report of the night,,548,100,>98% reported,edison,>98%,01027,2020-11-04T20:19:27Z,R+58,Tuberville +58,58.19898,republican,Clay,16,,,15,6904,6,6885,1435,1630,5442,5795,16,195,353,0
all,483,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01029,2020-11-04T10:43:24Z,R+76,Tuberville +76,76.46812,republican,Cleburne,16,,,15,6068,6,7152,839,839,6308,6308,10,0,0,0
all,1406,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01031,2020-11-04T10:43:25Z,R+48,Tuberville +48,48.05506,republican,Coffee,31,,,29,22180,6,22083,5723,5723,16335,16335,50,0,0,0
