absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,de_la_fuenter__total_count,Ali__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,venturaj__total_count,green__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,de_la_fuenter__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,venturaj__absentee_count,write-ins__absentee_count
unknown,4000,Released as a separate subtotal as first report of the night,,955,56,56% reported,edison,56%,02901,2020-11-04T10:43:52Z,R+14,Trump +14,14.0908,republican,ED 1,9,,,5,7634,2,4251,1723,2276,17,21,2,2,140,154,19,20,2322,2700,28,33,0,553,4,0,14,1,378,5,0
unknown,4000,Released as a separate subtotal as first report of the night,,1369,47,47% reported,edison,47%,02910,2020-11-04T10:44:01Z,R+61,Trump +61,60.82685,republican,ED 10,11,,,5,10396,2,4886,863,1160,7,8,1,1,139,164,10,12,3835,4877,31,33,0,297,1,0,25,2,1042,2,0
unknown,4000,Released as a separate subtotal as first report of the night,,2441,47,47% reported,edison,47%,02911,2020-11-04T10:44:01Z,R+47,Trump +47,47.1709,republican,ED 11,9,,,4,11142,2,5196,1289,2095,8,11,2,2,119,164,6,6,3740,5316,32,43,0,806,3,0,45,0,1576,11,0
unknown,4000,Released as a separate subtotal as first report of the night,,1365,21,21% reported,edison,21%,02912,2020-11-04T10:44:02Z,R+56,Trump +56,55.91165,republican,ED 12,7,,,1,10974,2,2309,482,842,5,7,0,0,39,60,3,3,1773,2752,7,10,0,360,2,0,21,0,979,3,0
unknown,4000,Released as a separate subtotal as first report of the night,,281,43,43% reported,edison,43%,02913,2020-11-04T10:44:03Z,R+48,Trump +48,47.90957,republican,ED 13,6,,,3,7513,2,3229,752,880,10,10,3,3,137,143,10,10,2299,2445,18,19,0,128,0,0,6,0,146,1,0
unknown,4000,Released as a separate subtotal as first report of the night,,0,34,34% reported,edison,34%,02914,2020-11-04T10:44:04Z,R+52,Trump +52,51.90123,republican,ED 14,7,,,2,11983,2,4050,882,882,16,16,2,2,143,143,5,5,2984,2984,18,18,0,0,0,0,0,0,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,477,38,38% reported,edison,38%,02915,2020-11-04T10:44:05Z,R+15,Trump +15,14.98401,republican,ED 15,5,,,2,5729,2,2189,879,1127,2,2,3,3,74,83,8,8,1207,1427,16,16,0,248,0,0,9,0,220,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,223,36,36% reported,edison,36%,02916,2020-11-04T10:44:06Z,R+17,Trump +17,17.1737,republican,ED 16,7,,,3,8551,2,3057,1196,1362,9,10,3,3,96,101,7,7,1721,1772,25,25,0,166,1,0,5,0,51,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,755,32,32% reported,edison,32%,02917,2020-11-04T10:43:23Z,R+0.20,Trump +0.20,0.20024,republican,ED 17,7,,,2,7806,2,2497,1192,1661,6,8,0,0,62,72,6,6,1197,1466,34,39,0,469,2,0,10,0,269,5,0
unknown,4000,Released as a separate subtotal as first report of the night,,1225,35,35% reported,edison,35%,02918,2020-11-04T10:43:23Z,D+10,Biden +10,9.54147,democrat,ED 18,10,,,3,8512,2,2966,1576,2361,10,13,2,3,46,56,6,7,1293,1709,33,42,0,785,3,1,10,1,416,9,0
unknown,4000,Released as a separate subtotal as first report of the night,,533,49,49% reported,edison,49%,02919,2020-11-04T10:43:23Z,D+4,Biden +4,3.57808,democrat,ED 19,6,,,3,5511,2,2683,1332,1701,16,18,11,13,61,68,2,2,1236,1387,25,27,0,369,2,2,7,0,151,2,0
unknown,4000,Released as a separate subtotal as first report of the night,,631,37,37% reported,edison,37%,02902,2020-11-04T10:43:53Z,R+27,Trump +27,27.38908,republican,ED 2,4,,,1,6316,2,2344,782,1073,9,11,5,5,96,109,8,9,1424,1745,20,23,0,291,2,0,13,1,321,3,0
unknown,4000,Released as a separate subtotal as first report of the night,,1053,37,37% reported,edison,37%,02920,2020-11-04T10:43:23Z,D+15,Biden +15,14.91803,democrat,ED 20,9,,,3,8211,2,3050,1697,2423,5,6,0,0,78,92,8,8,1242,1550,20,24,0,726,1,0,14,0,308,4,0
