absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,grossa__total_count,democrat__total_count,howej__total_count,alaskan-independence__total_count,sullivand__total_count,republican__total_count,write-ins__total_count,grossa__absentee_count,howej__absentee_count,sullivand__absentee_count,write-ins__absentee_count
unknown,4000,Released as a separate subtotal as first report of the night,,956,56,56% reported,edison,56%,02901,2020-11-04T10:43:44Z,R+15,Sullivan +15,14.67545,republican,ED 1,9,,,5,7634,2,4252,1699,2239,230,259,2323,2710,0,540,29,387,0
unknown,4000,Released as a separate subtotal as first report of the night,,1365,47,47% reported,edison,47%,02910,2020-11-04T10:43:51Z,R+58,Sullivan +58,57.6212,republican,ED 10,11,,,5,10396,2,4868,906,1199,251,282,3711,4752,0,293,31,1041,0
unknown,4000,Released as a separate subtotal as first report of the night,,2433,47,47% reported,edison,47%,02911,2020-11-04T10:43:52Z,R+47,Sullivan +47,47.32384,republican,ED 11,9,,,4,11142,2,5194,1254,2037,228,312,3712,5278,0,783,84,1566,0
unknown,4000,Released as a separate subtotal as first report of the night,,1366,21,21% reported,edison,21%,02912,2020-11-04T10:43:52Z,R+55,Sullivan +55,55.48833,republican,ED 12,7,,,1,10974,2,2314,478,831,74,109,1762,2740,0,353,35,978,0
unknown,4000,Released as a separate subtotal as first report of the night,,280,43,43% reported,edison,43%,02913,2020-11-04T10:43:53Z,R+49,Sullivan +49,49.25651,republican,ED 13,6,,,3,7513,2,3228,731,856,176,182,2321,2470,0,125,6,149,0
unknown,4000,Released as a separate subtotal as first report of the night,,0,34,34% reported,edison,34%,02914,2020-11-04T10:43:53Z,R+54,Sullivan +54,54.42945,republican,ED 14,7,,,2,11983,2,4075,833,833,191,191,3051,3051,0,0,0,0,0
unknown,4000,Released as a separate subtotal as first report of the night,,480,38,38% reported,edison,38%,02915,2020-11-04T10:43:54Z,R+15,Sullivan +15,15.30752,republican,ED 15,5,,,2,5729,2,2195,865,1107,129,141,1201,1427,0,242,12,226,0
unknown,4000,Released as a separate subtotal as first report of the night,,222,36,36% reported,edison,36%,02916,2020-11-04T10:43:54Z,R+18,Sullivan +18,17.91094,republican,ED 16,7,,,2,8551,2,3054,1167,1331,173,180,1714,1765,0,164,7,51,0
unknown,4000,Released as a separate subtotal as first report of the night,,755,32,32% reported,edison,32%,02917,2020-11-04T10:43:56Z,R+1.3,Sullivan +1.3,1.32637,republican,ED 17,7,,,2,7806,2,2488,1162,1622,131,149,1195,1472,0,460,18,277,0
unknown,4000,Released as a separate subtotal as first report of the night,,1213,35,35% reported,edison,35%,02918,2020-11-04T10:43:57Z,D+9,Gross +9,8.75888,democrat,ED 18,10,,,3,8512,2,2957,1550,2315,116,139,1291,1716,0,765,23,425,0
