absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
some,14686,Released as a separate subtotal as first report of the night,,16920,81,81% reported,edison,81%,04001,2020-11-08T02:20:38Z,D+35,Biden +35,34.93522,democrat,Apache,44,,,36,34000,4,27634,18484,30429,320,518,8830,13607,0,11945,198,4777,0
unknown,40322,Released as a separate subtotal as first report of the night,,44867,89,89% reported,edison,89%,04003,2020-11-06T23:43:37Z,R+17,Trump +17,17.07398,republican,Cochise,49,,,43,61000,4,54381,21980,42466,990,1814,31265,54822,292,20486,824,23557,0
some,37503,Released as a separate subtotal as first report of the night,,60636,99,>98% reported,edison,>98%,04005,2020-11-07T20:02:43Z,D+24,Biden +24,24.20146,democrat,Coconino,71,,,71,73000,4,72413,44220,83477,1498,2628,26695,46944,0,39257,1130,20249,0
all,22311,Released as a separate subtotal as first report of the night,,22763,100,>98% reported,edison,>98%,04007,2020-11-06T23:14:35Z,R+34,Trump +34,34.01861,republican,Gila,39,,,39,27723,4,27726,8943,16424,342,621,18375,33378,132,7481,279,15003,0
unknown,9380,Released separately AFTER election night,,10377,100,>98% reported,edison,>98%,04009,2020-11-05T19:49:33Z,R+45,Trump +45,44.6759,republican,Graham,22,,,22,14995,4,15026,4034,6978,212,357,10747,18035,66,2944,145,7288,0
unknown,2450,Released as a separate subtotal as first report of the night,,2618,100,>98% reported,edison,>98%,04011,2020-11-05T19:45:33Z,R+34,Trump +34,33.88407,republican,Greenlee,8,,,7,3690,4,3692,1182,2178,70,121,2433,4004,14,996,51,1571,0
unknown,3932,Merged into voters' home precincts and released with cumulative results,,4501,95,95% reported,edison,95%,04012,2020-11-04T10:43:46Z,R+37,Trump +37,37.32215,republican,La Paz,11,,,10,7000,4,6677,2050,3558,79,130,4542,7478,18,1508,51,2936,6
unknown,1489023,Released as a separate subtotal as first report of the night,,1867630,98,98% reported,edison,98%,04013,2020-11-07T16:01:39Z,D+2,Biden +2,2.25656,democrat,Maricopa,743,,,743,2083000,4,2039433,1023516,1988230,30959,58252,977495,1853118,14926,964714,27293,875623,0
some,66610,Released as a separate subtotal as first report of the night,,79453,98,98% reported,edison,98%,04015,2020-11-06T19:23:39Z,R+51,Trump +51,51.07766,republican,Mohave,24,,,24,106000,4,103836,24687,46431,1281,2204,77724,134510,288,21744,923,56786,0
unknown,28592,Merged into voters' home precincts and released with cumulative results,,36083,90,90% reported,edison,90%,04017,2020-11-06T22:17:34Z,R+8,Trump +8,8.16104,republican,Navajo,14,,,14,57000,4,51464,23217,40009,719,1225,27417,46112,312,16792,506,18695,90
some,406810,Released as a separate subtotal as first report of the night,,451115,95,95% reported,edison,95%,04019,2020-11-06T23:13:03Z,D+20,Biden +20,19.53187,democrat,Pima,249,,,244,526994,4,501058,295049,574852,7164,13500,197183,360699,4784,279803,6336,163516,1460
all,88536,Released as a separate subtotal as first report of the night,,133910,90,90% reported,edison,90%,04021,2020-11-08T01:02:36Z,R+16,Trump +16,16.18945,republican,Pinal,102,,,102,189960,4,170574,70039,130274,2404,4223,97654,169136,1328,60235,1819,71482,374
unknown,11041,Released as a separate subtotal as first report of the night,,15671,93,93% reported,edison,93%,04023,2020-11-06T16:09:33Z,D+36,Biden +36,35.51622,democrat,Santa Cruz,24,,,23,21000,4,19546,13121,24115,223,400,6179,10660,65,10994,177,4481,19
all,100553,Released as a separate subtotal as first report of the night,,123909,100,>98% reported,edison,>98%,04025,2020-11-07T00:28:42Z,R+29,Trump +29,29.04974,republican,Yavapai,45,,,45,140500,4,141719,49111,95611,2046,3770,90280,165965,564,46500,1724,75685,0
unknown,37798,Released as a separate subtotal as first report of the night,,59017,97,97% reported,edison,97%,04027,2020-11-07T15:54:38Z,R+6,Trump +6,6.14377,republican,Yuma,44,,,44,70532,4,68427,31562,59554,1099,2009,35766,65881,0,27992,910,30115,0
