absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,carrollb__total_count,Asp__total_count,collinsp__total_count,prohibition__total_count,de_la_fuenter__total_count,Ali__total_count,gammonc__total_count,independent__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,myersj__total_count,Llp__total_count,pierceb__total_count,trumpd__total_count,republican__total_count,westk__total_count,bidenj__absentee_count,blankenshipd__absentee_count,carrollb__absentee_count,collinsp__absentee_count,de_la_fuenter__absentee_count,gammonc__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,myersj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count
unknown,6286,Released as a precinct as first report of the night,,5527,94,94% reported,edison,94%,05001,2020-11-04T10:44:09Z,R+40,Trump +40,39.59262,republican,Arkansas,30,,,27,6697,2,6284,1813,3402,9,16,7,12,22,40,7,14,13,108,16,27,46,84,23,4,6,4,4301,8102,19,1589,7,5,18,7,11,11,38,20,2,4,3801,14
all,5934,Released as a separate subtotal as first report of the night,,7911,100,>98% reported,edison,>98%,05003,2020-11-04T10:43:22Z,R+43,Trump +43,43.24358,republican,Ashley,30,,,26,7911,6,7911,2119,4238,30,60,10,20,44,88,9,18,34,216,9,18,25,50,26,17,34,5,5540,11080,43,2119,30,10,44,9,34,9,25,26,17,5,5540,43
some,16848,Merged into voters' home precincts and released with cumulative results,,17849,95,95% reported,edison,95%,05005,2020-11-04T20:24:41Z,R+53,Trump +53,53.34319,republican,Baxter,43,,,40,22138,4,20968,4625,8801,78,138,27,46,30,53,24,46,16,241,42,74,182,319,10,11,19,41,15810,29080,72,4176,60,19,23,22,13,32,137,6,8,35,13270,48
some,64995,Released as a separate subtotal as first report of the night,,102770,100,>98% reported,edison,>98%,05007,2020-11-06T18:49:46Z,R+27,Trump +27,26.61078,republican,Benton,117,,,117,117000,4,119166,41894,79521,115,207,170,301,114,206,149,263,102,1420,274,487,1956,3459,103,90,159,271,73605,135913,323,37627,92,131,92,114,88,213,1503,79,69,217,62308,237
some,15309,Released as a separate subtotal as first report of the night,,12782,100,>98% reported,edison,>98%,05009,2020-11-04T10:43:28Z,R+62,Trump +62,61.87803,republican,Boone,30,,,28,17103,6,17103,3061,5633,17,29,37,65,22,41,12,20,21,149,55,96,153,242,9,13,22,20,13644,23588,39,2572,12,28,19,8,17,41,89,5,9,15,9944,23
unknown,2557,Released as a precinct as first report of the night,,2551,97,97% reported,edison,97%,05011,2020-11-04T10:43:29Z,R+31,Trump +31,30.84523,republican,Bradley,14,,,12,3767,2,3644,1208,2126,8,15,6,7,10,17,0,0,1,67,4,8,32,57,14,4,6,10,2332,3892,15,918,7,1,7,0,0,4,25,12,2,8,1560,7
unknown,1190,Released as a precinct as first report of the night,,1406,92,92% reported,edison,92%,05013,2020-11-04T10:43:29Z,R+53,Trump +53,53.28978,republican,Calhoun,20,,,17,2340,2,2143,467,806,2,2,3,4,6,8,3,5,4,46,8,11,16,28,2,2,3,9,1609,2636,12,339,0,1,2,2,3,3,12,1,1,6,1027,9
all,6619,Other,,9227,100,>98% reported,edison,>98%,05015,2020-11-05T15:03:42Z,R+29,Trump +29,29.30664,republican,Carroll,13,,,12,11095,4,11639,3941,7462,26,48,28,51,22,35,22,41,19,121,47,84,99,158,5,30,54,9,7352,12812,39,3521,22,23,13,19,11,37,59,5,24,8,5460,25
unknown,2805,Released as a precinct as first report of the night,,2879,84,84% reported,edison,84%,05017,2020-11-04T10:43:32Z,D+12,Biden +12,12.26484,democrat,Chicot,13,,,11,4884,2,4093,2252,3681,5,9,8,12,5,9,2,4,2,72,5,9,17,30,7,4,7,16,1750,3139,20,1429,4,4,4,2,1,4,13,4,3,10,1389,12
all,6814,Merged into voters' home precincts and released with cumulative results,,12235,100,>98% reported,edison,>98%,05019,2020-11-07T14:58:46Z,R+9,Trump +9,8.91704,republican,Clark,27,,,27,8358,6,12235,5341,10682,38,76,37,74,86,172,24,48,17,204,51,102,111,222,15,13,26,17,6432,12864,53,5341,38,37,86,24,17,51,111,15,13,17,6432,53
unknown,3371,Other,,1403,97,97% reported,edison,97%,05021,2020-11-04T10:43:35Z,R+60,Trump +60,60.35149,republican,Clay,17,,,15,5363,2,5178,959,1228,19,23,3,4,13,16,1,1,4,34,11,16,53,76,3,8,12,9,4084,5171,11,269,4,1,3,0,1,5,23,1,4,1,1087,4
some,7784,Other,,8471,100,>98% reported,edison,>98%,05023,2020-11-04T10:43:36Z,R+66,Trump +66,66.02203,republican,Cleburne,34,,,32,12617,6,12617,1962,3492,57,91,26,39,74,120,7,11,24,108,10,14,105,175,2,19,35,10,10292,17003,29,1530,34,13,46,4,20,4,70,1,16,7,6711,15
unknown,1656,"As a subtotal in the FIRST cumulative report, along with regular precincts",,2164,100,>98% reported,edison,>98%,05025,2020-11-04T10:43:36Z,R+62,Trump +62,61.53846,republican,Cleveland,17,,,16,3459,2,3588,649,1110,5,8,2,3,8,13,5,9,2,31,8,12,27,41,1,8,14,11,2857,4511,5,461,3,1,5,4,1,4,14,0,6,7,1654,4
