absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,cottont__total_count,republican__total_count,harringtonr__total_count,libertarian__total_count,cottont__absentee_count,harringtonr__absentee_count
unknown,6286,Released as a precinct as first report of the night,,5331,91,91% reported,edison,91%,05001,2020-11-04T10:44:14Z,R+51,Cotton +51,50.55253,republican,Arkansas,30,,,26,6697,2,6063,4564,8579,1499,2815,4015,1316
unknown,5934,Released as a separate subtotal as first report of the night,,7739,98,98% reported,edison,98%,05003,2020-11-04T10:43:22Z,R+50,Cotton +50,49.70926,republican,Ashley,30,,,25,7911,6,7739,5793,11586,1946,3892,5793,1946
some,16848,Merged into voters' home precincts and released with cumulative results,,17292,92,92% reported,edison,92%,05005,2020-11-04T20:24:41Z,R+58,Cotton +58,57.93975,republican,Baxter,43,,,39,22138,4,20347,16068,29626,4279,8013,13558,3734
some,64995,Released as a separate subtotal as first report of the night,,100468,100,>98% reported,edison,>98%,05007,2020-11-06T18:49:47Z,R+30,Cotton +30,29.63937,republican,Benton,117,,,117,117000,4,116767,75688,139962,41079,77273,64274,36194
some,15309,Released as a separate subtotal as first report of the night,,12535,98,98% reported,edison,98%,05009,2020-11-04T10:43:27Z,R+64,Cotton +64,63.66234,republican,Boone,30,,,28,17103,6,16798,13746,23787,3052,5546,10041,2494
unknown,2557,Released as a precinct as first report of the night,,2467,94,94% reported,edison,94%,05011,2020-11-04T10:43:28Z,R+40,Cotton +40,39.63432,republican,Bradley,14,,,12,3767,2,3555,2482,4138,1073,1884,1656,811
unknown,1190,Released as a precinct as first report of the night,,1375,90,90% reported,edison,90%,05013,2020-11-04T10:43:28Z,R+60,Cotton +60,60.0,republican,Calhoun,20,,,17,2340,2,2105,1684,2762,421,718,1078,297
all,6619,Other,,9066,100,>98% reported,edison,>98%,05015,2020-11-05T15:03:42Z,R+33,Cotton +33,32.96607,republican,Carroll,13,,,12,11095,4,11436,7603,13300,3833,7202,5697,3369
unknown,2805,Released as a precinct as first report of the night,,2576,75,75% reported,edison,75%,05017,2020-11-04T10:43:29Z,R+7,Cotton +7,6.58256,republican,Chicot,13,,,10,4884,2,3646,1943,3433,1703,2789,1490,1086
all,6814,Merged into voters' home precincts and released with cumulative results,,11768,100,>98% reported,edison,>98%,05019,2020-11-07T14:59:03Z,R+21,Cotton +21,20.93814,republican,Clark,27,,,23,8358,6,11768,7116,14232,4652,9304,7116,4652
unknown,3371,Other,,1375,95,95% reported,edison,95%,05021,2020-11-04T10:43:29Z,R+65,Cotton +65,64.66431,republican,Clay,17,,,15,5363,2,5094,4194,5302,900,1167,1108,267
some,7784,Other,,8380,99,>98% reported,edison,>98%,05023,2020-11-04T10:43:30Z,R+69,Cotton +69,68.80543,republican,Cleburne,34,,,31,12617,6,12515,10563,17440,1952,3455,6877,1503
unknown,1656,"As a subtotal in the FIRST cumulative report, along with regular precincts",,2134,100,>98% reported,edison,>98%,05025,2020-11-04T10:43:31Z,R+68,Cotton +68,67.9639,republican,Cleveland,17,,,16,3459,2,3546,2978,4712,568,968,1734,400
all,9640,"As a precinct in the FIRST cumulative report, along with regular precincts",,6879,94,94% reported,edison,94%,05027,2020-11-04T10:43:32Z,R+43,Cotton +43,42.99925,republican,Columbia,14,,,11,8550,6,8042,5750,10692,2292,4229,4942,1937
all,5139,Released as a precinct as first report of the night,,5823,98,98% reported,edison,98%,05029,2020-11-04T10:43:33Z,R+39,Cotton +39,39.11509,republican,Conway,31,,,30,8641,6,8498,5911,9703,2587,4618,3792,2031
unknown,28910,Released as a precinct as first report of the night,,27954,99,>98% reported,edison,>98%,05031,2020-11-04T10:43:34Z,R+39,Cotton +39,38.9174,republican,Craighead,53,,,50,38364,6,37798,26254,45188,11544,20564,18934,9020
unknown,10542,Released as a precinct as first report of the night,,18736,95,95% reported,edison,95%,05033,2020-11-04T10:43:35Z,R+57,Cotton +57,56.65958,republican,Crawford,43,,,41,25144,4,23973,18778,33287,5195,9422,14509,4227
unknown,16062,Released as a precinct as first report of the night,,12375,79,79% reported,edison,79%,05035,2020-11-04T10:43:35Z,R+6,Cotton +6,5.83171,republican,Crittenden,22,,,18,18722,2,14867,7867,14535,7000,12707,6668,5707
unknown,6533,Released as a precinct as first report of the night,,5405,95,95% reported,edison,95%,05037,2020-11-04T10:43:36Z,R+51,Cotton +51,50.55712,republican,Cross,21,,,18,7090,2,6731,5067,9112,1664,3024,4045,1360
unknown,2288,Released as a precinct as first report of the night,,1618,74,74% reported,edison,74%,05039,2020-11-04T10:43:36Z,R+36,Cotton +36,36.22047,republican,Dallas,9,,,7,3454,2,2540,1730,2753,810,1405,1023,595
unknown,1597,Released as a precinct as first report of the night,,3053,81,81% reported,edison,81%,05041,2020-11-04T14:56:45Z,R+15,Cotton +15,14.84258,republican,Desha,21,,,18,4950,2,4002,2298,4053,1704,3002,1755,1298
some,5899,Released as a precinct as first report of the night,,5253,98,98% reported,edison,98%,05043,2020-11-04T10:43:37Z,R+36,Cotton +36,36.19503,republican,Drew,19,,,17,6841,2,6686,4553,8091,2133,3848,3538,1715
some,39644,Released as a precinct as first report of the night,,45979,99,>98% reported,edison,>98%,05045,2020-11-04T10:43:38Z,R+32,Cotton +32,31.99947,republican,Faulkner,51,,,51,54000,4,53329,35197,65225,18132,34083,30028,15951
unknown,4789,Merged into voters' home precincts and released with cumulative results,,5426,100,>98% reported,edison,>98%,05047,2020-11-04T17:48:40Z,R+60,Cotton +60,59.90345,republican,Franklin,39,,,36,6982,2,7043,5631,9931,1412,2538,4300,1126
some,3222,Released as a precinct in the middle of the night,,3451,97,97% reported,edison,97%,05049,2020-11-04T10:43:39Z,R+62,Cotton +62,61.74158,republican,Fulton,10,,,9,5098,6,4961,4012,6722,949,1690,2710,741
some,38437,"As a subtotal in the FIRST cumulative report, along with regular precincts",,37987,96,96% reported,edison,96%,05051,2020-11-06T13:55:35Z,R+39,Cotton +39,39.04914,republican,Garland,56,,,53,45702,2,43750,30417,56494,13333,25243,26077,11910
all,3816,Released as a precinct as first report of the night,,5991,100,>98% reported,edison,>98%,05053,2020-11-04T10:43:42Z,R+69,Cotton +69,68.66879,republican,Grant,18,,,18,8197,6,8158,6880,11860,1278,2289,4980,1011
unknown,12003,Released separately AFTER election night,,13007,97,97% reported,edison,97%,05055,2020-11-04T10:43:42Z,R+62,Cotton +62,62.08795,republican,Greene,66,,,64,16352,2,15805,12809,23294,2996,5518,10485,2522
unknown,4430,Released as a separate subtotal as first report of the night,,4485,100,>98% reported,edison,>98%,05057,2020-11-07T15:00:21Z,R+49,Cotton +49,49.37391,republican,Hempstead,24,,,24,7270,4,11500,8589,11616,2911,4369,3027,1458
unknown,6128,Released as a separate subtotal as first report of the night,,10311,92,92% reported,edison,92%,05059,2020-11-04T10:43:43Z,R+52,Cotton +52,51.78064,republican,Hot Spring,31,,,29,13377,2,12327,9355,17110,2972,5528,7755,2556
unknown,3030,Merged into voters' home precincts AFTER election night,,4378,97,97% reported,edison,97%,05061,2020-11-04T10:43:44Z,R+51,Cotton +51,51.19556,republican,Howard,36,,,32,4821,2,4684,3541,6894,1143,2168,3353,1025
