absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
some,533518,"Released as first report, then NOT included in cumulative results",,293945,75,75% reported,edison,75%,06001,2020-11-08T02:36:36Z,D+66,Biden +66,65.56282,democrat,Alameda,521,,,391,745863,2,561884,459705,710589,1297,1868,2928,4311,3758,5503,1525,2229,91318,129030,3652,250884,571,1383,1745,704,37712,946
some,1050,Other,,736,100,>98% reported,edison,>98%,06003,2020-11-04T10:43:22Z,D+32,Biden +32,31.92935,democrat,Alpine,5,,,4,738,4,736,473,946,0,0,4,8,14,28,2,4,238,476,15,473,0,4,14,2,238,5
none,17509,Released as a separate subtotal as first report of the night,,17849,100,>98% reported,edison,>98%,06005,2020-11-06T23:35:38Z,R+24,Trump +24,24.32311,republican,Amador,30,,,30,20217,4,22234,8095,15389,64,114,108,192,347,595,41,70,13503,23571,228,7294,50,84,248,29,10068,76
unknown,90845,Released as a separate subtotal as first report of the night,,0,90,90% reported,edison,90%,06007,2020-11-07T00:34:37Z,D+2,Biden +2,2.31171,democrat,Butte,157,,,140,108943,2,97720,48629,48629,305,305,483,483,1665,1665,268,268,46370,46370,0,0,0,0,0,0,0,0
unknown,23685,Merged into voters' home precincts and released with cumulative results,,18851,85,85% reported,edison,85%,06009,2020-11-04T10:43:26Z,R+20,Trump +20,19.86581,republican,Calaveras,29,,,25,26375,4,22506,8804,16972,50,97,93,175,250,458,34,62,13275,23593,0,8168,47,82,208,28,10318,0
all,5440,None,,0,100,>98% reported,edison,>98%,06011,2020-11-07T02:35:36Z,R+17,Trump +17,16.74922,republican,Colusa,18,,,18,4235,4,7672,3114,3114,28,28,25,25,79,79,27,27,4399,4399,0,0,0,0,0,0,0,0
all,393525,Released as a separate subtotal as first report of the night,,313531,94,94% reported,edison,94%,06013,2020-11-07T00:34:37Z,D+48,Biden +48,47.69174,democrat,Contra Costa,957,,,897,531440,4,498340,363370,608029,1458,2260,2069,3206,4734,7373,980,1536,125703,189441,52,244659,802,1137,2639,556,63738,0
unknown,8414,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,06015,2020-11-07T00:34:37Z,R+15,Trump +15,14.78402,republican,Del Norte,18,,,18,10896,2,11066,4565,4565,51,51,75,75,141,141,33,33,6201,6201,0,0,0,0,0,0,0,0
unknown,102390,Released as a separate subtotal as first report of the night,,82534,100,>98% reported,edison,>98%,06017,2020-11-07T01:40:39Z,R+9,Trump +9,8.57412,republican,El Dorado,202,,,202,106694,4,113446,50532,91988,226,368,445,741,1820,2895,106,174,60259,99744,128,41456,142,296,1075,68,39485,12
all,227374,Merged into voters' home precincts and released with cumulative results,,231358,100,>98% reported,edison,>98%,06019,2020-11-06T23:35:37Z,D+7,Biden +7,7.39925,democrat,Fresno,384,,,384,321844,4,323722,170694,301158,926,1486,1255,2158,3314,5447,551,926,146741,243614,532,130464,560,903,2133,375,96873,50
unknown,11067,Released as a separate subtotal as first report of the night,,5135,89,89% reported,edison,89%,06021,2020-11-06T00:26:36Z,R+29,Trump +29,29.29764,republican,Glenn,74,,,66,10796,4,9639,3315,5278,26,44,28,42,100,152,30,48,6139,9208,3,1963,18,14,52,18,3069,1
some,48283,Released as a separate subtotal as first report of the night,,38109,68,68% reported,edison,68%,06023,2020-11-07T00:34:36Z,D+37,Biden +37,37.32854,democrat,Humboldt,66,,,44,67540,2,46222,31010,57626,141,248,329,586,565,993,160,294,13756,24075,770,26616,107,257,428,134,10319,248
some,31600,Released separately AFTER election night,,17891,66,66% reported,edison,66%,06025,2020-11-04T10:43:29Z,D+41,Biden +41,41.04035,democrat,Imperial,218,,,143,54824,4,36084,25109,37619,152,227,128,192,220,330,162,243,10300,15345,32,12510,75,64,110,81,5045,6
all,8286,Merged into voters' home precincts and released with cumulative results,,5305,99,>98% reported,edison,>98%,06027,2020-11-06T23:35:37Z,D+0.65,Biden +0.65,0.64502,democrat,Inyo,21,,,20,9218,4,9147,4495,7586,29,46,41,67,125,192,21,28,4436,6533,0,3091,17,26,67,7,2097,0
unknown,202125,Released as a separate subtotal as first report of the night,,126942,59,59% reported,edison,59%,06029,2020-11-07T23:36:35Z,R+3,Trump +3,2.59216,republican,Kern,694,,,409,278346,4,164149,78269,144661,546,980,533,998,1771,3189,506,935,82524,140328,0,66392,434,465,1418,429,57804,0
unknown,38870,Released as a separate subtotal as first report of the night,,33000,100,>98% reported,edison,>98%,06031,2020-11-06T23:35:37Z,R+13,Trump +13,12.97246,republican,Kings,96,,,96,38663,4,41935,17729,31808,175,289,120,197,575,965,165,285,23169,41387,6,14079,114,77,390,120,18218,2
unknown,23517,Released as a separate subtotal as first report of the night,,0,40,40% reported,edison,40%,06033,2020-11-04T10:43:34Z,D+26,Biden +26,26.44501,democrat,Lake,70,,,28,27936,2,11038,6874,6874,26,26,71,71,94,94,18,18,3955,3955,0,0,0,0,0,0,0,0
unknown,12965,Released as a separate subtotal as first report of the night,,0,86,86% reported,edison,86%,06035,2020-11-07T05:35:43Z,R+49,Trump +49,48.89355,republican,Lassen,57,,,49,12138,2,10484,2596,2596,19,19,26,26,107,107,14,14,7722,7722,0,0,0,0,0,0,0,0
all,1561325,Released as a separate subtotal as first report of the night,,2868526,94,94% reported,edison,94%,06037,2020-11-07T00:34:36Z,D+44,Biden +44,44.21802,democrat,Los Angeles,3383,,,3165,3915111,4,3674850,2609329,4699608,12167,19765,17093,29094,28075,47510,12420,20432,984383,1704867,33483,2090279,7598,12001,19435,8012,720484,10717
all,39467,Released as a separate subtotal as first report of the night,,35718,100,>98% reported,edison,>98%,06039,2020-11-07T02:35:35Z,R+12,Trump +12,11.62338,republican,Madera,72,,,72,49148,4,51405,22158,38653,168,282,207,338,585,957,154,240,28133,46653,0,16495,114,131,372,86,18520,0
