absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,doaner__total_count,libertarian__total_count,doyled__total_count,Apv__total_count,evanss__total_count,unity__total_count,gardnerc__total_count,republican__total_count,hickenlooperj__total_count,democrat__total_count,write-ins__total_count,doaner__absentee_count,doyled__absentee_count,evanss__absentee_count,gardnerc__absentee_count,hickenlooperj__absentee_count,write-ins__absentee_count
all,,Other,,0,100,>98% reported,edison,>98%,08001,2020-11-05T02:19:42Z,D+14,Hickenlooper +14,13.55702,democrat,Adams,260,,,260,228525,4,233628,4847,4847,1065,1065,949,949,97547,97547,129220,129220,0,0,0,0,0,0,0
unknown,,Other,,0,91,91% reported,edison,91%,08003,2020-11-04T10:43:36Z,R+1.1,Gardner +1.1,1.1186,republican,Alamosa,8,,,7,8188,4,7420,94,94,38,38,23,23,3674,3674,3591,3591,0,0,0,0,0,0,0
some,,Other,,0,97,97% reported,edison,97%,08005,2020-11-05T23:11:36Z,D+19,Hickenlooper +19,19.28638,democrat,Arapahoe,390,,,376,357594,4,345311,5596,5596,1062,1062,1095,1095,135480,135480,202078,202078,0,0,0,0,0,0,0
all,,Other,,0,100,>98% reported,edison,>98%,08007,2020-11-04T10:43:37Z,R+18,Gardner +18,18.10529,republican,Archuleta,8,,,8,8577,6,8909,158,158,26,26,14,14,5162,5162,3549,3549,0,0,0,0,0,0,0
unknown,,Other,,0,99,>98% reported,edison,>98%,08009,2020-11-04T10:43:37Z,R+68,Gardner +68,67.83734,republican,Baca,9,,,8,2193,6,2164,31,31,12,12,7,7,1791,1791,323,323,0,0,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,08011,2020-11-04T10:43:37Z,R+34,Gardner +34,34.28313,republican,Bent,5,,,5,2131,2,2211,32,32,26,26,7,7,1452,1452,694,694,0,0,0,0,0,0,0
some,,Other,,0,87,87% reported,edison,87%,08013,2020-11-06T15:08:35Z,D+53,Hickenlooper +53,52.97405,democrat,Boulder,240,,,208,222008,2,193087,2600,2600,294,294,401,401,43753,43753,146039,146039,0,0,0,0,0,0,0
all,,Other,,0,100,>98% reported,edison,>98%,08014,2020-11-05T01:06:41Z,D+21,Hickenlooper +21,20.75603,democrat,Broomfield,37,,,37,40958,6,45871,695,695,81,81,98,98,17738,17738,27259,27259,0,0,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,08015,2020-11-04T10:43:38Z,D+5,Hickenlooper +5,4.52995,democrat,Chaffee,9,,,9,13275,2,13488,231,231,32,32,22,22,6296,6296,6907,6907,0,0,0,0,0,0,0
some,,Other,,0,91,91% reported,edison,91%,08017,2020-11-04T10:43:38Z,R+78,Gardner +78,78.35616,republican,Cheyenne,5,,,4,1209,4,1095,7,7,2,2,2,2,971,971,113,113,0,0,0,0,0,0,0
