absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,106798,Merged into voters' home precincts and released with cumulative results,,127935,100,>98% reported,edison,>98%,12001,2020-11-04T10:43:49Z,D+27,Biden +27,27.05905,democrat,Alachua,64,,,64,142784,6,142784,89527,171842,52,99,69,130,301,555,1389,2507,94,171,50891,94616,1260,82315,47,61,254,1118,77,43725,338
all,8770,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,12003,2020-11-04T10:43:50Z,R+70,Trump +70,70.11788,republican,Baker,9,,,9,14059,6,14082,2037,2037,1,1,4,4,10,10,93,93,3,3,11911,11911,46,0,0,0,0,0,0,0,0
unknown,82646,Released as a precinct as first report of the night,,28739,88,88% reported,edison,88%,12005,2020-11-04T10:43:51Z,R+43,Trump +43,43.48831,republican,Bay,44,,,38,106100,4,93025,25538,37777,52,83,54,70,141,198,997,1293,45,61,65993,81992,495,12239,31,16,57,296,16,15999,85
all,9374,Released as a separate subtotal as first report of the night,,11677,100,>98% reported,edison,>98%,12007,2020-11-04T10:43:52Z,R+53,Trump +53,52.55678,republican,Bradford,14,,,14,13650,6,13650,3160,5576,6,10,7,13,11,14,110,177,3,5,10334,19498,53,2416,4,6,3,67,2,9164,15
all,228190,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,12009,2020-11-07T16:52:44Z,R+16,Trump +16,16.46343,republican,Brevard,174,,,171,356128,6,360666,148479,148479,171,171,222,222,553,553,3176,3176,164,164,207857,207857,88,0,0,0,0,0,0,0,0
some,668379,Released as a separate subtotal as first report of the night,,0,99,>98% reported,edison,>98%,12011,2020-11-07T22:30:15Z,D+30,Biden +30,29.73167,democrat,Broward,577,,,577,965000,4,959418,618597,618597,238,238,426,426,1253,1253,3111,3111,417,417,333346,333346,4060,0,0,0,0,0,0,0,0
some,5416,Released as a precinct as first report of the night,,4670,100,>98% reported,edison,>98%,12013,2020-11-04T10:43:53Z,R+62,Trump +62,62.23005,republican,Calhoun,15,,,11,6529,6,6529,1206,2131,2,3,4,6,4,7,29,48,4,7,5269,8979,29,925,1,2,3,19,3,3710,7
all,97168,Released as a precinct as first report of the night,,100876,100,>98% reported,edison,>98%,12015,2020-11-04T10:43:54Z,R+27,Trump +27,26.58116,republican,Charlotte,68,,,68,116481,6,116481,42240,81297,45,83,49,92,127,231,564,960,32,59,73202,134233,624,39057,38,43,104,396,27,61031,180
some,76410,Released as a separate subtotal as first report of the night,,72623,96,96% reported,edison,96%,12017,2020-11-04T10:43:54Z,R+41,Trump +41,40.95663,republican,Citrus,31,,,31,96694,4,93223,27049,51120,49,90,42,73,86,149,548,912,30,52,65230,113118,521,24071,41,31,63,364,22,47888,143
some,97059,"Released as first report, then NOT included in cumulative results",,93492,96,96% reported,edison,96%,12019,2020-11-06T03:41:10Z,R+37,Trump +37,37.081,republican,Clay,47,,,47,129188,2,124522,38248,68657,57,94,45,75,153,252,1280,2057,54,88,84422,146367,687,30409,37,30,99,777,34,61945,161
unknown,162717,Released as a separate subtotal as first report of the night,,178938,99,>98% reported,edison,>98%,12021,2020-11-07T16:51:42Z,R+25,Trump +25,24.65496,republican,Collier,59,,,58,210070,4,208238,77595,147708,39,72,64,115,186,322,889,1533,49,82,128936,236471,1353,70113,33,51,136,644,33,107535,393
some,28810,"As a subtotal in the FIRST cumulative report, along with regular precincts",,26079,97,97% reported,edison,97%,12023,2020-11-07T16:48:54Z,R+45,Trump +45,45.16783,republican,Columbia,22,,,21,34000,4,33039,8912,16386,8,8,12,12,28,28,224,368,20,20,23835,42296,0,7474,0,0,0,144,0,18461,0
all,8368,Released as a precinct as first report of the night,,9345,100,>98% reported,edison,>98%,12027,2020-11-07T16:51:42Z,R+32,Trump +32,31.9817,republican,DeSoto,15,,,15,12645,6,12676,4259,7629,4,6,12,20,8,15,52,86,11,19,8313,14215,48,3370,2,8,7,34,8,5902,14
some,5219,Released as a separate subtotal as first report of the night,,5627,100,>98% reported,edison,>98%,12029,2020-11-04T10:44:00Z,R+66,Trump +66,66.00979,republican,Dixie,12,,,11,8170,6,8170,1364,2468,4,4,5,5,5,5,27,27,2,2,6757,11280,12,1104,0,0,0,0,0,4523,0
all,411733,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,12031,2020-11-07T16:48:54Z,D+4,Biden +4,3.80931,democrat,Duval,199,,,199,491584,6,492556,252450,252450,218,218,319,319,772,772,4782,4782,328,328,233687,233687,0,0,0,0,0,0,0,0,0
some,132013,Released as a precinct as first report of the night,,0,92,92% reported,edison,92%,12033,2020-11-07T16:52:43Z,R+15,Trump +15,15.12645,republican,Escambia,80,,,80,184979,4,170311,70893,70893,92,92,105,105,255,255,2141,2141,137,137,96655,96655,66,0,0,0,0,0,0,0,0
unknown,48915,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,12035,2020-11-04T10:44:01Z,R+21,Trump +21,20.71392,republican,Flagler,25,,,25,69764,2,71773,28124,28124,20,20,30,30,69,69,358,358,29,29,42991,42991,304,0,0,0,0,0,0,0,0
all,4651,Released as a precinct as first report of the night,,5127,100,>98% reported,edison,>98%,12037,2020-11-06T03:45:30Z,R+37,Trump +37,37.29036,republican,Franklin,8,,,8,6851,6,6857,2118,3946,3,5,4,8,12,22,27,45,8,13,4675,7927,28,1828,2,4,10,18,5,3252,8
all,21954,Released as a precinct as first report of the night,,18024,100,>98% reported,edison,>98%,12039,2020-11-04T10:44:02Z,D+36,Biden +36,36.48825,democrat,Gadsden,25,,,25,23783,6,23783,16139,28911,9,13,8,13,21,35,96,147,10,15,7461,12605,107,12772,4,5,14,51,5,5144,29
some,5958,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,12041,2020-11-07T16:52:42Z,R+64,Trump +64,63.96489,republican,Gilchrist,10,,,9,9212,2,9685,1700,1700,5,5,6,6,13,13,61,61,2,2,7895,7895,6,0,0,0,0,0,0,0,0
some,2314,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,12043,2020-11-04T10:44:02Z,R+46,Trump +46,46.08729,republican,Glades,13,,,13,4762,4,5201,1384,1384,0,0,0,0,4,4,21,21,1,1,3781,3781,20,0,0,0,0,0,0,0,0
all,7363,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,12045,2020-11-04T10:44:02Z,R+51,Trump +51,50.50184,republican,Gulf,10,,,10,8170,6,8170,1985,1985,6,6,6,6,5,5,48,48,0,0,6111,6111,18,0,0,0,0,0,0,0,0
all,4475,Merged into voters' home precincts and released with cumulative results,,4032,100,>98% reported,edison,>98%,12047,2020-11-04T10:44:03Z,R+32,Trump +32,31.75583,republican,Hamilton,8,,,8,5832,6,5832,1959,3296,2,2,6,11,8,13,33,53,2,4,3811,6467,29,1337,0,5,5,20,2,2656,7
all,6306,"As a precinct in the FIRST cumulative report, along with regular precincts",,4925,100,>98% reported,edison,>98%,12049,2020-11-07T16:51:41Z,R+45,Trump +45,45.02531,republican,Hardee,12,,,11,8475,6,8493,2298,3510,1,2,10,15,8,12,40,80,6,9,6122,9774,24,1212,1,5,4,40,3,3652,8
all,9245,Released as a separate subtotal as first report of the night,,10116,100,>98% reported,edison,>98%,12051,2020-11-04T10:44:04Z,R+23,Trump +23,22.96817,republican,Hendry,10,,,10,12944,6,12944,4925,8857,7,13,11,18,13,23,65,108,8,15,7898,13999,44,3932,6,7,10,43,7,6101,10
all,64893,Released as a separate subtotal as first report of the night,,82840,100,>98% reported,edison,>98%,12053,2020-11-04T10:44:05Z,R+30,Trump +30,30.11193,republican,Hernando,32,,,32,109176,6,109176,37446,69049,235,262,62,109,148,241,685,1100,44,78,70321,120791,621,31603,27,47,93,415,34,50470,151
all,42875,Released as a separate subtotal as first report of the night,,39923,98,98% reported,edison,98%,12055,2020-11-07T16:51:40Z,R+34,Trump +34,34.35135,republican,Highlands,25,,,23,53000,4,52193,16917,30928,28,52,28,48,53,85,221,359,24,38,34846,60479,203,14011,24,20,32,138,14,25633,51
