absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,4621,None,,6237,100,>98% reported,edison,>98%,13001,2020-11-05T22:39:38Z,R+57,Trump +57,56.91164,republican,Appling,9,,,9,8341,6,8341,1779,3221,36,67,6526,11290,0,1442,31,4764,0
unknown,2338,None,,2174,100,>98% reported,edison,>98%,13003,2020-11-05T03:48:50Z,R+47,Trump +47,46.75119,republican,Atkinson,4,,,4,3155,6,3155,825,1400,30,46,2300,3883,0,575,16,1583,0
unknown,3600,"As a precinct in the FIRST cumulative report, along with regular precincts",,4087,100,>98% reported,edison,>98%,13005,2020-11-05T03:48:53Z,R+73,Trump +73,72.68638,republican,Bacon,1,,,1,4668,10,4668,625,1109,25,42,4018,7604,0,484,17,3586,0
unknown,1091,"Released as first report, then NOT included in cumulative results",,1111,100,>98% reported,edison,>98%,13007,2020-11-06T23:06:38Z,R+16,Trump +16,15.75563,republican,Baker,5,,,5,1552,6,1555,652,1155,6,10,897,1501,0,503,4,604,0
all,14066,Other,,14783,100,>98% reported,edison,>98%,13009,2020-11-06T22:10:39Z,D+1.3,Biden +1.3,1.29856,democrat,Baldwin,14,,,14,18205,6,18251,9140,16752,208,353,8903,15929,0,7612,145,7026,0
unknown,3683,None,,6984,100,>98% reported,edison,>98%,13011,2020-11-06T22:15:39Z,R+78,Trump +78,77.8736,republican,Banks,13,,,13,8786,6,8813,932,1711,74,128,7795,13936,34,779,54,6141,10
unknown,20877,None,,30087,100,>98% reported,edison,>98%,13013,2020-11-07T01:19:32Z,R+43,Trump +43,43.00971,republican,Barrow,8,,,8,38000,6,38017,10453,19186,664,1102,26804,47720,192,8733,438,20916,0
unknown,25757,None,,37807,100,>98% reported,edison,>98%,13015,2020-11-07T00:20:47Z,R+51,Trump +51,50.69155,republican,Bartow,17,,,17,50375,6,50466,12091,22000,701,1124,37673,65148,2,9909,423,27475,0
unknown,5778,Other,,5764,100,>98% reported,edison,>98%,13017,2020-11-06T21:55:37Z,R+26,Trump +26,26.18902,republican,Ben Hill,3,,,3,6559,6,6560,2392,4448,58,98,4110,7778,0,2056,40,3668,0
unknown,4416,Released as a separate subtotal as first report of the night,,5542,100,>98% reported,edison,>98%,13019,2020-11-05T03:49:41Z,R+66,Trump +66,66.49851,republican,Berrien,5,,,5,7731,6,7731,1268,2203,54,87,6409,10983,0,935,33,4574,0
unknown,38674,Released as a separate subtotal in the middle of the tabulation,,53634,100,>98% reported,edison,>98%,13021,2020-11-04T10:44:01Z,D+24,Biden +24,23.68633,democrat,Bibb,31,,,31,70623,6,70623,43234,77766,740,1181,26506,45091,362,34532,441,18585,76
