absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,hazels__total_count,libertarian__total_count,ossoffj__total_count,democrat__total_count,perdued__total_count,republican__total_count,write-ins__total_count,hazels__absentee_count,ossoffj__absentee_count,perdued__absentee_count,write-ins__absentee_count
unknown,4621,None,,6104,98,98% reported,edison,98%,13001,2020-11-05T22:39:38Z,R+56,Perdue +56,55.61256,republican,Appling,9,,,9,8341,6,8187,128,223,1753,3151,6306,10917,0,95,1398,4611,0
unknown,2338,None,,2144,98,98% reported,edison,98%,13003,2020-11-05T03:48:50Z,R+48,Perdue +48,48.40168,republican,Atkinson,4,,,4,3155,6,3097,52,81,773,1326,2272,3834,0,29,553,1562,0
some,3600,"As a precinct in the FIRST cumulative report, along with regular precincts",,4021,98,98% reported,edison,98%,13005,2020-11-05T03:48:53Z,R+73,Perdue +73,72.72331,republican,Bacon,1,,,1,4668,10,4590,70,116,591,1054,3929,7441,0,46,463,3512,0
unknown,1091,"Released as first report, then NOT included in cumulative results",,1094,99,>98% reported,edison,>98%,13007,2020-11-06T23:06:37Z,R+15,Perdue +15,14.66754,republican,Baker,5,,,5,1552,6,1534,13,22,648,1151,873,1455,0,9,503,582,0
all,14066,Other,,14622,99,>98% reported,edison,>98%,13009,2020-11-06T22:10:39Z,R+0.50,Perdue +0.50,0.49773,republican,Baldwin,14,,,14,18205,6,18082,426,742,8783,16065,8873,15897,0,316,7282,7024,0
unknown,3683,None,,6913,99,>98% reported,edison,>98%,13011,2020-11-06T22:15:39Z,R+77,Perdue +77,77.16184,republican,Banks,13,,,13,8786,6,8731,190,323,899,1644,7636,13666,17,133,745,6030,5
all,20877,None,,29762,99,>98% reported,edison,>98%,13013,2020-11-07T01:19:32Z,R+43,Perdue +43,43.21342,republican,Barrow,8,,,8,38000,6,37611,1193,2025,10057,18357,26310,46940,102,832,8300,20630,0
unknown,25757,None,,37419,99,>98% reported,edison,>98%,13015,2020-11-07T00:20:47Z,R+51,Perdue +51,50.61105,republican,Bartow,17,,,17,50375,6,50078,1361,2239,11663,21130,37008,64082,92,878,9467,27074,0
unknown,5778,Other,,5686,99,>98% reported,edison,>98%,13017,2020-11-06T21:55:37Z,R+28,Perdue +28,27.68257,republican,Ben Hill,3,,,3,6559,6,6477,116,207,2284,4229,4077,7727,0,91,1945,3650,0
unknown,4416,Released as a separate subtotal as first report of the night,,5470,99,>98% reported,edison,>98%,13019,2020-11-05T03:49:41Z,R+66,Perdue +66,66.42231,republican,Berrien,5,,,5,7731,6,7639,159,262,1203,2082,6277,10765,0,103,879,4488,0
unknown,38674,Released as a separate subtotal in the middle of the tabulation,,52846,99,>98% reported,edison,>98%,13021,2020-11-04T10:44:09Z,D+22,Ossoff +22,21.69802,democrat,Bibb,31,,,31,70623,6,69799,1404,2368,41715,74826,26570,45270,291,964,33111,18700,71
unknown,4032,Merged into voters' home precincts and released with cumulative results,,4386,99,>98% reported,edison,>98%,13023,2020-11-06T22:20:42Z,R+54,Perdue +54,53.72077,republican,Bleckley,1,,,1,5704,6,5644,114,195,1249,2206,4281,7629,0,81,957,3348,0
unknown,3280,"As a precinct in the FIRST cumulative report, along with regular precincts",,5475,99,>98% reported,edison,>98%,13025,2020-11-06T20:22:39Z,R+80,Perdue +80,80.40966,republican,Brantley,3,,,3,7731,6,7616,116,186,688,1212,6812,11693,0,70,524,4881,0
all,5648,Released as a precinct as first report of the night,,5024,99,>98% reported,edison,>98%,13027,2020-11-06T22:47:39Z,R+24,Perdue +24,23.55218,republican,Brooks,7,,,7,7077,6,6976,119,202,2607,4705,4250,7093,0,83,2098,2843,0
