absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,de_la_fuenter__total_count,Ali__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,de_la_fuenter__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
all,80688,Merged into voters' home precincts and released with cumulative results,,178548,100,>98% reported,edison,>98%,16001,2020-11-04T10:44:16Z,R+4,Trump +4,3.9169,republican,Ada,154,,,154,259377,6,259389,120539,219235,438,703,356,577,5310,8242,875,3171,130699,206009,1172,0,98696,265,221,2932,517,75310,607,0
none,936,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,98,98% reported,edison,98%,16003,2020-11-04T10:44:16Z,R+52,Trump +52,52.20418,republican,Adams,7,,,7,2650,2,2586,591,591,6,6,3,3,34,34,6,11,1941,1941,5,0,0,0,0,0,0,0,0,0
all,14147,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,16005,2020-11-04T10:44:16Z,R+22,Trump +22,21.747,republican,Bannock,54,,,54,36555,6,39771,14682,14682,87,87,89,89,947,947,212,417,23331,23331,205,436,0,0,0,0,0,0,0,0
unknown,670,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,16007,2020-11-04T10:44:16Z,R+77,Trump +77,76.64075,republican,Bear Lake,15,,,15,3279,2,3215,350,350,8,8,4,4,25,25,3,14,2814,2814,11,0,0,0,0,0,0,0,0,0
unknown,1083,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,16009,2020-11-04T10:44:16Z,R+58,Trump +58,58.34674,republican,Benewah,11,,,11,5080,2,4972,977,977,9,9,6,6,58,58,17,44,3878,3878,27,0,0,0,0,0,0,0,0,0
all,6344,Released as a precinct as first report of the night,,8775,100,>98% reported,edison,>98%,16011,2020-11-04T10:44:16Z,R+56,Trump +56,55.59371,republican,Bingham,29,,,29,20094,6,20094,4124,6654,56,75,49,70,307,445,65,226,15295,21246,100,251,2530,19,21,138,24,5951,37,55
all,5939,Released as a precinct as first report of the night,,11676,100,>98% reported,edison,>98%,16013,2020-11-04T10:44:17Z,D+37,Biden +37,36.63344,democrat,Blaine,16,,,16,13239,4,13343,8919,16678,47,87,34,65,168,326,36,169,4031,7639,53,110,7759,40,31,158,31,3608,49,0
unknown,1222,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,16015,2020-11-04T10:44:17Z,R+47,Trump +47,47.1281,republican,Boise,6,,,6,4706,2,4840,1214,1214,12,12,7,7,67,67,15,45,3495,3495,30,0,0,0,0,0,0,0,0,0
all,7483,Merged into voters' home precincts and released with cumulative results,,14507,100,>98% reported,edison,>98%,16017,2020-11-04T15:09:32Z,R+37,Trump +37,36.7761,republican,Bonner,32,,,32,27021,6,27352,8310,14817,56,91,37,55,401,592,60,226,18369,26061,102,34,6507,35,18,191,27,7692,37,0
none,14317,"As a precinct in the FIRST cumulative report, along with regular precincts",,28217,100,>98% reported,edison,>98%,16019,2020-11-04T10:43:23Z,R+44,Trump +44,43.617,republican,Bonneville,51,,,51,49517,2,53995,14254,24532,113,168,90,136,1288,1899,186,648,37805,54829,259,0,10278,55,46,611,87,17024,116,0
