absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,flemingn__total_count,independent__total_count,jordanp__total_count,democrat__total_count,rischj__total_count,republican__total_count,writzr__total_count,constitution__total_count,flemingn__absentee_count,jordanp__absentee_count,rischj__absentee_count,writzr__absentee_count
all,80688,Merged into voters' home precincts and released with cumulative results,,178312,99,>98% reported,edison,>98%,16001,2020-11-04T10:43:49Z,R+5,Risch +5,4.54549,republican,Ada,154,,,154,259377,6,258014,6940,10889,118718,214278,130446,208320,1910,2839,3949,95560,77874,929
none,936,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,59,59% reported,edison,59%,16003,2020-11-04T10:43:50Z,R+13,Risch +13,13.00448,republican,Adams,7,,,4,2650,2,1561,62,62,625,625,828,828,46,46,0,0,0,0
all,14147,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,16005,2020-11-04T10:43:51Z,R+17,Risch +17,16.68485,republican,Bannock,54,,,54,36555,6,39413,1433,1433,15472,15472,22048,22048,460,460,0,0,0,0
unknown,670,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,16007,2020-11-04T10:43:51Z,R+74,Risch +74,73.87496,republican,Bear Lake,15,,,15,3279,2,3311,91,91,355,355,2801,2801,64,64,0,0,0,0
unknown,1083,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,16009,2020-11-04T10:43:51Z,R+51,Risch +51,51.36466,republican,Benewah,11,,,11,5080,2,4873,103,103,1081,1081,3584,3584,105,105,0,0,0,0
all,6344,Released as a precinct as first report of the night,,8716,99,>98% reported,edison,>98%,16011,2020-11-04T10:43:52Z,R+52,Risch +52,52.0847,republican,Bingham,29,,,29,20094,6,19835,625,828,4313,6736,14644,20645,253,342,203,2423,6001,89
all,5939,Released as a precinct as first report of the night,,11699,100,>98% reported,edison,>98%,16013,2020-11-04T10:43:52Z,D+34,Jordan +34,33.92455,democrat,Blaine,16,,,16,13239,4,13306,288,552,8739,16326,4225,8023,54,104,264,7587,3798,50
unknown,1222,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,16015,2020-11-04T10:43:53Z,R+43,Risch +43,43.15111,republican,Boise,6,,,6,4706,2,4811,128,128,1257,1257,3333,3333,93,93,0,0,0,0
all,7483,Merged into voters' home precincts and released with cumulative results,,14422,100,>98% reported,edison,>98%,16017,2020-11-04T11:01:50Z,R+37,Risch +37,36.58266,republican,Bonner,32,,,32,27021,6,27021,601,857,8079,14328,17964,25734,377,524,256,6249,7770,147
none,14317,"As a precinct in the FIRST cumulative report, along with regular precincts",,28030,100,>98% reported,edison,>98%,16019,2020-11-04T10:43:54Z,R+43,Risch +43,42.57562,republican,Bonneville,51,,,51,49517,2,53028,1972,2839,13913,23470,36490,53843,653,906,867,9557,17353,253
none,2026,Released with cumulative results periodically election night,,0,100,>98% reported,edison,>98%,16021,2020-11-04T10:43:54Z,R+57,Risch +57,57.33461,republican,Boundary,7,,,7,6266,2,6258,131,131,1212,1212,4800,4800,115,115,0,0,0,0
unknown,339,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,16023,2020-11-04T10:43:55Z,R+64,Risch +64,63.68794,republican,Butte,4,,,4,1528,2,1410,39,39,222,222,1120,1120,29,29,0,0,0,0
unknown,150,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,16025,2020-11-06T14:57:10Z,R+49,Risch +49,49.18519,republican,Camas,2,,,2,729,2,675,17,17,156,156,488,488,14,14,0,0,0,0
all,24616,Merged into voters' home precincts and released with cumulative results,,63705,99,>98% reported,edison,>98%,16027,2020-11-04T10:43:57Z,R+36,Risch +36,36.22554,republican,Canyon,64,,,64,90438,6,89597,2550,4095,26603,47185,59060,99856,1384,2166,1545,20582,40796,782
unknown,702,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,94,94% reported,edison,94%,16029,2020-11-04T10:43:58Z,R+68,Risch +68,67.61577,republican,Caribou,9,,,8,3399,2,3196,97,97,442,442,2603,2603,54,54,0,0,0,0
none,1930,Merged into voters' home precincts and released with cumulative results,,4140,94,94% reported,edison,94%,16031,2020-11-04T10:43:59Z,R+63,Risch +63,63.17546,republican,Cassia,24,,,24,10188,2,9586,322,452,1508,2375,7564,10643,192,256,130,867,3079,64
none,106,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,16033,2020-11-04T10:43:59Z,R+68,Risch +68,68.1672,republican,Clark,3,,,3,337,2,311,12,12,42,42,254,254,3,3,0,0,0,0
unknown,1067,Released as a precinct in the middle of the night,,0,95,95% reported,edison,95%,16035,2020-11-04T10:44:00Z,R+56,Risch +56,56.49692,republican,Clearwater,15,,,15,4615,2,4379,104,104,883,883,3357,3357,35,35,0,0,0,0
unknown,853,Released as a separate subtotal at the end of tabulation,,0,92,92% reported,edison,92%,16037,2020-11-04T10:44:00Z,R+51,Risch +51,51.33432,republican,Custer,10,,,10,2930,2,2698,74,74,593,593,1978,1978,53,53,0,0,0,0
none,3600,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,96,96% reported,edison,96%,16039,2020-11-04T10:44:00Z,R+39,Risch +39,39.3616,republican,Elmore,18,,,18,10518,2,10119,317,317,2814,2814,6797,6797,191,191,0,0,0,0
none,1222,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,16041,2020-11-06T15:33:52Z,R+77,Risch +77,77.00333,republican,Franklin,18,,,18,6182,2,6614,217,217,585,585,5678,5678,134,134,0,0,0,0
none,1637,Released as a precinct as first report of the night,,2632,100,>98% reported,edison,>98%,16043,2020-11-04T10:44:01Z,R+65,Risch +65,65.46376,republican,Fremont,14,,,14,6403,2,6706,205,276,1001,1612,5391,7303,109,147,71,611,1912,38
none,3437,None,,5045,100,>98% reported,edison,>98%,16045,2020-11-04T10:44:02Z,R+56,Risch +56,56.3862,republican,Gem,14,,,14,9818,2,9912,268,385,1957,3298,7546,11087,141,187,117,1341,3541,46
unknown,1237,Merged into voters' home precincts and released with cumulative results,,2738,94,94% reported,edison,94%,16047,2020-11-04T10:44:02Z,R+51,Risch +51,51.44892,republican,Gooding,7,,,7,6409,2,6039,186,248,1335,2175,4442,6245,76,109,62,840,1803,33
