absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,carrollb__total_count,Asp__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,carrollb__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
some,8885,Released as a separate subtotal at the end of tabulation,,19084,100,>98% reported,edison,>98%,17001,2020-11-04T10:43:29Z,R+47,Trump +47,46.54543,republican,Adams,74,,,69,32202,2.0,33434,8569,15023,64,110,97,150,473,694,23,34,24131,36391,193,6454,46,53,221,11,12260,39
unknown,1150,None,,0,100,>98% reported,edison,>98%,17003,2020-11-04T10:43:30Z,R+9,Trump +9,9.48322,republican,Alexander,11,,,11,3010,6.0,5631,2522,2522,0,0,12,12,18,18,16,16,3056,3056,14,0,0,0,0,0,0,0
unknown,2398,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,17005,2020-11-04T10:43:30Z,R+41,Trump +41,41.15181,republican,Bond,25,,,24,1160,6.0,8109,2275,2275,20,20,40,40,152,152,10,10,5612,5612,0,0,0,0,0,0,0,0
some,4522,Other,,0,100,>98% reported,edison,>98%,17007,2020-11-05T16:54:20Z,R+14,Trump +14,13.74027,republican,Boone,38,,,37,22910,4.0,24672,10372,10372,26,26,141,141,350,350,21,21,13762,13762,0,0,0,0,0,0,0,0
some,594,None,,0,97,97% reported,edison,97%,17009,2020-11-04T10:43:32Z,R+57,Trump +57,57.27309,republican,Brown,14,,,13,2604,4.0,2523,485,485,39,39,10,10,47,47,8,8,1930,1930,8,0,0,0,0,0,0,0
unknown,3786,Merged into voters' home precincts and released with cumulative results,,7409,95,95% reported,edison,95%,17011,2020-11-04T10:43:33Z,R+22,Trump +22,21.83099,republican,Bureau,50,,,47,18093,4.0,17182,6545,10477,37,49,90,123,202,254,12,17,10296,13671,0,3932,12,33,52,5,3375,0
all,710,Other,,0,98,98% reported,edison,98%,17013,2020-11-04T10:43:34Z,R+49,Trump +49,49.47597,republican,Calhoun,7,,,7,2827,4.0,2767,674,674,4,4,8,8,36,36,1,1,2043,2043,2,0,0,0,0,0,0,0
unknown,1638,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17015,2020-11-06T14:57:50Z,R+29,Trump +29,29.49038,republican,Carroll,22,,,21,1062,6.0,8006,2737,2737,11,11,39,39,111,111,10,10,5098,5098,0,0,0,0,0,0,0,0
some,1222,Other,,0,95,95% reported,edison,95%,17017,2020-11-04T10:43:35Z,R+38,Trump +38,37.7277,republican,Cass,21,,,20,5603,4.0,5325,1615,1615,6,6,17,17,50,50,4,4,3624,3624,18,0,0,0,0,0,0,0
some,23782,None,,65966,92,92% reported,edison,92%,17019,2020-11-06T22:35:55Z,D+22,Biden +22,21.92993,democrat,Champaign,118,,,108,101437,4.0,93019,55173,99601,268,437,635,1059,1444,2257,226,385,34774,54461,1284,44428,169,424,813,159,19687,286
unknown,3022,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,17021,2020-11-05T00:49:45Z,R+45,Trump +45,44.85523,republican,Christian,30,,,28,16962,2.0,16094,4286,4286,22,22,65,65,208,208,8,8,11505,11505,0,0,0,0,0,0,0,0
some,2598,Released as a separate subtotal in the middle of the tabulation,,0,96,96% reported,edison,96%,17023,2020-11-04T10:43:37Z,R+51,Trump +51,50.65947,republican,Clark,23,,,22,8656,4.0,8340,1990,1990,8,8,27,27,95,95,5,5,6215,6215,0,0,0,0,0,0,0,0
some,965,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,17025,2020-11-04T10:43:37Z,R+65,Trump +65,65.21172,republican,Clay,22,,,21,6971,4.0,6896,1129,1129,10,10,26,26,88,88,4,4,5626,5626,26,0,0,0,0,0,0,0
unknown,3803,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,17027,2020-11-06T02:15:44Z,R+51,Trump +51,51.23047,republican,Clinton,40,,,39,17465,4.0,19139,4459,4459,23,23,76,76,258,258,15,15,14264,14264,88,0,0,0,0,0,0,0
unknown,6758,None,,0,100,>98% reported,edison,>98%,17029,2020-11-04T10:43:38Z,R+27,Trump +27,26.63106,republican,Coles,44,,,41,21851,4.0,22470,7997,7997,34,34,130,130,300,300,28,28,13981,13981,0,0,0,0,0,0,0,0
some,823434,None,,0,78,78% reported,edison,78%,17031,2020-11-07T03:24:43Z,D+47,Biden +47,47.26562,democrat,Cook,3668,,,2853,2417649,2.0,1886299,1374757,1374757,2238,2238,9344,9344,13474,13474,3300,3300,483186,483186,0,0,0,0,0,0,0,0
some,2307,None,,0,98,98% reported,edison,98%,17033,2020-11-04T10:43:29Z,R+51,Trump +51,51.24748,republican,Crawford,24,,,23,9574,4.0,9419,2198,2198,8,8,43,43,119,119,10,10,7025,7025,32,0,0,0,0,0,0,0
unknown,741,Released as a separate subtotal at the end of tabulation,,0,96,96% reported,edison,96%,17035,2020-11-05T16:33:40Z,R+59,Trump +59,59.11347,republican,Cumberland,12,,,11,6100,2.0,5843,1141,1141,3,3,21,21,63,63,1,1,4595,4595,38,0,0,0,0,0,0,0
unknown,11174,None,,0,100,>98% reported,edison,>98%,17037,2020-11-05T18:28:56Z,D+6,Biden +6,5.58711,democrat,DeKalb,65,,,64,43345,4.0,47717,24484,24484,102,102,327,327,769,769,52,52,21818,21818,330,0,0,0,0,0,0,0
unknown,1771,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,17039,2020-11-04T10:43:31Z,R+43,Trump +43,43.18239,republican,DeWitt,23,,,22,7552,4.0,7994,2171,2171,12,12,47,47,138,138,3,3,5623,5623,0,0,0,0,0,0,0,0
unknown,1744,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,17041,2020-11-05T18:27:12Z,R+45,Trump +45,44.52321,republican,Douglas,17,,,16,8970,2.0,8746,2327,2327,10,10,43,43,119,119,4,4,6221,6221,44,0,0,0,0,0,0,0
unknown,159736,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,17043,2020-11-05T18:28:44Z,D+17,Biden +17,17.48361,democrat,DuPage,930,,,930,474506,4.0,467186,269638,269638,1008,1008,2347,2347,5882,5882,354,354,187957,187957,0,0,0,0,0,0,0,0
all,2528,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,17045,2020-11-04T10:43:34Z,R+53,Trump +53,52.74779,republican,Edgar,31,,,29,8656,4.0,8152,1869,1869,8,8,27,27,75,75,4,4,6169,6169,0,0,0,0,0,0,0,0
all,874,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,17047,2020-11-04T10:43:35Z,R+70,Trump +70,69.62589,republican,Edwards,12,,,11,3670,4.0,3368,488,488,2,2,9,9,31,31,3,3,2833,2833,4,0,0,0,0,0,0,0
unknown,5338,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17049,2020-11-04T10:43:35Z,R+59,Trump +59,59.25634,republican,Effingham,37,,,36,17654,4.0,19041,3700,3700,27,27,58,58,230,230,9,9,14983,14983,68,0,0,0,0,0,0,0
some,1970,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17051,2020-11-04T10:43:36Z,R+62,Trump +62,61.89574,republican,Fayette,28,,,26,10033,6.0,10033,1815,1815,15,15,36,36,113,113,6,6,8025,8025,46,0,0,0,0,0,0,0
unknown,1058,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,17053,2020-11-04T10:43:36Z,R+48,Trump +48,47.95124,republican,Ford,22,,,21,6997,4.0,6809,1691,1691,9,9,38,38,99,99,2,2,4956,4956,28,0,0,0,0,0,0,0
some,3605,None,,0,90,90% reported,edison,90%,17055,2020-11-06T17:50:12Z,R+48,Trump +48,47.72826,republican,Franklin,35,,,31,20497,2.0,18488,4690,4690,12,12,80,80,140,140,9,9,13514,13514,86,0,0,0,0,0,0,0
unknown,2166,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,17057,2020-11-04T10:43:37Z,R+21,Trump +21,20.74832,republican,Fulton,57,,,54,17278,4.0,16517,6371,6371,21,21,90,90,176,176,15,15,9798,9798,92,0,0,0,0,0,0,0
all,1011,Merged into voters' home precincts and released with cumulative results,,266,90,90% reported,edison,90%,17059,2020-11-04T10:43:37Z,R+52,Trump +52,52.30079,republican,Gallatin,11,,,10,2980,4.0,2673,621,687,2,4,10,10,18,18,2,3,2019,2216,2,66,2,0,0,1,197,0
some,1365,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17061,2020-11-04T10:43:38Z,R+55,Trump +55,54.91645,republican,Greene,22,,,22,6137,4.0,6224,1349,1349,11,11,21,21,70,70,6,6,4767,4767,0,0,0,0,0,0,0,0
unknown,5610,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17063,2020-11-04T10:43:38Z,R+26,Trump +26,26.23864,republican,Grundy,40,,,40,26400,6.0,26400,9445,9445,32,32,119,119,344,344,25,25,16372,16372,126,0,0,0,0,0,0,0
none,1330,None,,0,94,94% reported,edison,94%,17065,2020-11-04T10:43:39Z,R+60,Trump +60,60.42632,republican,Hamilton,16,,,15,4588,4.0,4316,821,821,3,3,11,11,40,40,4,4,3429,3429,16,0,0,0,0,0,0,0
none,1187,None,,0,72,72% reported,edison,72%,17067,2020-11-04T10:43:40Z,R+64,Trump +64,63.89947,republican,Hancock,33,,,21,9121,4.0,6565,1114,1114,2,2,27,27,94,94,3,3,5309,5309,32,0,0,0,0,0,0,0
unknown,1520,Merged into voters' home precincts and released with cumulative results,,0,0,0% reported,edison,0%,17069,2020-11-04T10:43:41Z,–,–,,,Hardin,6,,,0,2514,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,675,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,17071,2020-11-04T10:43:42Z,R+33,Trump +33,32.99562,republican,Henderson,13,,,12,3885,2.0,3652,1186,1186,4,4,11,11,49,49,2,2,2391,2391,18,0,0,0,0,0,0,0
unknown,4688,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17073,2020-11-04T10:43:42Z,R+21,Trump +21,21.47986,republican,Henry,52,,,49,24559,4.0,25624,9762,9762,43,43,107,107,364,364,17,17,15266,15266,130,0,0,0,0,0,0,0
some,3459,Other,,0,98,98% reported,edison,98%,17075,2020-11-04T10:43:43Z,R+57,Trump +57,56.83392,republican,Iroquois,37,,,36,14348,4.0,14011,2895,2895,24,24,64,64,146,146,4,4,10858,10858,40,0,0,0,0,0,0,0
unknown,6498,Merged into voters' home precincts and released with cumulative results,,0,83,83% reported,edison,83%,17077,2020-11-07T03:25:13Z,D+1.2,Biden +1.2,1.19158,democrat,Jackson,56,,,47,27180,2.0,22575,11104,11104,34,34,190,190,306,306,33,33,10835,10835,146,0,0,0,0,0,0,0
some,2270,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,17079,2020-11-05T18:11:19Z,R+62,Trump +62,62.45073,republican,Jasper,16,,,16,5643,2.0,5582,1006,1006,4,4,17,17,53,53,0,0,4492,4492,20,0,0,0,0,0,0,0
all,4357,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,17081,2020-11-04T10:43:44Z,R+45,Trump +45,45.17204,republican,Jefferson,33,,,30,18631,4.0,17409,4597,4597,16,16,77,77,213,213,13,13,12461,12461,64,0,0,0,0,0,0,0
some,2467,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,17083,2020-11-05T17:54:51Z,R+48,Trump +48,48.09077,republican,Jersey,25,,,24,12076,4.0,11942,2956,2956,10,10,45,45,202,202,7,7,8699,8699,46,0,0,0,0,0,0,0
unknown,3006,None,,6000,100,>98% reported,edison,>98%,17085,2020-11-05T00:49:33Z,R+17,Trump +17,16.54244,republican,JoDaviess,29,,,29,11314,2.0,12477,5097,8544,16,26,61,91,124,171,18,26,7161,9619,0,3447,10,30,47,8,2458,0
some,3610,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,17087,2020-11-04T10:43:45Z,R+59,Trump +59,58.55324,republican,Johnson,16,,,15,6442,6.0,6442,1280,1280,3,3,37,37,53,53,4,4,5052,5052,26,0,0,0,0,0,0,0
unknown,93112,None,,183441,100,>98% reported,edison,>98%,17089,2020-11-07T03:26:10Z,D+14,Biden +14,14.38287,democrat,Kane,291,,,291,220744,6.0,231734,130069,238987,541,929,1200,2035,2874,4764,298,480,96739,167957,36,108918,388,835,1890,182,71218,10
unknown,21168,None,,0,100,>98% reported,edison,>98%,17091,2020-11-04T10:43:45Z,R+17,Trump +17,16.68644,republican,Kankakee,64,,,61,47156,4.0,49729,20112,20112,55,55,185,185,786,786,44,44,28410,28410,274,0,0,0,0,0,0,0
unknown,13923,None,,37347,100,>98% reported,edison,>98%,17093,2020-11-05T00:14:29Z,D+5,Biden +5,4.69451,democrat,Kendall,87,,,87,59861,2.0,61327,31394,53703,89,139,312,482,749,1094,60,90,28515,42852,522,22309,50,170,345,30,14337,106
