absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,blackd__total_count,green__total_count,curranm__total_count,republican__total_count,durbinr__total_count,democrat__total_count,maloufd__total_count,libertarian__total_count,wilsonw__total_count,other__total_count,write-ins__total_count,blackd__absentee_count,curranm__absentee_count,durbinr__absentee_count,maloufd__absentee_count,wilsonw__absentee_count,write-ins__absentee_count
some,8885,Released as a separate subtotal at the end of tabulation,,18889,100,>98% reported,edison,>98%,17001,2020-11-04T10:43:35Z,R+45,Curran +45,44.55652,republican,Adams,74,,,68,32202,2.0,33113,164,261,23531,35646,8777,15131,389,583,239,358,36,97,12115,6354,194,119,10
unknown,1150,None,,0,100,>98% reported,edison,>98%,17003,2020-11-04T10:43:36Z,D+3,Durbin +3,3.10162,democrat,Alexander,11,,,11,3010,6.0,5481,16,16,2600,2600,2770,2770,61,61,34,34,0,0,0,0,0,0,0
unknown,2398,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,17005,2020-11-04T10:43:36Z,R+30,Curran +30,29.89691,republican,Bond,25,,,18,1160,6.0,5917,44,44,3740,3740,1971,1971,113,113,49,49,0,0,0,0,0,0,0
some,4522,Other,,0,100,>98% reported,edison,>98%,17007,2020-11-04T10:43:36Z,R+14,Curran +14,14.45106,republican,Boone,38,,,36,22910,4.0,24365,247,247,13460,13460,9939,9939,400,400,319,319,0,0,0,0,0,0,0
some,594,None,,0,95,95% reported,edison,95%,17009,2020-11-04T10:43:37Z,R+46,Curran +46,46.3395,republican,Brown,14,,,13,2604,4.0,2486,16,16,1786,1786,634,634,33,33,16,16,2,0,0,0,0,0,0
unknown,3786,Merged into voters' home precincts and released with cumulative results,,7344,94,94% reported,edison,94%,17011,2020-11-04T10:43:37Z,R+14,Curran +14,14.23444,republican,Bureau,50,,,46,18093,4.0,16994,121,161,9379,12626,6960,10883,254,326,280,342,0,40,3247,3923,72,62,0
all,710,Other,,0,95,95% reported,edison,95%,17013,2020-11-04T10:43:38Z,R+28,Curran +28,28.48101,republican,Calhoun,7,,,7,2827,4.0,2686,18,18,1693,1693,928,928,30,30,17,17,0,0,0,0,0,0,0
unknown,1638,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17015,2020-11-04T10:43:38Z,R+25,Curran +25,25.4115,republican,Carroll,22,,,21,1062,6.0,7898,41,41,4834,4834,2827,2827,105,105,91,91,0,0,0,0,0,0,0
some,1222,Other,,0,93,93% reported,edison,93%,17017,2020-11-04T10:43:39Z,R+27,Curran +27,26.70617,republican,Cass,21,,,19,5603,4.0,5231,34,34,3259,3259,1862,1862,47,47,28,28,2,0,0,0,0,0,0
some,23782,None,,66603,91,91% reported,edison,91%,17019,2020-11-06T22:09:46Z,D+20,Durbin +20,20.30693,democrat,Champaign,118,,,107,101437,4.0,92333,1180,2047,34712,55158,53462,96902,1484,2357,1442,2383,142,867,20446,43440,873,941,36
unknown,3022,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,17021,2020-11-05T00:49:44Z,R+36,Curran +36,35.5225,republican,Christian,30,,,28,16962,2.0,15866,135,135,10461,10461,4825,4825,217,217,228,228,0,0,0,0,0,0,0
some,2598,Released as a separate subtotal in the middle of the tabulation,,0,95,95% reported,edison,95%,17023,2020-11-04T10:43:42Z,R+47,Curran +47,46.75088,republican,Clark,23,,,22,8656,4.0,8233,51,51,5928,5928,2079,2079,107,107,68,68,0,0,0,0,0,0,0
some,965,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,17025,2020-11-04T10:43:43Z,R+59,Curran +59,58.99195,republican,Clay,22,,,21,6971,4.0,6706,38,38,5251,5251,1295,1295,78,78,37,37,14,0,0,0,0,0,0
unknown,3803,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,17027,2020-11-06T02:15:55Z,R+41,Curran +41,41.34488,republican,Clinton,40,,,39,17465,4.0,18931,106,106,13126,13126,5299,5299,275,275,114,114,22,0,0,0,0,0,0
unknown,6758,None,,0,94,94% reported,edison,94%,17029,2020-11-04T10:43:44Z,R+21,Curran +21,20.84533,republican,Coles,44,,,37,21851,4.0,20489,223,223,12006,12006,7735,7735,287,287,238,238,0,0,0,0,0,0,0
some,823434,None,,0,78,78% reported,edison,78%,17031,2020-11-07T03:24:43Z,D+45,Durbin +45,44.82144,democrat,Cook,3668,,,2862,2417649,2.0,1888295,19428,19428,427764,427764,1274125,1274125,18338,18338,148640,148640,0,0,0,0,0,0,0
some,2307,None,,0,97,97% reported,edison,97%,17033,2020-11-04T10:43:44Z,R+46,Curran +46,46.09098,republican,Crawford,24,,,23,9574,4.0,9299,50,50,6666,6666,2380,2380,122,122,77,77,8,0,0,0,0,0,0
unknown,741,Released as a separate subtotal at the end of tabulation,,0,95,95% reported,edison,95%,17035,2020-11-05T16:34:48Z,R+50,Curran +50,50.0,republican,Cumberland,12,,,11,6100,2.0,5772,36,36,4242,4242,1356,1356,77,77,56,56,10,0,0,0,0,0,0
unknown,11174,None,,0,100,>98% reported,edison,>98%,17037,2020-11-05T18:28:56Z,D+5,Durbin +5,4.61646,democrat,DeKalb,65,,,64,43345,4.0,47374,590,590,21097,21097,23284,23284,898,898,1340,1340,330,0,0,0,0,0,0
unknown,1771,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,17039,2020-11-04T10:43:45Z,R+34,Curran +34,34.24396,republican,DeWitt,23,,,22,7552,4.0,7870,68,68,5129,5129,2434,2434,169,169,70,70,0,0,0,0,0,0,0
unknown,1744,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,17041,2020-11-05T18:29:23Z,R+39,Curran +39,39.04332,republican,Douglas,17,,,16,8970,2.0,8634,82,82,5859,5859,2488,2488,112,112,76,76,34,0,0,0,0,0,0
unknown,159736,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,17043,2020-11-05T18:28:44Z,D+14,Durbin +14,13.63585,democrat,DuPage,930,,,930,474506,4.0,466337,3848,3848,190858,190858,254447,254447,5401,5401,11783,11783,0,0,0,0,0,0,0
all,2528,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,17045,2020-11-04T10:43:46Z,R+41,Curran +41,41.4275,republican,Edgar,31,,,28,8656,4.0,8014,69,69,5546,5546,2226,2226,100,100,73,73,0,0,0,0,0,0,0
all,874,Merged into voters' home precincts and released with cumulative results,,0,89,89% reported,edison,89%,17047,2020-11-04T10:43:46Z,R+64,Curran +64,64.20281,republican,Edwards,12,,,11,3670,4.0,3274,9,9,2658,2658,556,556,30,30,19,19,4,0,0,0,0,0,0
unknown,5338,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17049,2020-11-04T10:43:47Z,R+54,Curran +54,53.99563,republican,Effingham,37,,,35,17654,4.0,18783,84,84,14250,14250,4108,4108,213,213,116,116,24,0,0,0,0,0,0
some,1970,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,17051,2020-11-04T10:43:48Z,R+55,Curran +55,55.21528,republican,Fayette,28,,,26,10033,6.0,9894,65,65,7563,7563,2100,2100,117,117,44,44,10,0,0,0,0,0,0
unknown,1058,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,17053,2020-11-04T10:43:50Z,R+46,Curran +46,45.80607,republican,Ford,22,,,21,6997,4.0,6724,59,59,4783,4783,1703,1703,86,86,90,90,6,0,0,0,0,0,0
some,3605,None,,0,89,89% reported,edison,89%,17055,2020-11-06T17:51:22Z,R+35,Curran +35,34.61708,republican,Franklin,35,,,31,20497,2.0,18176,123,123,12025,12025,5733,5733,180,180,106,106,18,0,0,0,0,0,0
unknown,2166,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,17057,2020-11-04T10:43:51Z,R+11,Curran +11,10.84219,republican,Fulton,57,,,53,17278,4.0,16279,150,150,8738,8738,6973,6973,251,251,152,152,30,0,0,0,0,0,0
all,1011,Merged into voters' home precincts and released with cumulative results,,249,85,85% reported,edison,85%,17059,2020-11-04T10:43:52Z,R+32,Curran +32,32.0725,republican,Gallatin,11,,,9,2980,4.0,2538,16,20,1642,1794,828,920,23,23,29,30,0,4,152,92,0,1,0
some,1365,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,17061,2020-11-04T10:43:52Z,R+41,Curran +41,40.72727,republican,Greene,22,,,21,6137,4.0,6050,65,65,4166,4166,1702,1702,68,68,49,49,0,0,0,0,0,0,0
unknown,5610,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,17063,2020-11-04T10:43:52Z,R+20,Curran +20,20.32658,republican,Grundy,40,,,40,26400,6.0,25966,251,251,14864,14864,9586,9586,374,374,878,878,26,0,0,0,0,0,0
none,1330,None,,0,90,90% reported,edison,90%,17065,2020-11-04T10:43:53Z,R+44,Curran +44,43.84486,republican,Hamilton,16,,,14,4588,4.0,4151,33,33,2928,2928,1108,1108,56,56,26,26,0,0,0,0,0,0,0
none,1187,None,,0,71,71% reported,edison,71%,17067,2020-11-04T10:43:53Z,R+57,Curran +57,56.59674,republican,Hancock,33,,,21,9121,4.0,6435,38,38,4953,4953,1311,1311,98,98,31,31,8,0,0,0,0,0,0
unknown,1520,Merged into voters' home precincts and released with cumulative results,,0,0,0% reported,edison,0%,17069,2020-11-04T10:43:53Z,–,–,,,Hardin,6,,,0,2514,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,675,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,17071,2020-11-04T10:43:54Z,R+25,Curran +25,24.61409,republican,Henderson,13,,,12,3885,2.0,3563,20,20,2175,2175,1298,1298,41,41,28,28,2,0,0,0,0,0,0
unknown,4688,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,17073,2020-11-04T10:43:54Z,R+18,Curran +18,18.056,republican,Henry,52,,,48,24559,4.0,25216,147,147,14524,14524,9971,9971,348,348,211,211,30,0,0,0,0,0,0
some,3459,Other,,0,96,96% reported,edison,96%,17075,2020-11-04T10:43:54Z,R+52,Curran +52,51.84034,republican,Iroquois,37,,,35,14348,4.0,13829,104,104,10231,10231,3062,3062,152,152,274,274,12,0,0,0,0,0,0
unknown,6498,Merged into voters' home precincts and released with cumulative results,,0,82,82% reported,edison,82%,17077,2020-11-07T03:25:13Z,D+5,Durbin +5,4.61249,democrat,Jackson,56,,,46,27180,2.0,22309,365,365,10234,10234,11263,11263,292,292,141,141,28,0,0,0,0,0,0
some,2270,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,17079,2020-11-05T18:12:06Z,R+55,Curran +55,54.60889,republican,Jasper,16,,,15,5643,2.0,5446,29,29,4154,4154,1180,1180,56,56,26,26,2,0,0,0,0,0,0
all,4357,Merged into voters' home precincts and released with cumulative results,,0,91,91% reported,edison,91%,17081,2020-11-04T10:43:56Z,R+37,Curran +37,37.11018,republican,Jefferson,33,,,30,18631,4.0,16963,141,141,11385,11385,5090,5090,230,230,110,110,14,0,0,0,0,0,0
some,2467,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,17083,2020-11-05T17:55:39Z,R+38,Curran +38,37.53439,republican,Jersey,25,,,24,12076,4.0,11632,61,61,7839,7839,3473,3473,169,169,85,85,10,0,0,0,0,0,0
unknown,3006,None,,5932,100,>98% reported,edison,>98%,17085,2020-11-05T00:49:32Z,R+15,Curran +15,14.69028,republican,JoDaviess,29,,,28,11314,2.0,12253,108,160,6851,9325,5051,8368,149,204,94,128,0,52,2474,3317,55,34,0
some,3610,Released as a precinct at the end of tabulation,,0,98,98% reported,edison,98%,17087,2020-11-04T10:43:59Z,R+48,Curran +48,48.44318,republican,Johnson,16,,,15,6442,6.0,6327,50,50,4621,4621,1556,1556,49,49,49,49,4,0,0,0,0,0,0
unknown,93112,None,,182185,100,>98% reported,edison,>98%,17089,2020-11-07T03:26:11Z,D+11,Durbin +11,11.44516,democrat,Kane,291,,,291,220744,6.0,229870,1939,3264,96228,168402,122537,225065,2999,4935,6167,10389,0,1325,72174,102528,1936,4222,0
none,21168,None,,0,100,>98% reported,edison,>98%,17091,2020-11-04T10:44:00Z,R+14,Curran +14,13.76658,republican,Kankakee,64,,,60,47156,4.0,49148,357,357,26374,26374,19608,19608,950,950,1845,1845,28,0,0,0,0,0,0
unknown,13923,None,,36996,100,>98% reported,edison,>98%,17093,2020-11-05T00:14:28Z,D+3,Durbin +3,2.76952,democrat,Kendall,87,,,87,59861,2.0,60552,545,856,27759,42209,29436,50356,853,1241,1931,2847,67,311,14450,20920,388,916,11
unknown,6554,None,,0,89,89% reported,edison,89%,17095,2020-11-05T16:14:11Z,R+3,Curran +3,2.76834,republican,Knox,31,,,27,25236,2.0,22360,197,197,11165,11165,10546,10546,288,288,164,164,0,0,0,0,0,0,0
unknown,7973,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,17099,2020-11-05T00:46:51Z,R+10,Curran +10,9.59415,republican,LaSalle,119,,,111,54372,2.0,51250,378,378,26827,26827,21910,21910,704,704,1406,1406,50,0,0,0,0,0,0
unknown,165277,None,,181754,76,76% reported,edison,76%,17097,2020-11-04T10:44:01Z,D+10,Durbin +10,9.79739,democrat,Lake,415,,,313,334925,4.0,253292,1702,2750,108946,179081,133762,239083,2795,4336,6087,9796,0,1048,70135,105321,1541,3709,0
none,920,None,,0,93,93% reported,edison,93%,17101,2020-11-04T10:44:01Z,R+47,Curran +47,46.80714,republican,Lawrence,22,,,20,6688,4.0,6217,39,39,4471,4471,1561,1561,92,92,48,48,12,0,0,0,0,0,0
unknown,4965,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,17103,2020-11-05T00:48:56Z,R+17,Curran +17,16.96345,republican,Lee,49,,,46,16895,2.0,16117,141,141,9142,9142,6408,6408,207,207,213,213,12,0,0,0,0,0,0
unknown,4304,None,,0,100,>98% reported,edison,>98%,17105,2020-11-04T10:44:02Z,R+37,Curran +37,37.41225,republican,Livingston,47,,,46,5933,6.0,16810,132,132,11200,11200,4911,4911,262,262,305,305,0,0,0,0,0,0,0
all,3994,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,17107,2020-11-04T10:44:02Z,R+31,Curran +31,30.56819,republican,Logan,29,,,27,13117,6.0,12971,101,101,8261,8261,4296,4296,197,197,116,116,0,0,0,0,0,0,0
unknown,14264,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,17115,2020-11-04T10:43:23Z,R+14,Curran +14,14.37408,republican,Macon,72,,,65,45131,6.0,48497,402,402,26874,26874,19903,19903,728,728,590,590,0,0,0,0,0,0,0
all,3614,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,17117,2020-11-04T10:43:26Z,R+26,Curran +26,26.29589,republican,Macoupin,61,,,58,24534,4.0,23536,194,194,14468,14468,8279,8279,395,395,193,193,14,0,0,0,0,0,0
some,57323,None,,0,100,>98% reported,edison,>98%,17119,2020-11-05T17:34:40Z,R+9,Curran +9,9.44283,republican,Madison,225,,,209,129785,2.0,134070,1235,1235,70907,70907,58247,58247,2196,2196,1074,1074,822,0,0,0,0,0,0
