absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
some,7625,Released as a separate subtotal as first report of the night,,9160,100,>98% reported,edison,>98%,18001,2020-11-04T10:43:51Z,R+52,Trump +52,52.31774,republican,Adams,25,,,25,14238,6,14238,3236,5742,287,450,10685,17158,78,2506,163,6473,18
some,79356,Merged into voters' home precincts and released with cumulative results,,70174,100,>98% reported,edison,>98%,18003,2020-11-05T16:20:15Z,R+11,Trump +11,11.28051,republican,Allen,292,,,292,164793,4,168964,72825,107657,3704,4863,91885,125876,1292,34832,1159,33991,192
unknown,15848,Merged into voters' home precincts and released with cumulative results,,27287,100,>98% reported,edison,>98%,18005,2020-11-04T10:43:52Z,R+26,Trump +26,26.10265,republican,Bartholomew,68,,,12,36389,4,36299,12934,23976,872,1393,22409,38079,222,11042,521,15670,54
all,1863,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18007,2020-11-04T10:43:52Z,R+49,Trump +49,48.55407,republican,Benton,15,,,15,3137,6,4115,1009,1009,92,92,3007,3007,14,0,0,0,0
some,4640,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18009,2020-11-04T10:43:52Z,R+46,Trump +46,45.98431,republican,Blackford,12,,,12,5193,2,5354,1376,1376,131,131,3838,3838,18,0,0,0,0
all,20573,Released as a separate subtotal as first report of the night,,28040,100,>98% reported,edison,>98%,18011,2020-11-05T02:31:03Z,R+18,Trump +18,18.40143,republican,Boone,53,,,53,38500,6,38622,15244,26622,905,1476,22351,38326,360,11378,571,15975,116
all,5280,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18013,2020-11-04T10:43:53Z,R+31,Trump +31,30.71123,republican,Brown,12,,,12,8886,6,8886,2996,2996,165,165,5725,5725,0,0,0,0,0
unknown,3417,None,,0,100,>98% reported,edison,>98%,18015,2020-11-04T10:43:54Z,R+51,Trump +51,51.10364,republican,Carroll,19,,,19,9274,4,9514,2224,2224,185,185,7086,7086,38,0,0,0,0
unknown,4407,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18017,2020-11-05T01:02:00Z,R+41,Trump +41,41.15904,republican,Cass,40,,,39,15247,4,15185,4301,4301,333,333,10551,10551,0,0,0,0,0
all,16556,None,,28509,100,>98% reported,edison,>98%,18019,2020-11-04T10:43:54Z,R+18,Trump +18,18.20813,republican,Clark,72,,,72,58040,6,58040,23088,37551,1108,1567,33656,47180,439,14463,459,13524,63
unknown,6617,Released as a separate subtotal as first report of the night,,6585,100,>98% reported,edison,>98%,18021,2020-11-05T18:38:59Z,R+57,Trump +57,56.60178,republican,Clay,24,,,24,7777,6,12277,2549,4290,208,298,9498,14243,53,1741,90,4745,9
all,5508,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18023,2020-11-04T10:43:57Z,R+46,Trump +46,46.08441,republican,Clinton,39,,,39,12961,6,12961,3361,3361,246,246,9334,9334,40,0,0,0,0
some,1953,Merged into voters' home precincts and released with cumulative results,,1735,100,>98% reported,edison,>98%,18025,2020-11-05T19:29:37Z,R+43,Trump +43,42.77967,republican,Crawford,18,,,17,4928,2,4979,1369,2100,107,145,3499,4463,10,731,38,964,2
all,5181,Merged into voters' home precincts and released with cumulative results,,6325,100,>98% reported,edison,>98%,18027,2020-11-04T10:43:59Z,R+62,Trump +62,61.87453,republican,Daviess,28,,,28,11971,6,11971,2169,3644,204,281,9576,14342,51,1475,77,4766,7
all,10371,Released as a separate subtotal as first report of the night,,12692,100,>98% reported,edison,>98%,18033,2020-11-04T10:44:00Z,R+47,Trump +47,47.16626,republican,DeKalb,39,,,39,19656,6,19656,4966,8758,425,640,14237,22902,76,3792,215,8665,20
none,6893,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,18029,2020-11-05T22:08:35Z,R+55,Trump +55,55.36321,republican,Dearborn,45,,,42,26431,4,25302,5433,5433,384,384,19441,19441,88,0,0,0,0
all,5907,None,,0,100,>98% reported,edison,>98%,18031,2020-11-04T10:43:59Z,R+58,Trump +58,58.01887,republican,Decatur,22,,,22,12261,4,12296,2436,2436,273,273,9570,9570,34,0,0,0,0
some,20448,Merged into voters' home precincts and released with cumulative results,,20158,97,97% reported,edison,97%,18035,2020-11-04T10:44:00Z,R+13,Trump +13,13.30034,republican,Delaware,78,,,74,49722,2,48089,20328,31494,888,1131,26724,35426,345,11166,243,8702,47
all,14877,Released as a separate subtotal as first report of the night,,16461,100,>98% reported,edison,>98%,18037,2020-11-04T10:44:01Z,R+40,Trump +40,40.08255,republican,Dubois,40,,,40,21805,6,21805,6292,11438,432,689,15032,26062,126,5146,257,11030,28
unknown,25116,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18039,2020-11-04T10:44:01Z,R+29,Trump +29,28.53943,republican,Elkhart,118,,,118,73200,6,73225,25413,25413,1210,1210,46311,46311,582,0,0,0,0
all,7320,Released as a separate subtotal as first report of the night,,4890,99,>98% reported,edison,>98%,18041,2020-11-04T10:44:01Z,R+54,Trump +54,54.38596,republican,Fayette,28,,,28,10226,4,10146,2237,3499,144,197,7755,11327,23,1262,53,3572,3
some,12876,Released separately AFTER election night,,0,100,>98% reported,edison,>98%,18043,2020-11-05T19:32:31Z,R+14,Trump +14,14.08174,republican,Floyd,60,,,60,41239,2,41742,17507,17507,850,850,23385,23385,0,0,0,0,0
unknown,2649,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,18045,2020-11-04T10:44:02Z,R+57,Trump +57,56.70594,republican,Fountain,18,,,17,8039,2,7978,1627,1627,200,200,6151,6151,0,0,0,0,0
all,3908,None,,4828,100,>98% reported,edison,>98%,18047,2020-11-04T10:44:02Z,R+63,Trump +63,62.85572,republican,Franklin,23,,,23,12018,6,12018,2137,3415,169,225,9691,13174,53,1278,56,3483,11
all,5427,Merged into voters' home precincts and released with cumulative results,,3032,100,>98% reported,edison,>98%,18049,2020-11-04T10:44:03Z,R+48,Trump +48,48.22173,republican,Fulton,17,,,17,9110,6,9110,2274,3108,169,213,6667,8821,0,834,44,2154,0
all,13292,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18051,2020-11-04T10:44:03Z,R+48,Trump +48,48.19054,republican,Gibson,34,,,34,16165,6,16165,4027,4027,321,321,11817,11817,0,0,0,0,0
some,19083,None,,12279,100,>98% reported,edison,>98%,18053,2020-11-04T10:44:04Z,R+39,Trump +39,38.66324,republican,Grant,63,,,61,27160,2,27230,8015,12151,584,747,18543,26489,210,4136,163,7946,34
all,7323,Released as a separate subtotal as first report of the night,,7987,100,>98% reported,edison,>98%,18055,2020-11-04T10:44:05Z,R+52,Trump +52,52.09698,republican,Greene,32,,,31,14726,6,14807,3389,5760,290,433,11103,16563,63,2371,143,5460,13
unknown,74760,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18057,2020-11-05T16:09:42Z,R+7,Trump +7,6.78643,republican,Hamilton,225,,,225,172767,4,194447,88367,88367,3893,3893,101563,101563,1248,0,0,0,0
unknown,18729,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18059,2020-11-04T10:43:24Z,R+38,Trump +38,37.50733,republican,Hancock,50,,,50,39869,2,42645,12821,12821,1008,1008,28816,28816,0,0,0,0,0
some,7107,Merged into voters' home precincts and released with cumulative results,,8260,100,>98% reported,edison,>98%,18061,2020-11-04T10:43:24Z,R+46,Trump +46,45.58867,republican,Harrison,39,,,38,19914,2,20198,5334,8488,322,427,14542,19543,0,3154,105,5001,0
all,33144,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18063,2020-11-04T10:43:25Z,R+24,Trump +24,24.01334,republican,Hendricks,104,,,104,88430,6,88430,32453,32453,2043,2043,53688,53688,492,0,0,0,0
all,6212,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,18065,2020-11-06T17:42:35Z,R+45,Trump +45,45.19505,republican,Henry,41,,,38,18244,6,21020,5543,5543,434,434,15043,15043,0,0,0,0,0
all,16788,None,,0,100,>98% reported,edison,>98%,18067,2020-11-04T10:43:26Z,R+32,Trump +32,32.32477,republican,Howard,79,,,78,40619,6,40619,13270,13270,856,856,26400,26400,186,0,0,0,0
unknown,9828,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,18069,2020-11-04T10:43:27Z,R+50,Trump +50,49.93543,republican,Huntington,37,,,37,17215,2,17809,4254,4254,408,408,13147,13147,0,0,0,0,0
none,7797,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18071,2020-11-04T10:43:28Z,R+53,Trump +53,53.29556,republican,Jackson,30,,,30,18857,2,19238,4302,4302,381,381,14555,14555,0,0,0,0,0
some,4737,Merged into voters' home precincts and released with cumulative results,,7657,100,>98% reported,edison,>98%,18073,2020-11-06T14:08:14Z,R+49,Trump +49,48.95127,republican,Jasper,29,,,29,14355,2,15495,3798,6233,288,401,11383,16482,62,2435,113,5099,10
all,5825,Released as a separate subtotal as first report of the night,,4979,100,>98% reported,edison,>98%,18075,2020-11-04T10:43:29Z,R+52,Trump +52,52.38601,republican,Jay,18,,,18,8466,6,8466,1926,3338,169,250,6361,9840,27,1412,81,3479,7
some,7155,Merged into voters' home precincts and released with cumulative results,,7840,100,>98% reported,edison,>98%,18077,2020-11-04T10:43:29Z,R+33,Trump +33,33.45783,republican,Jefferson,26,,,25,14726,6,14726,4732,8052,295,410,9659,14048,96,3320,115,4389,16
all,6188,Merged into voters' home precincts and released with cumulative results,,5000,100,>98% reported,edison,>98%,18079,2020-11-04T10:43:30Z,R+57,Trump +57,56.77151,republican,Jennings,25,,,25,12150,6,12272,2521,3957,237,317,9488,12965,59,1436,80,3477,7
unknown,50885,Merged into voters' home precincts and released with cumulative results,,56495,100,>98% reported,edison,>98%,18081,2020-11-04T10:43:31Z,R+34,Trump +34,34.04299,republican,Johnson,135,,,135,74480,2,77784,24729,43356,1617,2554,51209,88001,597,18627,937,36792,139
