absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,ernstj__total_count,republican__total_count,greenfieldt__total_count,democrat__total_count,herzogs__total_count,independent__total_count,stewartr__total_count,libertarian__total_count,ernstj__absentee_count,greenfieldt__absentee_count,herzogs__absentee_count,stewartr__absentee_count
all,,None,,2051,99,>98% reported,edison,>98%,19001,2020-11-04T10:44:02Z,R+39,Ernst +39,38.705,republican,Adair,5,,,5,4171,6,4139,2808,3992,1206,2009,36,62,89,127,1184,803,26,38
all,,None,,1237,100,>98% reported,edison,>98%,19003,2020-11-04T10:44:02Z,R+42,Ernst +42,41.92201,republican,Adams,5,,,5,2154,6,2154,1496,2276,593,1013,19,34,46,68,780,420,15,22
all,,None,,4775,100,>98% reported,edison,>98%,19005,2020-11-04T10:44:03Z,R+26,Ernst +26,25.57283,republican,Allamakee,11,,,11,7152,4,7332,4476,7070,2601,4633,80,124,175,280,2594,2032,44,105
unknown,,None,,3145,100,>98% reported,edison,>98%,19007,2020-11-04T10:44:04Z,R+35,Ernst +35,34.98981,republican,Appanoose,13,,,12,6406,2,6379,4186,5890,1954,3287,71,111,168,236,1704,1333,40,68
unknown,,None,,2002,95,95% reported,edison,95%,19009,2020-11-04T10:44:05Z,R+33,Ernst +33,32.51188,republican,Audubon,3,,,3,3559,2,3368,2186,3345,1091,1887,21,31,70,107,1159,796,10,37
none,,None,,6401,98,98% reported,edison,98%,19011,2020-11-04T10:44:05Z,R+25,Ernst +25,25.05529,republican,Benton,19,,,17,14703,4,14468,8822,11896,5197,8337,119,168,330,468,3074,3140,49,138
unknown,,None,,40598,85,85% reported,edison,85%,19013,2020-11-04T10:44:06Z,D+9,Greenfield +9,8.69822,democrat,Black Hawk,63,,,62,77548,4,65933,29204,43253,34939,60555,490,769,1300,1954,14049,25616,279,654
some,,None,,9366,100,>98% reported,edison,>98%,19015,2020-11-04T10:44:07Z,R+13,Ernst +13,13.15164,republican,Boone,13,,,13,15057,4,15154,8299,12490,6306,11199,166,252,383,579,4191,4893,86,196
all,,None,,8296,92,92% reported,edison,92%,19017,2020-11-04T10:44:07Z,R+16,Ernst +16,15.83177,republican,Bremer,14,,,14,15704,4,14433,8190,11962,5905,10264,84,130,254,373,3772,4359,46,119
all,,None,,5517,97,97% reported,edison,97%,19019,2020-11-04T10:44:08Z,R+17,Ernst +17,16.56849,republican,Buchanan,11,,,11,11039,4,10695,6062,8531,4290,7180,96,147,247,354,2469,2890,51,107
some,,None,,3667,90,90% reported,edison,90%,19021,2020-11-04T10:44:08Z,R+21,Ernst +21,21.37337,republican,Buena Vista,8,,,8,8782,4,7893,4670,6478,2983,4734,75,112,165,236,1808,1751,37,71
unknown,,None,,4138,100,>98% reported,edison,>98%,19023,2020-11-04T10:44:08Z,R+35,Ernst +35,35.19051,republican,Butler,8,,,7,7770,2,8005,5290,7685,2473,4111,69,107,173,240,2395,1638,38,67
unknown,,None,,2493,95,95% reported,edison,95%,19025,2020-11-04T10:44:09Z,R+38,Ernst +38,38.09341,republican,Calhoun,11,,,10,5469,2,5203,3512,4918,1530,2531,32,45,129,202,1406,1001,13,73
unknown,,None,,6237,99,>98% reported,edison,>98%,19027,2020-11-04T10:44:09Z,R+33,Ernst +33,32.91378,republican,Carroll,14,,,13,11193,2,11123,7230,10665,3569,6225,96,139,228,331,3435,2656,43,103
some,,None,,4157,99,>98% reported,edison,>98%,19029,2020-11-07T22:49:50Z,R+34,Ernst +34,34.45096,republican,Cass,10,,,10,7265,6,7158,4725,7172,2259,3882,54,82,120,179,2447,1623,28,59
all,,None,,5886,100,>98% reported,edison,>98%,19031,2020-11-04T10:44:09Z,R+16,Ernst +16,15.5197,republican,Cedar,12,,,12,10108,4,10535,5935,8612,4300,7377,74,112,226,320,2677,3077,38,94
some,,None,,13849,94,94% reported,edison,94%,19033,2020-11-04T10:44:10Z,D+0.85,Greenfield +0.85,0.84652,democrat,Cerro Gordo,27,,,26,24941,4,23508,11334,16580,11533,19827,211,316,430,634,5246,8294,105,204
unknown,,None,,3943,96,96% reported,edison,96%,19035,2020-11-07T22:49:49Z,R+34,Ernst +34,34.44946,republican,Cherokee,7,,,6,6716,2,6421,4214,6506,2002,3537,67,110,138,211,2292,1535,43,73
unknown,,None,,4239,99,>98% reported,edison,>98%,19037,2020-11-04T10:44:10Z,R+26,Ernst +26,25.79957,republican,Chickasaw,14,,,12,6605,6,6566,4015,6259,2321,4181,71,105,159,260,2244,1860,34,101
all,,None,,2521,99,>98% reported,edison,>98%,19039,2020-11-04T10:44:10Z,R+30,Ernst +30,30.03695,republican,Clarke,8,,,8,4666,6,4601,2902,4207,1520,2647,60,89,119,179,1305,1127,29,60
unknown,,None,,5577,98,98% reported,edison,98%,19041,2020-11-04T10:44:10Z,R+32,Ernst +32,32.30003,republican,Clay,12,,,11,9065,2,8839,5706,8922,2851,5075,89,130,193,289,3216,2224,41,96
none,,None,,4690,100,>98% reported,edison,>98%,19043,2020-11-04T10:44:11Z,R+25,Ernst +25,25.33628,republican,Clayton,14,,,14,9431,2,9516,5844,8083,3433,5767,82,135,157,221,2239,2334,53,64
unknown,,None,,15725,93,93% reported,edison,93%,19045,2020-11-04T10:44:11Z,R+7,Ernst +7,6.62829,republican,Clinton,26,,,24,26195,2,24320,12549,19115,10937,19597,200,332,634,1001,6566,8660,132,367
unknown,,None,,4038,97,97% reported,edison,97%,19047,2020-11-04T10:44:11Z,R+30,Ernst +30,29.93694,republican,Crawford,8,,,7,7165,2,6978,4415,6675,2326,3962,78,127,159,252,2260,1636,49,93
some,,None,,33813,99,>98% reported,edison,>98%,19049,2020-11-04T10:44:11Z,R+6,Ernst +6,5.9303,republican,Dallas,34,,,34,56000,4,55326,28614,43004,25333,44076,379,582,1000,1477,14390,18743,203,477
all,,None,,2148,99,>98% reported,edison,>98%,19051,2020-11-07T22:49:49Z,R+39,Ernst +39,38.64818,republican,Davis,8,,,7,4097,6,4039,2728,3974,1167,1995,32,52,112,166,1246,828,20,54
all,,None,,1650,98,98% reported,edison,98%,19053,2020-11-04T10:44:12Z,R+34,Ernst +34,34.14634,republican,Decatur,7,,,7,3798,6,3731,2436,3288,1162,1915,43,59,90,119,852,753,16,29
unknown,,None,,4784,100,>98% reported,edison,>98%,19055,2020-11-07T22:49:49Z,R+32,Ernst +32,32.41039,republican,Delaware,12,,,11,9651,2,9932,6454,9033,3235,5326,71,110,172,247,2579,2091,39,75
unknown,,None,,12526,92,92% reported,edison,92%,19057,2020-11-04T10:44:12Z,R+0.89,Ernst +0.89,0.89381,republican,Des Moines,17,,,15,21340,2,19579,9466,14458,9291,16369,232,363,590,915,4992,7078,131,325
unknown,,None,,7821,93,93% reported,edison,93%,19059,2020-11-04T10:44:13Z,R+30,Ernst +30,30.06355,republican,Dickinson,6,,,6,12011,2,11173,7146,11814,3787,6806,66,105,174,269,4668,3019,39,95
unknown,,None,,33818,90,90% reported,edison,90%,19061,2020-11-06T14:12:37Z,R+1.1,Ernst +1.1,1.13309,republican,Dubuque,36,,,36,58809,4,53041,26033,38836,25432,45540,428,718,1148,1765,12803,20108,290,617
unknown,,None,,2581,96,96% reported,edison,96%,19063,2020-11-07T22:49:48Z,R+28,Ernst +28,27.68974,republican,Emmet,12,,,10,5000,2,4796,2965,4288,1637,2818,47,63,147,208,1323,1181,16,61
all,,None,,5370,99,>98% reported,edison,>98%,19065,2020-11-07T22:49:48Z,R+19,Ernst +19,19.35803,republican,Fayette,26,,,26,10176,6,10094,5865,8355,3911,6648,89,137,229,324,2490,2737,48,95
some,,None,,4605,92,92% reported,edison,92%,19067,2020-11-04T10:43:28Z,R+9,Ernst +9,8.60769,republican,Floyd,9,,,9,8668,4,7958,4179,6144,3494,5993,98,144,187,282,1965,2499,46,95
unknown,,None,,2488,95,95% reported,edison,95%,19069,2020-11-07T22:49:48Z,R+32,Ernst +32,32.23892,republican,Franklin,13,,,11,5319,2,5056,3268,4662,1638,2671,50,68,100,143,1394,1033,18,43
