absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,2827,Other,,2774,100,>98% reported,edison,>98%,20001,2020-11-04T10:44:12Z,R+49,Trump +49,48.77071,republican,Allen,22,,,22,7429,6,7484,1836,2863,136,178,5486,7183,60,1027,42,1697,8
all,1459,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20003,2020-11-06T23:08:14Z,R+57,Trump +57,56.69355,republican,Anderson,19,,,19,3664,6,3720,765,765,81,81,2874,2874,0,0,0,0,0
unknown,4051,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,20005,2020-11-06T23:26:06Z,R+34,Trump +34,34.35449,republican,Atchison,11,,,11,362,6,7312,2314,2314,172,172,4826,4826,0,0,0,0,0
all,1357,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,92,92% reported,edison,92%,20007,2020-11-04T20:07:25Z,R+74,Trump +74,73.84349,republican,Barber,23,,,21,2507,4,2313,284,284,37,37,1992,1992,0,0,0,0,0
all,7606,Merged into voters' home precincts and released with cumulative results,,2429,100,>98% reported,edison,>98%,20009,2020-11-05T22:31:21Z,R+56,Trump +56,56.26594,republican,Barton,40,,,38,10891,6,10980,2302,2721,179,215,8480,10449,43,419,36,1969,5
some,4810,Released separately AFTER election night,,3051,97,97% reported,edison,97%,20011,2020-11-04T10:44:13Z,R+52,Trump +52,51.97861,republican,Bourbon,20,,,19,6776,2,6545,1504,2451,110,155,4906,6953,62,947,45,2047,12
unknown,2133,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,20013,2020-11-06T17:51:06Z,R+48,Trump +48,48.18016,republican,Brown,18,,,17,4377,2,4396,1088,1088,102,102,3206,3206,0,0,0,0,0
some,10166,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20015,2020-11-06T22:32:04Z,R+41,Trump +41,41.46685,republican,Butler,49,,,49,31708,6,31946,9003,9003,693,693,22250,22250,0,0,0,0,0
unknown,946,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,20017,2020-11-04T21:06:25Z,R+52,Trump +52,52.30041,republican,Chase,11,,,10,1484,2,1478,341,341,23,23,1114,1114,0,0,0,0,0
unknown,742,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,20019,2020-11-05T23:06:16Z,R+73,Trump +73,72.52142,republican,Chautauqua,14,,,13,1768,2,1634,212,212,25,25,1397,1397,0,0,0,0,0
all,2829,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,20021,2020-11-06T23:10:12Z,R+50,Trump +50,49.84908,republican,Cherokee,38,,,35,8925,6,8945,2163,2163,160,160,6622,6622,0,0,0,0,0
unknown,1605,Other,,0,86,86% reported,edison,86%,20023,2020-11-05T19:14:31Z,R+67,Trump +67,67.0,republican,Cheyenne,8,,,7,1621,2,1400,220,220,22,22,1158,1158,0,0,0,0,0
all,621,Merged into voters' home precincts and released with cumulative results,,487,91,91% reported,edison,91%,20025,2020-11-06T20:06:14Z,R+71,Trump +71,70.80153,republican,Clark,7,,,6,1156,4,1048,143,241,20,30,885,1264,0,98,10,379,0
unknown,3531,Other,,0,95,95% reported,edison,95%,20027,2020-11-04T10:43:31Z,R+54,Trump +54,54.38,republican,Clay,22,,,21,4342,2,4121,879,879,108,108,3120,3120,28,0,0,0,0
some,1701,Released separately AFTER election night,,2258,91,91% reported,edison,91%,20029,2020-11-06T22:46:16Z,R+55,Trump +55,54.77387,republican,Cloud,26,,,24,4609,2,4179,893,1600,99,145,3182,4683,14,707,46,1501,4
all,2402,"As a precinct in the FIRST cumulative report, along with regular precincts",,1307,100,>98% reported,edison,>98%,20031,2020-11-04T10:43:34Z,R+56,Trump +56,55.76317,republican,Coffey,22,,,21,4442,6,4442,926,1192,105,133,3403,4414,18,266,28,1011,2
some,280,Merged into voters' home precincts and released with cumulative results,,168,89,89% reported,edison,89%,20033,2020-11-04T10:43:35Z,R+69,Trump +69,68.77778,republican,Comanche,5,,,5,1006,4,900,124,174,28,32,743,857,10,50,4,114,0
all,6118,"As a subtotal in the FIRST cumulative report, along with regular precincts",,8508,100,>98% reported,edison,>98%,20035,2020-11-06T23:04:08Z,R+38,Trump +38,37.76329,republican,Cowley,61,,,60,13779,4,13958,4171,7383,298,447,9442,14558,125,3212,149,5116,31
all,8136,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20037,2020-11-05T23:37:25Z,R+23,Trump +23,23.3496,republican,Crawford,62,,,59,15950,6,16193,5971,5971,402,402,9752,9752,136,0,0,0,0
some,824,Other,,1456,84,84% reported,edison,84%,20039,2020-11-05T23:36:15Z,R+70,Trump +70,70.2332,republican,Decatur,27,,,24,1742,2,1458,208,416,18,36,1232,2462,0,208,18,1230,0
all,3990,Merged into voters' home precincts and released with cumulative results,,3877,100,>98% reported,edison,>98%,20041,2020-11-05T22:06:22Z,R+54,Trump +54,54.13152,republican,Dickinson,34,,,34,9158,6,9246,2040,3378,161,228,7045,9517,0,1338,67,2472,0
all,744,"As a precinct in the FIRST cumulative report, along with regular precincts",,1131,100,>98% reported,edison,>98%,20043,2020-11-06T19:55:09Z,R+62,Trump +62,61.67844,republican,Doniphan,14,,,13,3690,4,3682,678,1021,47,66,2949,3716,18,343,19,767,2
