absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bollierb__total_count,democrat__total_count,buckleyj__total_count,libertarian__total_count,marshallr__total_count,republican__total_count,bollierb__absentee_count,buckleyj__absentee_count,marshallr__absentee_count
all,2827,Other,,2757,100,>98% reported,edison,>98%,20001,2020-11-04T10:43:40Z,R+41,Marshall +41,40.83995,republican,Allen,22,,,22,7429,6,7429,1994,3081,407,529,5028,6576,1087,122,1548
all,1459,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20003,2020-11-06T23:09:05Z,R+48,Marshall +48,48.12398,republican,Anderson,19,,,18,3664,6,3678,824,824,260,260,2594,2594,0,0,0
unknown,4051,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,20005,2020-11-06T23:26:06Z,R+27,Marshall +27,27.25902,republican,Atchison,11,,,11,362,6,7293,2393,2393,519,519,4381,4381,0,0,0
all,1357,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,92,92% reported,edison,92%,20007,2020-11-04T20:07:25Z,R+67,Marshall +67,67.08806,republican,Barber,23,,,21,2507,4,2294,321,321,113,113,1860,1860,0,0,0
all,7606,Merged into voters' home precincts and released with cumulative results,,2415,100,>98% reported,edison,>98%,20009,2020-11-05T22:31:21Z,R+51,Marshall +51,51.26443,republican,Barton,40,,,38,10891,6,10914,2441,2887,437,509,8036,9933,446,72,1897
some,4810,Released separately AFTER election night,,3012,96,96% reported,edison,96%,20011,2020-11-04T22:24:22Z,R+44,Marshall +44,44.19429,republican,Bourbon,20,,,19,6776,2,6485,1654,2672,311,449,4520,6376,1018,138,1856
unknown,2133,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,20013,2020-11-06T17:52:06Z,R+40,Marshall +40,39.99083,republican,Brown,18,,,17,4377,2,4361,1181,1181,255,255,2925,2925,0,0,0
some,10166,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20015,2020-11-06T22:32:04Z,R+36,Marshall +36,36.31346,republican,Butler,49,,,49,31708,6,31889,9375,9375,1559,1559,20955,20955,0,0,0
unknown,946,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,99,>98% reported,edison,>98%,20017,2020-11-04T21:06:24Z,R+43,Marshall +43,42.57627,republican,Chase,11,,,10,1484,2,1475,388,388,71,71,1016,1016,0,0,0
unknown,742,Merged into voters' home precincts and released with cumulative results,,0,91,91% reported,edison,91%,20019,2020-11-05T23:06:16Z,R+69,Marshall +69,68.95485,republican,Chautauqua,14,,,13,1768,2,1617,225,225,52,52,1340,1340,0,0,0
all,2829,Released as a separate subtotal as first report of the night,,0,99,>98% reported,edison,>98%,20021,2020-11-06T23:11:11Z,R+42,Marshall +42,42.27606,republican,Cherokee,38,,,35,8925,6,8875,2332,2332,459,459,6084,6084,0,0,0
unknown,1605,Other,,0,89,89% reported,edison,89%,20023,2020-11-05T19:14:31Z,R+63,Marshall +63,62.76817,republican,Cheyenne,8,,,7,1621,2,1445,237,237,64,64,1144,1144,0,0,0
all,621,Merged into voters' home precincts and released with cumulative results,,483,90,90% reported,edison,90%,20025,2020-11-06T20:06:14Z,R+63,Marshall +63,62.75265,republican,Clark,7,,,6,1156,4,1039,164,274,59,84,816,1164,110,25,348
unknown,3531,Other,,0,94,94% reported,edison,94%,20027,2020-11-05T22:15:16Z,R+50,Marshall +50,49.56076,republican,Clay,22,,,21,4342,2,4098,920,920,227,227,2951,2951,0,0,0
some,1701,Released separately AFTER election night,,2224,90,90% reported,edison,90%,20029,2020-11-06T22:47:23Z,R+50,Marshall +50,49.72202,republican,Cloud,26,,,24,4609,2,4137,916,1615,248,379,2973,4367,699,131,1394
all,2402,"As a precinct in the FIRST cumulative report, along with regular precincts",,1300,99,>98% reported,edison,>98%,20031,2020-11-04T23:58:27Z,R+49,Marshall +49,48.98005,republican,Coffey,22,,,21,4442,6,4412,994,1279,263,326,3155,4107,285,63,952
unknown,280,Merged into voters' home precincts and released with cumulative results,,168,90,90% reported,edison,90%,20033,2020-11-04T23:41:20Z,R+61,Marshall +61,60.73009,republican,Comanche,5,,,5,1006,4,904,153,211,49,58,702,803,58,9,101
all,6118,"As a subtotal in the FIRST cumulative report, along with regular precincts",,8521,100,>98% reported,edison,>98%,20035,2020-11-04T18:38:30Z,R+30,Marshall +30,30.45099,republican,Cowley,61,,,60,13779,4,13947,4457,7853,786,1193,8704,13422,3396,407,4718
all,8136,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20037,2020-11-05T23:37:25Z,R+16,Marshall +16,15.90456,republican,Crawford,62,,,59,15950,6,16052,6287,6287,925,925,8840,8840,0,0,0
some,824,Other,,1445,83,83% reported,edison,83%,20039,2020-11-05T23:36:15Z,R+64,Marshall +64,64.27091,republican,Decatur,27,,,24,1742,2,1447,220,440,77,154,1150,2298,220,77,1148
all,3990,Merged into voters' home precincts and released with cumulative results,,3858,100,>98% reported,edison,>98%,20041,2020-11-05T22:06:22Z,R+47,Marshall +47,46.56206,republican,Dickinson,34,,,34,9158,6,9177,2212,3629,480,650,6485,8756,1417,170,2271
all,744,"As a precinct in the FIRST cumulative report, along with regular precincts",,1110,98,98% reported,edison,98%,20043,2020-11-06T19:55:09Z,R+57,Marshall +57,57.39612,republican,Doniphan,14,,,13,3690,4,3610,667,994,204,262,2739,3464,327,58,725
unknown,36512,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20045,2020-11-06T20:46:20Z,D+40,Bollier +40,39.78988,democrat,Douglas,100,,,100,56097,2,57492,38932,38932,2504,2504,16056,16056,0,0,0
unknown,480,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,20047,2020-11-04T23:32:16Z,R+58,Marshall +58,58.13788,republican,Edwards,16,,,15,1502,2,1407,263,263,63,63,1081,1081,0,0,0
unknown,570,Other,,0,90,90% reported,edison,90%,20049,2020-11-04T20:12:21Z,R+61,Marshall +61,60.73574,republican,Elk,10,,,9,1484,2,1332,225,225,73,73,1034,1034,0,0,0
all,6586,"As a precinct in the FIRST cumulative report, along with regular precincts",,6495,100,>98% reported,edison,>98%,20051,2020-11-06T23:06:16Z,R+40,Marshall +40,39.58287,republican,Ellis,35,,,35,13323,6,13473,3797,6356,546,763,9130,12849,2559,217,3719
all,1286,Released as a separate subtotal as first report of the night,,0,95,95% reported,edison,95%,20053,2020-11-06T23:02:08Z,R+44,Marshall +44,44.23832,republican,Ellsworth,25,,,23,2939,4,2803,712,712,139,139,1952,1952,0,0,0
unknown,5810,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20055,2020-11-06T22:49:10Z,R+23,Marshall +23,22.69129,republican,Finney,47,,,46,11017,2,11370,4085,4085,620,620,6665,6665,0,0,0
some,6498,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,20057,2020-11-05T22:27:05Z,R+28,Marshall +28,27.86325,republican,Ford,34,,,34,9068,4,8775,2932,2932,466,466,5377,5377,0,0,0
all,4554,Released as a precinct as first report of the night,,5351,100,>98% reported,edison,>98%,20059,2020-11-05T23:51:09Z,R+33,Marshall +33,33.1881,republican,Franklin,24,,,24,11912,4,12164,3638,5965,851,1141,7675,10409,2327,290,2734
unknown,6002,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,20061,2020-11-06T23:06:15Z,R+11,Marshall +11,10.51549,republican,Geary,35,,,35,8912,2,9234,3806,3806,651,651,4777,4777,0,0,0
none,261,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,91,91% reported,edison,91%,20063,2020-11-04T20:44:26Z,R+68,Marshall +68,67.67393,republican,Gove,9,,,8,1572,4,1423,206,206,48,48,1169,1169,0,0,0
all,811,Merged into voters' home precincts AFTER election night,,807,85,85% reported,edison,85%,20065,2020-11-06T20:08:12Z,R+57,Marshall +57,57.2643,republican,Graham,21,,,19,1523,4,1294,249,445,55,93,990,1563,196,38,573
some,1850,Released as a separate subtotal at the end of tabulation,,2415,94,94% reported,edison,94%,20067,2020-11-06T17:37:13Z,R+52,Marshall +52,51.93735,republican,Grant,4,,,3,2591,2,2426,515,1026,136,271,1775,3544,511,135,1769
some,1411,Other,,0,100,>98% reported,edison,>98%,20069,2020-11-04T20:20:35Z,R+64,Marshall +64,63.78306,republican,Gray,8,,,8,2241,4,2231,349,349,110,110,1772,1772,0,0,0
unknown,587,Other,,0,81,81% reported,edison,81%,20071,2020-11-05T21:25:04Z,R+65,Marshall +65,64.82085,republican,Greeley,3,,,3,761,2,614,96,96,24,24,494,494,0,0,0
some,1446,"As a subtotal in the FIRST cumulative report, along with regular precincts",,725,98,98% reported,edison,98%,20073,2020-11-06T22:40:16Z,R+51,Marshall +51,50.89463,republican,Greenwood,18,,,17,3080,2,3018,644,938,194,227,2180,2578,294,33,398
unknown,1072,Merged into voters' home precincts AFTER election night,,0,87,87% reported,edison,87%,20075,2020-11-06T17:37:13Z,R+59,Marshall +59,59.27711,republican,Hamilton,12,,,10,951,2,830,150,150,38,38,642,642,0,0,0
all,773,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,20077,2020-11-06T20:55:10Z,R+54,Marshall +54,53.95295,republican,Harper,15,,,13,2796,4,2593,536,536,122,122,1935,1935,0,0,0
all,8738,Merged into voters' home precincts and released with cumulative results,,9938,100,>98% reported,edison,>98%,20079,2020-11-06T21:14:13Z,R+15,Marshall +15,14.96443,republican,Harvey,38,,,38,16719,6,17007,6857,12128,748,1136,9402,13681,5271,388,4279
unknown,866,Released as a separate subtotal as first report of the night,,0,91,91% reported,edison,91%,20081,2020-11-05T19:44:09Z,R+55,Marshall +55,54.74982,republican,Haskell,11,,,10,1514,2,1379,278,278,68,68,1033,1033,0,0,0
unknown,330,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,85,85% reported,edison,85%,20083,2020-11-06T23:21:06Z,R+62,Marshall +62,62.45136,republican,Hodgeman,16,,,14,1205,2,1028,176,176,34,34,818,818,0,0,0
unknown,1650,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,20085,2020-11-06T22:59:19Z,R+32,Marshall +32,31.8872,republican,Jackson,19,,,18,6422,6,6454,1997,1997,402,402,4055,4055,0,0,0
all,2168,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,20087,2020-11-06T20:42:07Z,R+26,Marshall +26,26.36649,republican,Jefferson,14,,,14,9545,6,9550,3257,3257,518,518,5775,5775,0,0,0
unknown,683,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,20089,2020-11-05T20:37:08Z,R+66,Marshall +66,66.39498,republican,Jewell,25,,,24,1624,2,1595,238,238,60,60,1297,1297,0,0,0
some,303283,Released as a separate subtotal as first report of the night,,0,99,>98% reported,edison,>98%,20091,2020-11-06T23:36:06Z,D+7,Bollier +7,7.48811,democrat,Johnson,513,,,513,340000,4,336507,173222,173222,15261,15261,148024,148024,0,0,0
unknown,640,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,93,93% reported,edison,93%,20093,2020-11-04T20:05:55Z,R+58,Marshall +58,57.71716,republican,Kearny,9,,,8,1503,2,1393,270,270,49,49,1074,1074,0,0,0
