absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
all,904,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,21001,2020-11-04T10:43:59Z,R+67,Trump +67,67.12298,republican,Adair,16,,,14,8924,4,8766,1391,1391,60,60,10,35,7275,7275,25,10,0,0,0,0,0,0
unknown,661,"As a subtotal in the FIRST cumulative report, along with regular precincts",,6562,100,>98% reported,edison,>98%,21003,2020-11-04T10:43:59Z,R+61,Trump +61,60.6545,republican,Allen,13,,,13,8775,4,15951,3031,4376,152,208,20,78,12706,17841,37,15,1345,56,6,5135,15,5
unknown,690,Released as a precinct as first report of the night,,2508,100,>98% reported,edison,>98%,21005,2020-11-04T10:44:00Z,R+48,Trump +48,47.59822,republican,Anderson,14,,,13,13261,6,13261,3339,4802,183,228,19,63,9651,10629,34,82,1463,45,4,978,6,12
unknown,208,Released as a separate subtotal as first report of the night,,0,95,95% reported,edison,95%,21007,2020-11-06T17:15:36Z,R+60,Trump +60,59.90533,republican,Ballard,13,,,11,4445,2,4225,825,825,32,32,2,12,3356,3356,10,0,0,0,0,0,0,0
all,1384,Merged into voters' home precincts and released with cumulative results,,16056,100,>98% reported,edison,>98%,21009,2020-11-04T10:44:01Z,R+47,Trump +47,47.4675,republican,Barren,25,,,22,20039,4,20079,5115,9546,201,340,51,153,14646,26066,51,45,4431,139,16,11420,35,15
unknown,570,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,21011,2020-11-04T10:44:01Z,R+43,Trump +43,42.88253,republican,Bath,12,,,12,4972,2,5627,1573,1573,44,44,12,24,3986,3986,12,0,0,0,0,0,0,0
all,963,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,21013,2020-11-06T22:01:36Z,R+63,Trump +63,63.23178,republican,Bell,30,,,26,10042,6,10044,1789,1789,78,78,7,37,8140,8140,30,0,0,0,0,0,0,0
all,5563,"As a precinct in the FIRST cumulative report, along with regular precincts",,39444,100,>98% reported,edison,>98%,21015,2020-11-06T21:25:37Z,R+36,Trump +36,35.71759,republican,Boone,63,,,60,39444,6,66953,20897,35657,981,1393,93,400,44811,68947,171,0,14760,412,53,24136,83,0
some,674,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,21017,2020-11-06T21:19:37Z,R+30,Trump +30,30.01141,republican,Bourbon,16,,,14,9590,4,9643,3296,3296,106,106,20,51,6190,6190,31,0,0,0,0,0,0,0
all,1979,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,21019,2020-11-06T18:25:36Z,R+33,Trump +33,33.17235,republican,Boyd,48,,,42,22281,4,21741,7083,7083,287,287,21,76,14295,14295,55,0,0,0,0,0,0,0
