absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,barronb__total_count,libertarian__total_count,mcconnellm__total_count,republican__total_count,mcgratha__total_count,democrat__total_count,write-ins__total_count,barronb__absentee_count,mcconnellm__absentee_count,mcgratha__absentee_count,write-ins__absentee_count
all,904,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,21001,2020-11-06T22:40:36Z,R+59,McConnell +59,58.8033,republican,Adair,16,,,14,8924,4,8724,348,348,6753,6753,1623,1623,0,0,0,0,0
unknown,661,"As a subtotal in the FIRST cumulative report, along with regular precincts",,6516,100,>98% reported,edison,>98%,21003,2020-11-04T10:43:38Z,R+52,McConnell +52,52.27719,republican,Allen,13,,,13,8775,4,15787,671,912,11682,16433,3429,4953,10,241,4751,1524,0
unknown,690,Released as a precinct as first report of the night,,2498,100,>98% reported,edison,>98%,21005,2020-11-04T10:43:39Z,R+40,McConnell +40,40.46845,republican,Anderson,14,,,13,13261,6,13235,562,648,9010,9924,3654,5148,22,86,914,1494,4
unknown,208,Released as a separate subtotal as first report of the night,,0,95,95% reported,edison,95%,21007,2020-11-06T17:15:36Z,R+52,McConnell +52,52.49586,republican,Ballard,13,,,11,4445,2,4227,136,136,3155,3155,936,936,0,0,0,0,0
all,1384,Merged into voters' home precincts and released with cumulative results,,16027,100,>98% reported,edison,>98%,21009,2020-11-07T13:40:36Z,R+39,McConnell +39,38.6451,republican,Barren,25,,,22,20039,4,20031,1081,1765,13341,23935,5600,10340,27,684,10594,4740,9
unknown,570,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,21011,2020-11-04T10:43:42Z,R+30,McConnell +30,30.48128,republican,Bath,12,,,12,4972,2,5610,246,246,3537,3537,1827,1827,0,0,0,0,0
all,963,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,21013,2020-11-06T22:01:36Z,R+52,McConnell +52,52.14638,republican,Bell,30,,,25,10042,6,9947,442,442,7346,7346,2159,2159,0,0,0,0,0
all,5563,"As a precinct in the FIRST cumulative report, along with regular precincts",,39442,100,>98% reported,edison,>98%,21015,2020-11-06T21:25:37Z,R+29,McConnell +29,28.79761,republican,Boone,63,,,60,39444,6,66950,2778,3942,41726,64765,22446,37685,0,1164,23039,15239,0
some,674,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,21017,2020-11-06T21:19:37Z,R+24,McConnell +24,24.15008,republican,Bourbon,16,,,14,9590,4,9648,364,364,5807,5807,3477,3477,0,0,0,0,0
all,1979,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,21019,2020-11-06T18:25:36Z,R+23,McConnell +23,22.95564,republican,Boyd,48,,,42,22281,4,21755,931,931,12909,12909,7915,7915,0,0,0,0,0
some,1078,Merged into voters' home precincts and released with cumulative results,,10580,100,>98% reported,edison,>98%,21021,2020-11-06T21:38:35Z,R+21,McConnell +21,20.55164,republican,Boyle,25,,,23,14103,4,14466,603,953,8418,14376,5445,9717,0,350,5958,4272,0
some,493,"As a precinct in the FIRST cumulative report, along with regular precincts",,1971,100,>98% reported,edison,>98%,21023,2020-11-06T16:14:35Z,R+49,McConnell +49,48.5586,republican,Bracken,8,,,8,4244,6,4232,203,272,3042,4327,987,1604,0,69,1285,617,0
some,454,Released as a separate subtotal as first report of the night,,1444,99,>98% reported,edison,>98%,21025,2020-11-04T10:43:45Z,R+37,McConnell +37,37.13726,republican,Breathitt,21,,,17,5667,6,5617,223,270,3738,4341,1652,2445,9,47,603,793,1
unknown,874,None,,7218,100,>98% reported,edison,>98%,21027,2020-11-04T10:43:45Z,R+41,McConnell +41,40.9024,republican,Breckinridge,16,,,15,9511,4,10195,497,770,6934,11633,2764,5010,0,273,4699,2246,0
unknown,1784,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,21029,2020-11-06T23:59:36Z,R+39,McConnell +39,38.55301,republican,Bullitt,47,,,45,39096,2,41880,1946,1946,28040,28040,11894,11894,0,0,0,0,0
unknown,483,Merged into voters' home precincts and released with cumulative results,,1023,100,>98% reported,edison,>98%,21031,2020-11-06T17:57:35Z,R+53,McConnell +53,52.80091,republican,Butler,12,,,11,6044,4,6123,413,442,4471,4994,1238,1708,3,29,523,470,1
all,518,None,,0,99,>98% reported,edison,>98%,21033,2020-11-06T23:00:37Z,R+43,McConnell +43,43.21506,republican,Caldwell,13,,,12,6477,4,6426,298,298,4452,4452,1675,1675,2,0,0,0,0
none,1198,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,21035,2020-11-06T22:25:36Z,R+26,McConnell +26,25.50501,republican,Calloway,23,,,21,17462,6,17475,664,664,10634,10634,6177,6177,0,0,0,0,0
all,3285,Released as a precinct as first report of the night,,0,95,95% reported,edison,95%,21037,2020-11-06T20:45:38Z,R+12,McConnell +12,11.71849,republican,Campbell,67,,,64,51437,4,48880,1954,1954,26327,26327,20599,20599,0,0,0,0,0
unknown,274,Released as a precinct as first report of the night,,0,94,94% reported,edison,94%,21039,2020-11-04T10:43:51Z,R+56,McConnell +56,55.56397,republican,Carlisle,6,,,5,2819,2,2642,92,92,2009,2009,541,541,0,0,0,0,0
some,261,Merged into voters' home precincts and released with cumulative results,,890,100,>98% reported,edison,>98%,21041,2020-11-07T14:57:40Z,R+31,McConnell +31,30.75883,republican,Carroll,11,,,11,4179,2,5179,290,321,3241,3554,1648,2194,0,31,313,546,0
