absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,boddiep__total_count,Cup__total_count,carrollb__total_count,Asp__total_count,hammonsb__total_count,unity__total_count,hoeflingt__total_count,Llc__total_count,jorgensenj__total_count,libertarian__total_count,kennedya__total_count,socialist-workers__total_count,la_rivag__total_count,independent__total_count,pierceb__total_count,simmonsj__total_count,trumpd__total_count,republican__total_count,westk__total_count,bidenj__absentee_count,blankenshipd__absentee_count,boddiep__absentee_count,carrollb__absentee_count,hammonsb__absentee_count,hoeflingt__absentee_count,jorgensenj__absentee_count,kennedya__absentee_count,la_rivag__absentee_count,pierceb__absentee_count,simmonsj__absentee_count,trumpd__absentee_count,westk__absentee_count
unknown,7053,Released as a separate subtotal as first report of the night,,0,93,93% reported,edison,93%,22001,2020-11-04T10:44:01Z,R+60,Trump +60,60.34477,republican,Acadia,55,,,51,30676,2,28425,5443,5443,16,16,12,12,25,25,8,8,8,8,241,241,3,3,4,73,6,18,22596,22596,45,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,2045,Released as a separate subtotal as first report of the night,,0,94,94% reported,edison,94%,22003,2020-11-04T10:44:01Z,R+56,Trump +56,55.71865,republican,Allen,29,,,27,10424,2,9810,2108,2108,6,6,2,2,11,11,1,1,3,3,73,73,0,0,1,32,3,13,7574,7574,15,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,14310,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,22005,2020-11-07T11:15:36Z,R+33,Trump +33,32.55195,republican,Ascension,74,,,74,61239,2,62325,20399,20399,20,20,32,32,89,89,16,16,19,19,816,816,13,13,26,234,28,46,40687,40687,134,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,1998,Released as a separate subtotal as first report of the night,,0,91,91% reported,edison,91%,22007,2020-11-04T10:44:01Z,R+31,Trump +31,30.6008,republican,Assumption,28,,,26,12311,2,11235,3833,3833,8,8,5,5,13,13,5,5,1,1,68,68,4,4,2,27,3,6,7271,7271,16,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,3747,Released as a separate subtotal as first report of the night,,0,91,91% reported,edison,91%,22009,2020-11-04T10:44:01Z,R+41,Trump +41,40.76452,republican,Avoyelles,49,,,46,19076,2,17292,4979,4979,8,8,23,23,20,20,1,1,7,7,161,161,5,5,5,60,3,11,12028,12028,41,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,5218,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,22011,2020-11-04T10:44:02Z,R+67,Trump +67,67.45124,republican,Beauregard,40,,,39,16887,2,16357,2542,2542,6,6,6,6,18,18,3,3,5,5,172,172,0,0,3,30,1,13,13575,13575,13,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,1723,Released as a separate subtotal as first report of the night,,0,87,87% reported,edison,87%,22013,2020-11-04T10:43:24Z,R+12,Trump +12,11.70379,republican,Bienville,33,,,30,8067,2,7049,3066,3066,4,4,10,10,7,7,1,1,1,1,49,49,1,1,1,19,3,3,3891,3891,12,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,13582,Released as a separate subtotal as first report of the night,,0,98,98% reported,edison,98%,22015,2020-11-04T10:43:25Z,R+41,Trump +41,41.00692,republican,Bossier,82,,,80,55830,2,54642,15658,15658,31,31,22,22,40,40,12,12,19,19,632,632,9,9,19,154,15,38,38065,38065,82,0,0,0,0,0,0,0,0,0,0,0,0,0
none,19390,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,22017,2020-11-04T10:43:25Z,D+7,Biden +7,6.74887,democrat,Caddo,151,,,133,104699,6,104699,54993,54993,38,38,50,50,122,122,37,37,27,27,1019,1019,28,28,37,458,33,98,47927,47927,290,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,21757,Released as a separate subtotal as first report of the night,,0,88,88% reported,edison,88%,22019,2020-11-07T11:15:36Z,R+35,Trump +35,35.18382,republican,Calcasieu,123,,,108,93839,2,82663,25982,25982,36,36,30,30,89,89,24,24,38,38,1083,1083,19,19,26,296,27,79,55066,55066,164,0,0,0,0,0,0,0,0,0,0,0,0,0
