absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,billiotb__total_count,no-party-affiliation__total_count,bourgeoisj__total_count,cassidyb__total_count,republican__total_count,daretr__total_count,edwardsd__total_count,democrat__total_count,johnx__total_count,independent__total_count,knightd__total_count,mendozav__total_count,montgomeryj__total_count,murphyd__total_count,perkinsa__total_count,piercea__total_count,pricem__total_count,Asp__total_count,siglera__total_count,libertarian__total_count,wenstrupp__total_count,billiotb__absentee_count,bourgeoisj__absentee_count,cassidyb__absentee_count,daretr__absentee_count,edwardsd__absentee_count,johnx__absentee_count,knightd__absentee_count,mendozav__absentee_count,montgomeryj__absentee_count,murphyd__absentee_count,perkinsa__absentee_count,piercea__absentee_count,pricem__absentee_count,siglera__absentee_count,wenstrupp__absentee_count
unknown,7053,Released as a separate subtotal as first report of the night,,0,90,90% reported,edison,90%,22001,2020-11-04T10:43:59Z,R+71,Cassidy +71,70.53711,republican,Acadia,55,,,49,30676,2,27499,224,576,239,21640,22212,62,1499,4376,94,141,260,47,51,572,2243,285,82,82,112,112,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,2045,Released as a separate subtotal as first report of the night,,0,90,90% reported,edison,90%,22003,2020-11-04T10:43:59Z,R+65,Cassidy +65,65.27645,republican,Allen,29,,,26,10424,2,9423,75,207,94,7077,7380,16,926,1746,19,40,158,21,22,303,483,143,29,29,21,21,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,14310,Released as a separate subtotal as first report of the night,,0,99,>98% reported,edison,>98%,22005,2020-11-07T11:15:33Z,R+52,Cassidy +52,52.12529,republican,Ascension,74,,,73,61239,2,60627,362,1017,485,40141,41589,92,6057,17119,73,280,871,207,78,1448,8539,1327,170,170,452,452,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,1998,Released as a separate subtotal as first report of the night,,0,86,86% reported,edison,86%,22007,2020-11-04T10:44:00Z,R+51,Cassidy +51,51.23562,republican,Assumption,28,,,24,12311,2,10602,164,319,109,6884,7039,25,1340,3172,5,19,153,14,21,155,1452,167,31,31,22,22,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,3747,Released as a separate subtotal as first report of the night,,0,86,86% reported,edison,86%,22009,2020-11-04T10:44:01Z,R+59,Cassidy +59,58.62809,republican,Avoyelles,49,,,43,19076,2,16313,209,447,161,11330,11731,50,1766,3933,31,71,287,40,27,401,1551,232,68,68,63,63,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,5218,Released as a separate subtotal as first report of the night,,0,93,93% reported,edison,93%,22011,2020-11-04T10:44:01Z,R+73,Cassidy +73,72.94827,republican,Beauregard,40,,,37,16887,2,15755,90,247,110,12485,13149,29,992,2128,16,83,229,67,18,664,607,225,33,33,115,115,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,1723,Released as a separate subtotal as first report of the night,,0,84,84% reported,edison,84%,22013,2020-11-04T10:44:01Z,R+24,Cassidy +24,24.36518,republican,Bienville,33,,,29,8067,2,6813,50,112,46,3728,3839,9,517,2809,4,16,91,12,7,111,2068,95,16,16,21,21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,13582,Released as a separate subtotal as first report of the night,,0,95,95% reported,edison,95%,22015,2020-11-04T10:44:01Z,R+51,Cassidy +51,50.94194,republican,Bossier,82,,,78,55830,2,53188,203,696,305,36926,38059,72,2511,13762,43,213,567,170,116,1133,9831,613,133,133,325,325,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,19390,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,22017,2020-11-04T10:44:02Z,R+12,Cassidy +12,11.505,republican,Caddo,151,,,130,104699,6,101834,593,1770,569,47924,49142,143,8568,49790,95,401,1473,306,465,1218,36208,2902,295,295,436,436,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,21757,Released as a separate subtotal as first report of the night,,0,86,86% reported,edison,86%,22019,2020-11-07T11:15:32Z,R+52,Cassidy +52,52.08367,republican,Calcasieu,123,,,105,93839,2,80267,510,1746,800,52888,55306,148,11082,21718,93,393,1992,300,288,2418,5910,2033,371,371,733,733,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
