absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,segalj__total_count,Bar__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,segalj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,4312,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,83,83% reported,edison,83%,24001,2020-11-06T21:53:36Z,R+42,Trump +42,41.83469,republican,Allegany,26,,,21,34332,2,28419,8050,8050,109,109,283,283,38,38,19939,19939,0,0,0,0,0,0,0
none,61018,Released as a precinct as first report of the night,,0,86,86% reported,edison,86%,24003,2020-11-08T00:43:43Z,D+11,Biden +11,10.5815,democrat,Anne Arundel,202,,,172,302491,2,258829,140643,140643,982,982,3640,3640,309,309,113255,113255,0,0,0,0,0,0,0
none,89978,Released separately AFTER election night,,0,69,69% reported,edison,69%,24005,2020-11-06T22:28:38Z,D+19,Biden +19,19.37488,democrat,Baltimore,236,,,163,437564,2,302247,177865,177865,1250,1250,3422,3422,405,405,119305,119305,0,0,0,0,0,0,0
none,72816,Other,,0,74,74% reported,edison,74%,24510,2020-11-07T22:12:37Z,D+76,Biden +76,76.37322,democrat,Baltimore City,296,,,228,279607,2,207633,181154,181154,1141,1141,1490,1490,385,385,22578,22578,1770,0,0,0,0,0,0
unknown,11262,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,89,89% reported,edison,89%,24009,2020-11-06T22:28:38Z,R+6,Trump +6,6.26172,republican,Calvert,24,,,21,53097,2,47463,21814,21814,122,122,703,703,38,38,24786,24786,0,0,0,0,0,0,0
unknown,3784,Released as a precinct as first report of the night,,0,83,83% reported,edison,83%,24011,2020-11-04T10:44:00Z,R+43,Trump +43,43.21129,republican,Caroline,8,,,6,15807,2,13110,3572,3572,81,81,189,189,31,31,9237,9237,0,0,0,0,0,0,0
some,16653,Released separately AFTER election night,,58627,84,84% reported,edison,84%,24013,2020-11-04T10:44:01Z,R+29,Trump +29,29.05393,republican,Carroll,36,,,30,102870,4,86188,29135,53623,449,732,1612,2510,137,227,54176,86602,1800,24488,283,898,90,32426,442
none,9424,Other,,0,88,88% reported,edison,88%,24015,2020-11-07T02:57:38Z,R+29,Trump +29,28.64882,republican,Cecil,28,,,24,50701,2,44672,15459,15459,219,219,651,651,86,86,28257,28257,0,0,0,0,0,0,0
unknown,19179,Released as a precinct as first report of the night,,0,74,74% reported,edison,74%,24017,2020-11-07T02:57:37Z,D+32,Biden +32,32.27586,democrat,Charles,44,,,44,87699,2,64714,42306,42306,321,321,556,556,112,112,21419,21419,0,0,0,0,0,0,0
none,3944,Other,,0,78,78% reported,edison,78%,24019,2020-11-04T10:44:01Z,R+19,Trump +19,18.76449,republican,Dorchester,39,,,31,17061,2,13371,5295,5295,90,90,143,143,39,39,7804,7804,0,0,0,0,0,0,0
