absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
,,,,0,,,edison,,25001,2020-11-04T10:43:52Z,D+24,Biden +24,24.23483,democrat,Barnstable,65,,,63,,,146896,89732,89732,601,601,1825,1825,54132,54132,1212,0,0,0,0,0
,,,,0,,,edison,,25003,2020-11-05T20:09:31Z,D+49,Biden +49,49.20479,democrat,Berkshire,59,,,47,,,60110,44178,44178,395,395,746,746,14601,14601,380,0,0,0,0,0
,,,,16404,,,edison,,25005,2020-11-04T10:43:29Z,D+12,Biden +12,11.66889,democrat,Bristol,172,,,163,,,274045,150063,159607,1364,1425,3590,3776,118085,124635,1949,9544,61,186,6550,63
,,,,0,,,edison,,25007,2020-11-06T23:28:16Z,D+57,Biden +57,57.00326,democrat,Dukes,7,,,6,,,12587,9762,9762,81,81,134,134,2587,2587,46,0,0,0,0,0
,,,,0,,,edison,,25009,2020-11-05T18:23:49Z,D+29,Biden +29,28.9401,democrat,Essex,240,,,228,,,410009,259792,259792,1824,1824,5137,5137,141135,141135,4242,0,0,0,0,0
,,,,876,,,edison,,25011,2020-11-05T19:18:44Z,D+48,Biden +48,47.69391,democrat,Franklin,40,,,24,,,24934,18058,18720,216,218,425,441,6166,6362,138,662,2,16,196,0
,,,,5630,,,edison,,25013,2020-11-04T10:43:36Z,D+18,Biden +18,18.25469,democrat,Hampden,166,,,150,,,210828,122302,125876,1127,1143,2790,2857,83816,85789,1586,3574,16,67,1973,0
,,,,4916,,,edison,,25015,2020-11-04T10:43:35Z,D+47,Biden +47,46.82001,democrat,Hampshire,56,,,49,,,85079,61487,63827,709,754,1006,1097,21653,24093,448,2340,45,91,2440,0
,,,,10502,,,edison,,25017,2020-11-04T10:43:28Z,D+45,Biden +45,44.64604,democrat,Middlesex,474,,,450,,,842171,599370,606340,4496,4537,10411,10535,223374,226700,9081,6970,41,124,3326,41
,,,,4518,,,edison,,25019,2020-11-04T10:43:57Z,D+46,Biden +46,45.52556,democrat,Nantucket,1,,,1,,,7297,5234,8821,41,62,81,117,1912,2773,71,3587,21,36,861,13
,,,,24338,,,edison,,25021,2020-11-04T22:55:06Z,D+36,Biden +36,36.15147,democrat,Norfolk,211,,,200,,,385929,258357,277669,1642,1714,4909,5164,118838,123439,4464,19312,72,255,4601,98
,,,,40570,,,edison,,25023,2020-11-05T19:19:13Z,D+12,Biden +12,11.68898,democrat,Plymouth,143,,,115,,,259364,141665,170028,1142,1304,3913,4358,111348,122719,2821,28363,162,445,11371,229
,,,,0,,,edison,,25025,2020-11-05T19:33:42Z,D+63,Biden +63,62.70478,democrat,Suffolk,298,,,297,,,314110,252661,252661,1560,1560,2677,2677,55699,55699,3026,0,0,0,0,0
,,,,20145,,,edison,,25027,2020-11-04T10:43:30Z,D+18,Biden +18,17.59377,democrat,Worcester,242,,,228,,,419569,241068,253477,2447,2567,6975,7348,167250,174384,3767,12409,120,373,7134,109
