absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,731,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26001,2020-11-04T10:43:38Z,R+38,Trump +38,38.31233,republican,Alcona,12,,,12,7063,6,7063,2142,2142,12,12,0,0,11,11,50,50,4848,4848,0,0,0,0,0,0,0,0
unknown,484,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26003,2020-11-04T17:54:23Z,R+19,Trump +19,18.7147,republican,Alger,9,,,9,5135,6,5135,2053,2053,9,9,2,2,9,9,41,41,3014,3014,14,0,0,0,0,0,0,0
unknown,9594,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26005,2020-11-04T17:00:16Z,R+25,Trump +25,25.20616,republican,Allegan,42,,,42,67182,6,67182,24447,24447,118,118,37,37,143,143,943,943,41381,41381,226,0,0,0,0,0,0,0
unknown,2738,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26007,2020-11-04T17:58:27Z,R+28,Trump +28,27.61995,republican,Alpena,19,,,19,16771,6,16966,6000,6000,26,26,6,6,28,28,220,220,10686,10686,0,0,0,0,0,0,0,0
unknown,2188,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,26009,2020-11-06T01:56:38Z,R+14,Trump +14,14.37713,republican,Antrim,16,,,16,15415,2,17347,7289,7289,22,22,8,8,28,28,197,197,9783,9783,40,0,0,0,0,0,0,0
unknown,563,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26011,2020-11-04T17:58:32Z,R+36,Trump +36,35.73046,republican,Arenac,15,,,15,8830,6,8830,2773,2773,17,17,3,3,12,12,97,97,5928,5928,0,0,0,0,0,0,0,0
unknown,489,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26013,2020-11-04T17:58:39Z,R+26,Trump +26,25.71287,republican,Baraga,8,,,8,4033,6,4033,1475,1475,5,5,0,0,10,10,31,31,2512,2512,0,0,0,0,0,0,0,0
unknown,5623,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26015,2020-11-04T17:58:46Z,R+32,Trump +32,32.49151,republican,Barry,24,,,24,35914,6,35914,11804,11804,59,59,16,16,83,83,479,479,23473,23473,0,0,0,0,0,0,0,0
unknown,11503,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26017,2020-11-04T17:58:51Z,R+17,Trump +17,17.19652,republican,Bay,75,,,75,53505,6,53505,21718,21718,86,86,24,24,128,128,630,630,30919,30919,0,0,0,0,0,0,0,0
unknown,2388,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26019,2020-11-04T17:58:57Z,R+9,Trump +9,9.13614,republican,Benzie,13,,,13,12259,6,12259,5480,5480,13,13,9,9,29,29,128,128,6600,6600,0,0,0,0,0,0,0,0
none,15349,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,26021,2020-11-04T20:10:46Z,R+7,Trump +7,7.37828,republican,Berrien,62,,,60,85000,2,82404,37438,37438,140,140,47,47,173,173,1062,1062,43518,43518,52,0,0,0,0,0,0,0
unknown,2519,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26023,2020-11-04T18:06:45Z,R+38,Trump +38,38.48588,republican,Branch,22,,,22,20540,6,20540,6161,6161,38,38,12,12,47,47,216,216,14066,14066,0,0,0,0,0,0,0,0
unknown,9574,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26025,2020-11-04T18:17:34Z,R+11,Trump +11,11.41258,republican,Calhoun,67,,,67,65568,6,65568,28417,28417,141,141,45,45,152,152,913,913,35900,35900,0,0,0,0,0,0,0,0
unknown,2750,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26027,2020-11-04T18:18:02Z,R+29,Trump +29,28.84711,republican,Cass,24,,,24,26221,6,26221,9122,9122,40,40,13,13,45,45,286,286,16686,16686,58,0,0,0,0,0,0,0
unknown,2686,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26029,2020-11-04T20:23:48Z,R+17,Trump +17,17.04752,republican,Charlevoix,20,,,20,17000,6,17023,6939,6939,13,13,4,4,43,43,160,160,9841,9841,46,0,0,0,0,0,0,0
unknown,2254,None,,0,100,>98% reported,edison,>98%,26031,2020-11-04T18:18:33Z,R+30,Trump +30,29.88201,republican,Cheboygan,22,,,22,15849,6,15849,5435,5435,18,18,8,8,23,23,194,194,10171,10171,0,0,0,0,0,0,0,0
unknown,1942,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26033,2020-11-04T18:32:19Z,R+23,Trump +23,22.80622,republican,Chippewa,18,,,18,17675,6,17675,6651,6651,26,26,13,13,39,39,233,233,10682,10682,62,0,0,0,0,0,0,0
unknown,2290,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26035,2020-11-04T18:32:29Z,R+35,Trump +35,34.76658,republican,Clare,20,,,20,16280,6,16280,5200,5200,22,22,3,3,34,34,161,161,10860,10860,0,0,0,0,0,0,0,0
unknown,9045,Merged into voters' home precincts and released with cumulative results,,4519,100,>98% reported,edison,>98%,26037,2020-11-04T18:32:38Z,R+7,Trump +7,6.53835,republican,Clinton,34,,,34,47902,6,47902,21963,24900,63,72,28,29,94,102,659,704,25095,26614,0,2937,9,1,8,45,1519,0
unknown,1244,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26039,2020-11-04T18:32:48Z,R+31,Trump +31,30.56751,republican,Crawford,10,,,10,7665,6,7665,2612,2612,4,4,4,4,23,23,67,67,4955,4955,0,0,0,0,0,0,0,0
all,3134,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26041,2020-11-04T10:43:50Z,R+26,Trump +26,26.47726,republican,Delta,27,,,27,21154,6,21154,7605,7605,33,33,14,14,42,42,249,249,13206,13206,10,0,0,0,0,0,0,0
unknown,1960,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,26043,2020-11-04T10:43:50Z,R+29,Trump +29,29.39403,republican,Dickinson,15,,,15,13268,6,13268,4569,4569,14,14,10,10,15,15,166,166,8469,8469,50,0,0,0,0,0,0,0
unknown,15665,Merged into voters' home precincts and released with cumulative results,,33719,100,>98% reported,edison,>98%,26045,2020-11-04T18:33:06Z,R+0.78,Trump +0.78,0.77578,republican,Eaton,51,,,51,64451,6,64451,31297,52345,114,181,32,49,166,243,895,1255,31797,43855,392,21048,67,17,77,360,12058,92
unknown,4226,Merged into voters' home precincts and released with cumulative results,,6637,100,>98% reported,edison,>98%,26047,2020-11-04T18:33:22Z,R+11,Trump +11,11.1517,republican,Emmet,18,,,18,22176,6,22176,9662,11846,26,33,10,12,59,62,284,318,12135,16542,0,2184,7,2,3,34,4407,0
some,35969,Merged into voters' home precincts and released with cumulative results,,97414,97,97% reported,edison,97%,26049,2020-11-05T00:29:26Z,D+9,Biden +9,9.36588,democrat,Genesee,239,,,230,230057,2,222969,120082,179841,323,460,106,142,553,759,2241,3061,99199,135484,1101,59759,137,36,206,820,36285,171
unknown,1923,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26051,2020-11-04T18:33:35Z,R+37,Trump +37,36.76642,republican,Gladwin,18,,,18,14603,6,14603,4524,4524,18,18,1,1,25,25,142,142,9893,9893,0,0,0,0,0,0,0,0
unknown,543,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26053,2020-11-04T10:43:53Z,R+12,Trump +12,12.40488,republican,Gogebic,11,,,11,8279,6,8279,3573,3573,4,4,4,4,21,21,67,67,4600,4600,20,0,0,0,0,0,0,0
unknown,16547,Merged into voters' home precincts and released with cumulative results,,24115,100,>98% reported,edison,>98%,26055,2020-11-04T18:33:44Z,R+3,Trump +3,3.02195,republican,Grand Traverse,55,,,55,60226,6,60226,28682,42261,64,91,31,42,151,208,796,1051,30502,40688,0,13579,27,11,57,255,10186,0
all,1790,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26057,2020-11-04T12:35:24Z,R+28,Trump +28,28.24838,republican,Gratiot,21,,,21,19148,6,19148,6693,6693,31,31,11,11,49,49,240,240,12102,12102,44,0,0,0,0,0,0,0
all,2406,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26059,2020-11-04T10:43:54Z,R+48,Trump +48,47.89591,republican,Hillsdale,26,,,26,23288,6,23288,5883,5883,38,38,13,13,56,56,261,261,17037,17037,0,0,0,0,0,0,0,0
unknown,1850,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26061,2020-11-04T10:43:54Z,R+14,Trump +14,14.15858,republican,Houghton,29,,,29,18540,6,18540,7755,7755,28,28,11,11,49,49,285,285,10380,10380,64,0,0,0,0,0,0,0
none,1927,None,,0,99,>98% reported,edison,>98%,26063,2020-11-04T10:43:54Z,R+38,Trump +38,37.66478,republican,Huron,31,,,31,17717,6,17523,5349,5349,22,22,17,17,32,32,139,139,11949,11949,30,0,0,0,0,0,0,0
