absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,dernd__total_count,Ntl__total_count,jamesj__total_count,republican__total_count,petersg__total_count,democrat__total_count,squierm__total_count,green__total_count,willisv__total_count,Tax__total_count,dernd__absentee_count,jamesj__absentee_count,petersg__absentee_count,squierm__absentee_count,willisv__absentee_count
all,731,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,26001,2020-11-04T10:43:34Z,R+33,James +33,33.29999,republican,Alcona,12,,,12,7063,6,6997,15,15,4614,4614,2284,2284,34,34,50,50,0,0,0,0,0
some,484,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,26003,2020-11-04T17:54:22Z,R+16,James +16,16.33215,republican,Alger,9,,,9,5135,6,5082,7,7,2919,2919,2089,2089,31,31,36,36,0,0,0,0,0
unknown,9594,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,26005,2020-11-04T16:43:07Z,R+29,James +29,29.22475,republican,Allegan,42,,,42,67182,6,66430,132,132,42351,42351,22937,22937,416,416,594,594,0,0,0,0,0
all,2738,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,26007,2020-11-04T17:58:27Z,R+24,James +24,23.75529,republican,Alpena,19,,,19,16771,6,16771,40,40,10257,10257,6273,6273,82,82,119,119,0,0,0,0,0
unknown,2188,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,26009,2020-11-05T21:23:37Z,R+15,James +15,14.73953,republican,Antrim,16,,,16,15415,2,17219,26,26,9345,9345,6807,6807,81,81,960,960,0,0,0,0,0
unknown,563,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,26011,2020-11-04T17:58:32Z,R+27,James +27,27.0807,republican,Arenac,15,,,15,8830,6,8711,33,33,5443,5443,3084,3084,48,48,103,103,0,0,0,0,0
unknown,489,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,26013,2020-11-04T17:58:39Z,R+22,James +22,22.06655,republican,Baraga,8,,,8,4033,6,3997,9,9,2408,2408,1526,1526,23,23,31,31,0,0,0,0,0
unknown,5623,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,26015,2020-11-04T17:58:46Z,R+34,James +34,34.06408,republican,Barry,24,,,24,35914,6,35580,95,95,23499,23499,11379,11379,241,241,366,366,0,0,0,0,0
unknown,11503,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,26017,2020-11-04T17:58:51Z,R+12,James +12,12.34699,republican,Bay,75,,,75,53505,6,52774,128,128,29168,29168,22652,22652,332,332,494,494,0,0,0,0,0
unknown,2388,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,26019,2020-11-04T17:59:01Z,R+11,James +11,11.20151,republican,Benzie,13,,,13,12259,6,12168,25,25,6691,6691,5328,5328,66,66,58,58,0,0,0,0,0
none,15349,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,26021,2020-11-04T20:10:46Z,R+12,James +12,12.35607,republican,Berrien,62,,,59,85000,2,81118,209,209,44800,44800,34777,34777,568,568,764,764,0,0,0,0,0
