absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,kennedya__total_count,socialist-workers__total_count,la_rivag__total_count,independent__total_count,pierceb__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,kennedya__absentee_count,la_rivag__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
all,2973,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27001,2020-11-04T10:43:43Z,R+27,Trump +27,26.50675,republican,Aitkin,54,,,50,10005,6,10005,3604,3604,15,15,24,24,55,55,3,3,2,48,24,6256,6256,22,0,0,0,0,0,0,0,0,0,0,0
some,34809,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,27003,2020-11-07T20:28:37Z,R+1.9,Trump +1.9,1.89882,republican,Anoka,128,,,125,215479,2,211079,100886,100886,467,467,730,730,2475,2475,36,36,66,986,408,104894,104894,512,1210,0,0,0,0,0,0,0,0,0,0
all,4508,Merged into voters' home precincts and released with cumulative results,,6308,100,>98% reported,edison,>98%,27005,2020-11-06T19:18:37Z,R+30,Trump +30,30.09604,republican,Becker,48,,,47,19025,6,19471,6592,10008,40,55,39,50,178,216,12,12,15,129,33,12452,15244,57,118,3416,15,11,38,0,1,10,2792,13,12
unknown,4845,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,27007,2020-11-04T18:18:47Z,R+3,Trump +3,3.13834,republican,Beltrami,63,,,60,25461,2,24121,11424,11424,31,31,75,75,256,256,9,9,17,145,33,12181,12181,95,0,0,0,0,0,0,0,0,0,0,0
unknown,3225,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27009,2020-11-06T22:58:38Z,R+32,Trump +32,31.94363,republican,Benton,27,,,25,22088,2,22211,7280,7280,29,29,81,81,351,351,5,5,5,90,40,14375,14375,45,0,0,0,0,0,0,0,0,0,0,0
some,612,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,27011,2020-11-04T10:43:45Z,R+27,Trump +27,27.25437,republican,Big Stone,23,,,21,2987,4,2972,1052,1052,4,4,14,14,14,14,0,0,0,22,8,1862,1862,14,8,0,0,0,0,0,0,0,0,0,0
some,5756,Merged into voters' home precincts and released with cumulative results,,0,91,91% reported,edison,91%,27013,2020-11-05T21:58:36Z,D+4,Biden +4,4.43556,democrat,Blue Earth,54,,,50,39485,4,36027,18319,18319,64,64,139,139,475,475,16,16,10,212,82,16721,16721,120,162,0,0,0,0,0,0,0,0,0,0
some,2808,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27015,2020-11-04T10:43:45Z,R+33,Trump +33,32.84552,republican,Brown,32,,,29,13777,4,14623,4745,4745,33,33,38,38,136,136,3,3,6,80,41,9548,9548,33,80,0,0,0,0,0,0,0,0,0,0
all,3884,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27017,2020-11-04T10:43:46Z,D+1.5,Biden +1.5,1.50778,democrat,Carlton,38,,,37,20361,6,20361,10094,10094,48,48,61,61,231,231,4,4,4,87,40,9787,9787,43,98,0,0,0,0,0,0,0,0,0,0
unknown,12048,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27019,2020-11-06T17:28:37Z,R+5,Trump +5,4.90893,republican,Carver,35,,,35,65382,6,66104,30761,30761,124,124,141,141,821,821,5,5,13,246,107,34006,34006,126,0,0,0,0,0,0,0,0,0,0,0
unknown,4911,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27021,2020-11-06T19:28:37Z,R+29,Trump +29,28.92992,republican,Cass,73,,,71,17708,2,18251,6339,6339,34,34,60,60,111,111,3,3,12,85,27,11619,11619,46,0,0,0,0,0,0,0,0,0,0,0
some,1308,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27023,2020-11-06T18:15:34Z,R+31,Trump +31,30.61564,republican,Chippewa,25,,,23,6175,2,6611,2226,2226,8,8,12,12,58,58,2,2,0,43,21,4250,4250,22,24,0,0,0,0,0,0,0,0,0,0
some,5696,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27025,2020-11-05T21:08:37Z,R+29,Trump +29,29.29621,republican,Chisago,23,,,23,33288,2,34513,11798,11798,70,70,111,111,464,464,1,1,8,129,68,21909,21909,53,62,0,0,0,0,0,0,0,0,0,0
unknown,6609,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,27027,2020-11-06T18:17:56Z,D+4,Biden +4,4.07885,democrat,Clay,58,,,55,34102,2,32215,16345,16345,76,76,101,101,410,410,6,6,9,145,57,15031,15031,79,202,0,0,0,0,0,0,0,0,0,0
some,869,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27029,2020-11-04T15:16:57Z,R+45,Trump +45,44.90967,republican,Clearwater,29,,,28,4556,4,4705,1258,1258,4,4,14,14,28,28,0,0,1,21,8,3371,3371,12,18,0,0,0,0,0,0,0,0,0,0
