absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,lewisj__total_count,republican__total_count,oconnork__total_count,independent__total_count,smitht__total_count,democrat__total_count,steinbergo__total_count,Grp__total_count,lewisj__absentee_count,oconnork__absentee_count,smitht__absentee_count,steinbergo__absentee_count
all,2973,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,27001,2020-11-04T10:43:50Z,R+23,Lewis +23,23.26622,republican,Aitkin,54,,,50,10005,6,9834,5759,5759,461,461,3471,3471,143,143,0,0,0,0
some,34809,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,27003,2020-11-07T20:28:37Z,R+4,Lewis +4,4.1709,republican,Anoka,128,,,122,215479,2,206670,98032,98032,15386,15386,89412,89412,3840,3840,0,0,0,0
all,4508,Merged into voters' home precincts and released with cumulative results,,6167,100,>98% reported,edison,>98%,27005,2020-11-06T19:18:36Z,R+26,Lewis +26,25.78355,republican,Becker,48,,,46,19025,6,19016,11275,13861,1070,1290,6372,9670,299,362,2586,220,3298,63
unknown,4845,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,27007,2020-11-04T18:18:47Z,R+6,Lewis +6,6.1857,republican,Beltrami,63,,,59,25461,2,23813,11459,11459,1804,1804,9986,9986,564,564,0,0,0,0
unknown,3225,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,27009,2020-11-06T22:58:38Z,R+28,Lewis +28,27.92826,republican,Benton,27,,,25,22088,2,21745,12908,12908,1537,1537,6835,6835,465,465,0,0,0,0
some,612,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,27011,2020-11-04T10:43:52Z,R+18,Lewis +18,18.07065,republican,Big Stone,23,,,21,2987,4,2944,1637,1637,163,163,1105,1105,39,39,0,0,0,0
some,5756,Merged into voters' home precincts and released with cumulative results,,0,89,89% reported,edison,89%,27013,2020-11-05T21:58:36Z,D+4,Smith +4,4.21948,democrat,Blue Earth,54,,,48,39485,4,35265,15030,15030,2846,2846,16518,16518,871,871,0,0,0,0
all,2808,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27015,2020-11-06T17:48:37Z,R+27,Lewis +27,27.17083,republican,Brown,32,,,29,13777,4,14453,8733,8733,690,690,4806,4806,224,224,0,0,0,0
all,3884,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,27017,2020-11-06T15:28:37Z,D+3,Smith +3,3.36193,democrat,Carlton,38,,,36,20361,6,19929,8904,8904,1092,1092,9574,9574,359,359,0,0,0,0
unknown,12048,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,27019,2020-11-06T17:28:36Z,R+9,Lewis +9,9.18982,republican,Carver,35,,,35,65382,6,65442,33621,33621,3287,3287,27607,27607,927,927,0,0,0,0
