absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,carrollb__total_count,Asp__total_count,collinsp__total_count,prohibition__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,carrollb__absentee_count,collinsp__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
all,1098.0,None,,0,100,>98% reported,edison,>98%,28001,2020-11-04T10:43:54Z,D+14,Biden +14,13.79198,democrat,Adams,19,,,19,12268,6.0,12268,6914,6914,7,7,8,8,16,16,10,10,42,42,2,49,5222,5222,47,0,0,0,0,0,0,0,0,0,0,0
unknown,1390.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28003,2020-11-04T10:43:55Z,R+64,Trump +64,63.61021,republican,Alcorn,17,,,17,14672,4.0,15639,2741,2741,11,11,6,6,12,12,9,9,117,117,4,34,12689,12689,30,40,0,0,0,0,0,0,0,0,0,0
all,466.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28005,2020-11-04T10:43:56Z,R+28,Trump +28,27.90425,republican,Amite,21,,,21,5974,6.0,5974,2114,2114,5,5,10,10,6,6,10,10,19,19,3,18,3781,3781,15,22,0,0,0,0,0,0,0,0,0,0
unknown,476.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28007,2020-11-06T20:35:11Z,R+19,Trump +19,18.52355,republican,Attala,20,,,19,8228,2.0,8832,3542,3542,15,15,8,8,7,7,11,11,36,36,4,26,5178,5178,22,18,0,0,0,0,0,0,0,0,0,0
all,442.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28009,2020-11-04T10:43:57Z,R+21,Trump +21,20.95372,republican,Benton,5,,,5,3725,4.0,4257,1661,1661,3,3,6,6,5,5,5,5,12,12,3,9,2553,2553,6,6,0,0,0,0,0,0,0,0,0,0
none,410.0,None,,0,98,98% reported,edison,98%,28011,2020-11-04T10:43:59Z,D+25,Biden +25,25.30307,democrat,Bolivar,28,,,28,11881,4.0,11631,7203,7203,7,7,20,20,10,10,15,15,44,44,3,61,4260,4260,58,22,0,0,0,0,0,0,0,0,0,0
unknown,532.0,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,28013,2020-11-06T18:21:25Z,R+42,Trump +42,41.52387,republican,Calhoun,10,,,9,6993,4.0,6536,1878,1878,9,9,2,2,9,9,4,4,15,15,5,22,4592,4592,17,10,0,0,0,0,0,0,0,0,0,0
none,342.0,None,,0,83,83% reported,edison,83%,28015,2020-11-04T10:43:59Z,R+46,Trump +46,45.55334,republican,Carroll,14,,,14,5423,4.0,4509,1203,1203,8,8,2,2,3,3,7,7,12,12,2,13,3257,3257,11,8,0,0,0,0,0,0,0,0,0,0
all,476.0,None,,0,100,>98% reported,edison,>98%,28017,2020-11-04T22:32:40Z,R+4,Trump +4,4.48238,republican,Chickasaw,15,,,15,7695,4.0,8143,3808,3808,11,11,8,8,14,14,9,9,74,74,2,39,4173,4173,37,14,0,0,0,0,0,0,0,0,0,0
all,246.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28019,2020-11-04T10:44:00Z,R+43,Trump +43,43.13772,republican,Choctaw,13,,,13,4175,6.0,4175,1170,1170,5,5,3,3,4,4,1,1,16,16,1,3,2971,2971,2,4,0,0,0,0,0,0,0,0,0,0
