absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,edwardsj__total_count,libertarian__total_count,espym__total_count,democrat__total_count,hyde_smithc__total_count,republican__total_count,write-ins__total_count,edwardsj__absentee_count,espym__absentee_count,hyde_smithc__absentee_count,write-ins__absentee_count
all,1098.0,None,,0,100,>98% reported,edison,>98%,28001,2020-11-04T10:43:28Z,D+18,Espy +18,17.67685,democrat,Adams,19,,,19,12268,6.0,12242,140,140,7133,7133,4969,4969,0,0,0,0,0
none,1390.0,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,28003,2020-11-04T10:43:28Z,R+53,Hyde-Smith +53,53.26559,republican,Alcorn,17,,,17,14672,4.0,13581,346,346,2996,2996,10230,10230,18,0,0,0,0
all,466.0,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,28005,2020-11-04T10:43:28Z,R+23,Hyde-Smith +23,23.46284,republican,Amite,21,,,21,5974,6.0,5920,70,70,2230,2230,3619,3619,2,0,0,0,0
unknown,476.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28007,2020-11-06T20:35:34Z,R+12,Hyde-Smith +12,12.05666,republican,Attala,20,,,19,8228,2.0,8825,108,108,3824,3824,4888,4888,10,0,0,0,0
all,442.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28009,2020-11-04T10:43:29Z,R+11,Hyde-Smith +11,10.78154,republican,Benton,5,,,5,3725,4.0,4248,92,92,1848,1848,2306,2306,4,0,0,0,0
none,410.0,None,,0,98,98% reported,edison,98%,28011,2020-11-04T10:43:29Z,D+31,Espy +31,31.48164,democrat,Bolivar,28,,,28,11881,4.0,11629,86,86,7601,7601,3940,3940,4,0,0,0,0
unknown,532.0,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,28013,2020-11-06T18:21:49Z,R+34,Hyde-Smith +34,33.64443,republican,Calhoun,10,,,9,6993,4.0,6536,111,111,2112,2112,4311,4311,4,0,0,0,0
none,342.0,None,,0,83,83% reported,edison,83%,28015,2020-11-04T10:43:29Z,R+38,Hyde-Smith +38,38.16199,republican,Carroll,14,,,14,5423,4.0,4494,71,71,1354,1354,3069,3069,0,0,0,0,0
all,476.0,None,,0,100,>98% reported,edison,>98%,28017,2020-11-04T22:32:40Z,D+3,Espy +3,2.64933,democrat,Chickasaw,15,,,15,7695,4.0,8153,112,112,4128,4128,3912,3912,2,0,0,0,0
all,246.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28019,2020-11-04T10:43:30Z,R+36,Hyde-Smith +36,35.65593,republican,Choctaw,13,,,13,4175,6.0,4162,76,76,1301,1301,2785,2785,0,0,0,0,0
none,776.0,Released as a separate subtotal at the end of tabulation,,0,68,68% reported,edison,68%,28021,2020-11-04T10:43:31Z,D+69,Espy +69,69.21473,democrat,Claiborne,11,,,11,4223,4.0,2878,19,19,2425,2425,433,433,2,0,0,0,0
some,708.0,None,,1260,100,>98% reported,edison,>98%,28023,2020-11-06T20:05:03Z,R+25,Hyde-Smith +25,25.28388,republican,Clarke,23,,,23,7469,2.0,8278,122,136,3031,3560,5124,5841,2,14,529,717,0
some,652.0,Merged into voters' home precincts and released with cumulative results,,2007,100,>98% reported,edison,>98%,28025,2020-11-04T22:46:21Z,D+20,Espy +20,20.40534,democrat,Clay,14,,,14,8526,4.0,10115,109,126,6030,7194,3966,4788,24,17,1164,822,4
none,,Merged into voters' home precincts and released with cumulative results,,0,88,88% reported,edison,88%,28027,2020-11-04T10:43:32Z,D+54,Espy +54,53.83322,democrat,Coahoma,18,,,18,8124,4.0,7135,43,43,5466,5466,1625,1625,2,0,0,0,0
none,542.0,None,,0,99,>98% reported,edison,>98%,28029,2020-11-04T10:43:33Z,D+1.9,Espy +1.9,1.90044,democrat,Copiah,19,,,19,10876,4.0,10787,99,99,5444,5444,5239,5239,10,0,0,0,0
unknown,806.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28031,2020-11-06T18:51:07Z,R+21,Hyde-Smith +21,21.10466,republican,Covington,15,,,14,8460,2.0,9306,128,128,3602,3602,5566,5566,20,0,0,0,0
unknown,1400.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28033,2020-11-05T21:24:13Z,R+16,Hyde-Smith +16,16.09805,republican,DeSoto,41,,,41,72373,4.0,74860,1738,1738,30508,30508,42559,42559,110,0,0,0,0
none,1294.0,None,,0,97,97% reported,edison,97%,28035,2020-11-04T10:43:35Z,R+10,Hyde-Smith +10,9.8904,republican,Forrest,34,,,34,27365,4.0,26460,615,615,11600,11600,14217,14217,56,0,0,0,0
