absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,2792,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,29001,2020-11-04T10:43:28Z,R+26,Trump +26,25.98433,republican,Adair,12,,,11,10337,6,10337,3705,3705,13,13,42,42,157,157,6391,6391,58,0,0,0,0,0,0
all,1074,Released as a precinct in the middle of the night,,0,100,>98% reported,edison,>98%,29003,2020-11-04T10:43:28Z,R+50,Trump +50,50.17393,republican,Andrew,20,,,19,9774,6,9774,2351,2351,7,7,19,19,120,120,7255,7255,44,0,0,0,0,0,0
unknown,334,None,,2814,100,>98% reported,edison,>98%,29005,2020-11-04T10:43:28Z,R+58,Trump +58,58.10235,republican,Atchison,6,,,6,2770,6,2814,564,1128,1,2,3,6,47,94,2199,4398,0,564,1,3,47,2199,0
all,1222,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29007,2020-11-04T10:43:29Z,R+47,Trump +47,47.12946,republican,Audrain,16,,,15,10660,6,10660,2703,2703,12,12,27,27,175,175,7727,7727,32,0,0,0,0,0,0
unknown,2301,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,29009,2020-11-04T10:43:29Z,R+61,Trump +61,60.68776,republican,Barry,17,,,17,15301,2,15616,2948,2948,18,18,27,27,180,180,12425,12425,36,0,0,0,0,0,0
all,813,"As a precinct in the FIRST cumulative report, along with regular precincts",,1052,100,>98% reported,edison,>98%,29011,2020-11-04T10:43:30Z,R+71,Trump +71,71.15353,republican,Barton,9,,,8,6077,6,6077,844,1091,5,6,13,17,47,52,5168,5963,0,247,1,4,5,795,0
none,1267,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,29013,2020-11-04T10:43:30Z,R+58,Trump +58,58.36396,republican,Bates,16,,,15,8414,4,8435,1672,1672,13,13,14,14,119,119,6595,6595,44,0,0,0,0,0,0
all,2155,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29015,2020-11-04T10:43:31Z,R+57,Trump +57,56.56614,republican,Benton,8,,,8,10047,4,10478,2179,2179,12,12,22,22,150,150,8106,8106,18,0,0,0,0,0,0
all,626,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29017,2020-11-04T10:43:31Z,R+74,Trump +74,73.78365,republican,Bollinger,9,,,9,5981,6,5981,749,749,2,2,13,13,51,51,5162,5162,8,0,0,0,0,0,0
all,9142,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,29019,2020-11-04T10:43:32Z,D+13,Biden +13,12.50329,democrat,Boone,78,,,77,92255,4,91200,49999,49999,140,140,312,312,1957,1957,38596,38596,392,0,0,0,0,0,0
some,4203,Released as a precinct as first report of the night,,0,95,95% reported,edison,95%,29021,2020-11-04T10:43:33Z,R+25,Trump +25,24.5281,republican,Buchanan,24,,,22,38486,2,36713,13445,13445,47,47,127,127,529,529,22450,22450,230,0,0,0,0,0,0
none,2331,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29023,2020-11-04T10:43:34Z,R+62,Trump +62,62.19653,republican,Butler,26,,,25,18082,4,18165,3301,3301,8,8,41,41,187,187,14599,14599,58,0,0,0,0,0,0
unknown,552,None,,0,100,>98% reported,edison,>98%,29025,2020-11-04T10:43:34Z,R+60,Trump +60,60.22147,republican,Caldwell,11,,,11,4517,2,4696,897,897,3,3,7,7,50,50,3725,3725,28,0,0,0,0,0,0
unknown,2664,"As a precinct in the FIRST cumulative report, along with regular precincts",,4506,100,>98% reported,edison,>98%,29027,2020-11-04T10:43:35Z,R+42,Trump +42,42.23251,republican,Callaway,28,,,28,21096,6,21178,5868,7931,20,24,64,77,371,411,14812,17190,94,2063,4,13,40,2378,8
all,5960,Released as a precinct as first report of the night,,6636,100,>98% reported,edison,>98%,29029,2020-11-04T10:43:36Z,R+53,Trump +53,53.22112,republican,Camden,20,,,20,24774,6,24774,5640,8027,23,28,32,36,254,290,18825,23029,0,2387,5,4,36,4204,0
unknown,4680,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,29031,2020-11-04T10:43:36Z,R+45,Trump +45,45.05366,republican,Cape Girardeau,36,,,36,40742,2,40252,10738,10738,38,38,84,84,519,519,28873,28873,0,0,0,0,0,0,0
unknown,694,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,29033,2020-11-04T10:43:36Z,R+64,Trump +64,64.46701,republican,Carroll,13,,,12,4569,2,4531,785,785,2,2,6,6,32,32,3706,3706,0,0,0,0,0,0,0
all,512,None,,538,100,>98% reported,edison,>98%,29035,2020-11-04T10:43:37Z,R+70,Trump +70,69.95871,republican,Carter,6,,,6,2906,6,2906,418,559,4,6,6,8,18,20,2451,2842,18,141,2,2,2,391,0
all,5946,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29037,2020-11-04T10:43:37Z,R+32,Trump +32,31.52945,republican,Cass,41,,,41,57524,6,57524,19035,19035,79,79,162,162,907,907,37172,37172,338,0,0,0,0,0,0
all,1147,"As a precinct in the FIRST cumulative report, along with regular precincts",,1374,100,>98% reported,edison,>98%,29039,2020-11-04T10:43:38Z,R+66,Trump +66,65.96107,republican,Cedar,10,,,10,6588,4,7039,1143,1564,17,21,13,14,80,91,5786,6723,0,421,4,1,11,937,0
unknown,437,Released as a precinct as first report of the night,,540,100,>98% reported,edison,>98%,29041,2020-11-04T10:43:39Z,R+54,Trump +54,53.82916,republican,Chariton,13,,,12,4074,6,4074,916,1134,5,6,4,5,40,42,3109,3427,0,218,1,1,2,318,0
unknown,6005,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29043,2020-11-04T10:43:41Z,R+51,Trump +51,50.69504,republican,Christian,26,,,26,44823,2,46904,11126,11126,54,54,82,82,638,638,34904,34904,200,0,0,0,0,0,0
all,523,None,,0,100,>98% reported,edison,>98%,29045,2020-11-04T10:43:42Z,R+59,Trump +59,58.75074,republican,Clark,6,,,6,3372,6,3394,678,678,0,0,12,12,32,32,2672,2672,0,0,0,0,0,0,0
all,16870,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,29047,2020-11-04T10:43:42Z,R+4,Trump +4,3.99943,republican,Clay,81,,,81,126618,6,126618,59519,59519,178,178,324,324,2014,2014,64583,64583,0,0,0,0,0,0,0
some,1293,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29049,2020-11-04T10:43:43Z,R+45,Trump +45,44.93299,republican,Clinton,7,,,7,10695,4,10894,2894,2894,13,13,30,30,150,150,7789,7789,36,0,0,0,0,0,0
unknown,6603,Released as a separate subtotal as first report of the night,,0,96,96% reported,edison,96%,29051,2020-11-04T10:43:43Z,R+34,Trump +34,33.8829,republican,Cole,28,,,27,41111,2,39486,12687,12687,47,47,84,84,602,602,26066,26066,0,0,0,0,0,0,0
unknown,981,Released as a precinct as first report of the night,,1386,100,>98% reported,edison,>98%,29053,2020-11-04T10:43:44Z,R+46,Trump +46,46.18829,republican,Cooper,11,,,11,8710,6,8710,2249,2852,6,6,24,28,139,156,6272,7031,43,603,0,4,17,759,3
unknown,1146,Released separately AFTER election night,,0,100,>98% reported,edison,>98%,29055,2020-11-04T10:43:44Z,R+60,Trump +60,60.25699,republican,Crawford,9,,,9,10393,2,10973,2113,2113,16,16,17,17,102,102,8725,8725,0,0,0,0,0,0,0
all,562,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29057,2020-11-04T10:43:44Z,R+67,Trump +67,66.89304,republican,Dade,6,,,6,4123,6,4123,656,656,2,2,5,5,42,42,3414,3414,8,0,0,0,0,0,0
all,1130,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29059,2020-11-04T10:43:45Z,R+65,Trump +65,64.51613,republican,Dallas,13,,,13,8122,6,8122,1380,1380,12,12,21,21,72,72,6620,6620,34,0,0,0,0,0,0
all,525,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29061,2020-11-04T10:43:45Z,R+60,Trump +60,60.16993,republican,Daviess,6,,,6,3884,6,3884,740,740,8,8,4,4,46,46,3077,3077,18,0,0,0,0,0,0
unknown,475,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29063,2020-11-04T10:43:46Z,R+60,Trump +60,59.83065,republican,DeKalb,9,,,9,4813,2,4842,930,930,14,14,9,9,62,62,3827,3827,0,0,0,0,0,0,0
unknown,35,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29065,2020-11-04T10:43:46Z,R+69,Trump +69,69.04229,republican,Dent,9,,,9,7115,2,7142,1056,1056,9,9,9,9,81,81,5987,5987,0,0,0,0,0,0,0
all,1341,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29067,2020-11-04T10:43:46Z,R+70,Trump +70,69.83128,republican,Douglas,14,,,13,6994,6,6994,1012,1012,14,14,4,4,68,68,5896,5896,0,0,0,0,0,0,0
unknown,1130,Released separately at end; NOT included in cumulative results,,0,93,93% reported,edison,93%,29069,2020-11-04T10:43:47Z,R+57,Trump +57,56.96324,republican,Dunklin,22,,,20,11158,2,10419,2200,2200,12,12,11,11,61,61,8135,8135,0,0,0,0,0,0,0
unknown,5323,Released as a precinct as first report of the night,,10116,99,>98% reported,edison,>98%,29071,2020-11-04T10:43:49Z,R+44,Trump +44,43.6707,republican,Franklin,42,,,41,54085,4,53750,14561,19295,86,100,148,171,815,882,38034,43297,227,4734,14,23,67,5263,15
all,746,Released as a precinct as first report of the night,,804,100,>98% reported,edison,>98%,29073,2020-11-04T10:43:50Z,R+58,Trump +58,58.243,republican,Gasconade,18,,,17,7806,4,7934,1601,1919,7,9,10,12,83,86,6222,6701,22,318,2,2,3,479,0
all,422,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29075,2020-11-04T10:43:51Z,R+61,Trump +61,60.72862,republican,Gentry,11,,,11,3239,6,3239,613,613,6,6,1,1,34,34,2580,2580,10,0,0,0,0,0,0
all,15946,Released separately AFTER election night,,29484,100,>98% reported,edison,>98%,29077,2020-11-04T10:43:51Z,R+20,Trump +20,20.2826,republican,Greene,78,,,76,138074,6,138074,53307,69130,155,182,416,469,2377,2562,81312,94630,1092,15823,27,53,185,13318,78
unknown,150,None,,0,96,96% reported,edison,96%,29079,2020-11-04T10:43:51Z,R+63,Trump +63,62.79017,republican,Grundy,9,,,8,4639,2,4437,799,799,3,3,8,8,42,42,3585,3585,0,0,0,0,0,0,0
