absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,4675,Released as a precinct as first report of the night,,6789,96,96% reported,edison,96%,31001,2020-11-07T00:00:47Z,R+40,Trump +40,40.08191,republican,Adams,29,,,28,15135,2,14650,4213,7158,304,456,10085,13754,119,2945,152,3669,23
unknown,934,Other,,0,97,97% reported,edison,97%,31003,2020-11-07T00:00:47Z,R+74,Trump +74,73.70918,republican,Antelope,14,,,14,3675,2,3583,452,452,38,38,3093,3093,0,0,0,0,0
unknown,66,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,31005,2020-11-04T10:43:28Z,R+84,Trump +84,84.15493,republican,Arthur,1,,,1,306,2,284,21,21,3,3,260,260,0,0,0,0,0
unknown,205,Released as a separate subtotal at the end of tabulation,,0,90,90% reported,edison,90%,31007,2020-11-04T10:43:28Z,R+78,Trump +78,77.80488,republican,Banner,1,,,1,458,2,410,43,43,5,5,362,362,0,0,0,0,0
unknown,230,Released as a separate subtotal at the end of tabulation,,0,89,89% reported,edison,89%,31009,2020-11-04T10:43:29Z,R+77,Trump +77,77.28707,republican,Blaine,1,,,1,355,2,317,35,35,2,2,280,280,0,0,0,0,0
unknown,1536,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,31011,2020-11-04T10:43:29Z,R+67,Trump +67,66.95679,republican,Boone,9,,,9,3254,2,3217,499,499,65,65,2653,2653,0,0,0,0,0
unknown,2298,Released as a precinct at the end of tabulation,,0,94,94% reported,edison,94%,31013,2020-11-07T00:00:47Z,R+57,Trump +57,56.95812,republican,Box Butte,10,,,9,5515,2,5181,1051,1051,128,128,4002,4002,0,0,0,0,0
unknown,379,Released as a precinct as first report of the night,,0,89,89% reported,edison,89%,31015,2020-11-07T00:00:47Z,R+76,Trump +76,75.88899,republican,Boyd,4,,,4,1295,2,1153,135,135,8,8,1010,1010,0,0,0,0,0
unknown,589,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,31017,2020-11-04T10:43:30Z,R+76,Trump +76,76.25298,republican,Brown,3,,,3,1789,2,1676,190,190,18,18,1468,1468,0,0,0,0,0
all,5402,Released as a separate subtotal as first report of the night,,9718,100,>98% reported,edison,>98%,31019,2020-11-04T10:43:31Z,R+43,Trump +43,43.37139,republican,Buffalo,29,,,29,23474,6,23474,6292,10282,590,797,16473,21937,295,3990,207,5464,57
