absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,janicekc__total_count,democrat__total_count,sasseb__total_count,republican__total_count,siadekg__total_count,libertarian__total_count,write-ins__total_count,janicekc__absentee_count,sasseb__absentee_count,siadekg__absentee_count,write-ins__absentee_count
some,4675,Released as a precinct as first report of the night,,6530,92,92% reported,edison,92%,31001,2020-11-04T10:43:39Z,R+53,Sasse +53,52.7408,republican,Adams,29,,,27,15135,2,13974,2544,4159,9914,13935,890,1263,1773,1615,4021,373,521
unknown,934,Other,,0,92,92% reported,edison,92%,31003,2020-11-07T00:00:43Z,R+73,Sasse +73,73.4997,republican,Antelope,14,,,13,3675,2,3366,354,354,2828,2828,184,184,0,0,0,0,0
unknown,66,Merged into voters' home precincts and released with cumulative results,,0,88,88% reported,edison,88%,31005,2020-11-04T10:43:42Z,R+77,Sasse +77,76.66667,republican,Arthur,1,,,1,306,2,270,21,21,228,228,21,21,0,0,0,0,0
unknown,205,Released as a separate subtotal at the end of tabulation,,0,86,86% reported,edison,86%,31007,2020-11-04T10:43:42Z,R+75,Sasse +75,74.93671,republican,Banner,1,,,1,458,2,395,39,39,335,335,21,21,0,0,0,0,0
unknown,230,Released as a separate subtotal at the end of tabulation,,0,82,82% reported,edison,82%,31009,2020-11-04T10:43:43Z,R+64,Sasse +64,64.26117,republican,Blaine,1,,,1,355,2,291,35,35,222,222,34,34,0,0,0,0,0
unknown,1536,Released as a precinct as first report of the night,,0,90,90% reported,edison,90%,31011,2020-11-04T10:43:43Z,R+70,Sasse +70,69.97612,republican,Boone,9,,,8,3254,2,2931,351,351,2402,2402,178,178,0,0,0,0,0
unknown,2298,Released as a precinct at the end of tabulation,,0,90,90% reported,edison,90%,31013,2020-11-07T00:00:43Z,R+61,Sasse +61,60.50521,republican,Box Butte,10,,,9,5515,2,4988,822,822,3840,3840,326,326,0,0,0,0,0
unknown,379,Released as a precinct as first report of the night,,0,81,81% reported,edison,81%,31015,2020-11-07T00:00:43Z,R+76,Sasse +76,75.83572,republican,Boyd,4,,,3,1295,2,1047,89,89,883,883,75,75,0,0,0,0,0
unknown,589,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,31017,2020-11-04T10:43:44Z,R+79,Sasse +79,78.72739,republican,Brown,3,,,3,1789,2,1603,124,124,1386,1386,93,93,0,0,0,0,0
all,5402,Released as a separate subtotal as first report of the night,,9464,97,97% reported,edison,97%,31019,2020-11-04T10:43:45Z,R+56,Sasse +56,55.75283,republican,Buffalo,29,,,28,23474,6,22867,3813,5890,16562,22595,1588,2187,2563,2077,6033,599,755
unknown,925,Released as a precinct as first report of the night,,0,87,87% reported,edison,87%,31021,2020-11-04T10:43:45Z,R+56,Sasse +56,55.75653,republican,Burt,3,,,3,3985,2,3483,677,677,2619,2619,187,187,0,0,0,0,0
unknown,1013,Released as a precinct as first report of the night,,0,97,97% reported,edison,97%,31023,2020-11-04T10:43:45Z,R+67,Sasse +67,67.06156,republican,Butler,12,,,12,4459,2,4305,610,610,3497,3497,198,198,0,0,0,0,0
some,4685,Released as a separate subtotal as first report of the night,,5713,100,>98% reported,edison,>98%,31025,2020-11-07T00:00:43Z,R+52,Sasse +52,51.50061,republican,Cass,30,,,29,14071,6,14794,2874,4327,10493,13997,886,1223,1501,1453,3504,337,419
unknown,4030,Released as a precinct as first report of the night,,0,94,94% reported,edison,94%,31027,2020-11-04T10:43:46Z,R+71,Sasse +71,71.13795,republican,Cedar,13,,,12,5000,2,4719,545,545,3902,3902,272,272,0,0,0,0,0
unknown,614,Released as a separate subtotal as first report of the night,,0,90,90% reported,edison,90%,31029,2020-11-07T00:00:43Z,R+78,Sasse +78,77.8415,republican,Chase,6,,,5,2126,2,1918,173,173,1666,1666,79,79,0,0,0,0,0
unknown,3326,Merged into voters' home precincts and released with cumulative results,,0,84,84% reported,edison,84%,31031,2020-11-07T00:00:42Z,R+71,Sasse +71,71.25257,republican,Cherry,20,,,17,3492,2,2922,283,283,2365,2365,274,274,0,0,0,0,0
unknown,1955,Released as a precinct as first report of the night,,0,86,86% reported,edison,86%,31033,2020-11-07T00:00:42Z,R+61,Sasse +61,61.30664,republican,Cheyenne,10,,,9,5276,2,4546,718,718,3505,3505,323,323,0,0,0,0,0
unknown,699,Released as a precinct as first report of the night,,0,93,93% reported,edison,93%,31035,2020-11-07T00:00:42Z,R+67,Sasse +67,66.8066,republican,Clay,12,,,12,3600,2,3335,432,432,2660,2660,243,243,0,0,0,0,0
some,1195,"Released as first report, then NOT included in cumulative results",,1465,100,>98% reported,edison,>98%,31037,2020-11-04T10:43:51Z,R+53,Sasse +53,52.63885,republican,Colfax,6,,,6,3600,2,3619,746,1114,2651,3616,156,234,186,368,965,78,54
unknown,1174,None,,0,93,93% reported,edison,93%,31039,2020-11-04T10:43:51Z,R+72,Sasse +72,71.63439,republican,Cuming,8,,,7,4563,2,4234,502,502,3535,3535,197,197,0,0,0,0,0
unknown,1726,Released as a precinct in the middle of the night,,0,89,89% reported,edison,89%,31041,2020-11-04T10:43:52Z,R+75,Sasse +75,75.08916,republican,Custer,30,,,27,6330,2,5608,522,522,4733,4733,353,353,0,0,0,0,0
unknown,2150,Released as a precinct as first report of the night,,0,91,91% reported,edison,91%,31043,2020-11-07T00:00:42Z,R+27,Sasse +27,26.70401,republican,Dakota,14,,,12,7032,2,6426,2235,2235,3951,3951,240,240,0,0,0,0,0
unknown,2669,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,94,94% reported,edison,94%,31045,2020-11-04T10:43:52Z,R+54,Sasse +54,53.53846,republican,Dawes,12,,,11,4156,2,3900,782,782,2870,2870,248,248,0,0,0,0,0
some,2261,Released as a precinct as first report of the night,,3288,92,92% reported,edison,92%,31047,2020-11-04T10:43:53Z,R+52,Sasse +52,51.86769,republican,Dawson,21,,,19,9671,2,8888,1819,2698,6429,8568,475,628,447,879,2139,153,117
unknown,274,None,,0,93,93% reported,edison,93%,31049,2020-11-04T10:43:53Z,R+71,Sasse +71,71.45576,republican,Deuel,3,,,3,1133,2,1051,116,116,867,867,68,68,0,0,0,0,0
unknown,3510,Other,,0,93,93% reported,edison,93%,31051,2020-11-04T10:43:53Z,R+59,Sasse +59,58.53072,republican,Dixon,13,,,12,3116,2,2913,501,501,2206,2206,206,206,0,0,0,0,0
unknown,4152,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,91,91% reported,edison,91%,31053,2020-11-04T10:43:54Z,R+49,Sasse +49,48.60046,republican,Dodge,34,,,31,17392,4,16434,3396,3396,11383,11383,1068,1068,1174,0,0,0,0
unknown,125011,Released separately AFTER election night,,0,98,98% reported,edison,98%,31055,2020-11-07T00:47:52Z,R+19,Sasse +19,18.71133,republican,Douglas,237,,,232,269285,2,263263,84772,84772,134032,134032,15627,15627,57664,0,0,0,0
unknown,334,Released as a separate subtotal as first report of the night,,0,87,87% reported,edison,87%,31057,2020-11-04T10:43:54Z,R+79,Sasse +79,78.95833,republican,Dundy,4,,,4,1100,2,960,77,77,835,835,48,48,0,0,0,0,0
unknown,917,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,91,91% reported,edison,91%,31059,2020-11-07T00:00:41Z,R+66,Sasse +66,65.90229,republican,Fillmore,10,,,9,3294,2,3009,435,435,2418,2418,156,156,0,0,0,0,0
unknown,590,Released as a precinct as first report of the night,,0,88,88% reported,edison,88%,31061,2020-11-04T10:43:56Z,R+73,Sasse +73,72.7657,republican,Franklin,5,,,4,1874,2,1656,190,190,1395,1395,71,71,0,0,0,0,0
unknown,342,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,31063,2020-11-07T00:00:41Z,R+76,Sasse +76,76.10108,republican,Frontier,5,,,5,1487,2,1385,129,129,1183,1183,73,73,0,0,0,0,0
unknown,478,None,,0,96,96% reported,edison,96%,31065,2020-11-07T00:00:41Z,R+72,Sasse +72,71.59317,republican,Furnas,8,,,8,2621,2,2517,277,277,2079,2079,161,161,0,0,0,0,0
