absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,de_la_fuenter__total_count,Ali__total_count,hammonsb__total_count,unity__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,de_la_fuenter__absentee_count,hammonsb__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
some,14118,Released separately AFTER election night,,114510,98,98% reported,edison,98%,34001,2020-11-07T13:57:41Z,D+6,Biden +6,6.08158,democrat,Atlantic,151,,,148,134885,2,131890,68933,129965,95,179,67,118,104,192,341,615,902,1585,155,275,60912,112796,1056,61032,84,51,88,274,683,120,51884,294
some,45653,Merged into voters' home precincts AFTER election night,,428024,93,93% reported,edison,93%,34003,2020-11-06T23:53:54Z,D+17,Biden +17,17.05729,democrat,Bergen,561,,,522,482190,2,448647,259358,509497,291,560,216,414,269,514,1203,2340,2554,4936,314,603,182831,354585,4833,250139,269,198,245,1137,2382,289,171754,1611
unknown,31397,Merged into voters' home precincts and released with cumulative results,,203612,85,85% reported,edison,85%,34005,2020-11-06T22:27:05Z,D+24,Biden +24,23.94832,democrat,Burlington,365,,,311,251784,2,214299,131202,257333,265,514,58,111,90,175,445,854,1613,3062,125,239,79881,154383,1860,126131,249,53,85,409,1449,114,74502,620
unknown,59568,Released separately AFTER election night,,0,86,86% reported,edison,86%,34007,2020-11-07T23:30:42Z,D+35,Biden +35,35.3434,democrat,Camden,345,,,298,260581,2,225233,150670,150670,181,181,89,89,136,136,638,638,1510,1510,144,144,71065,71065,1600,0,0,0,0,0,0,0,0,0
some,9231,Merged into voters' home precincts and released with cumulative results,,49516,98,98% reported,edison,98%,34009,2020-11-07T14:07:35Z,R+16,Trump +16,15.97854,republican,Cape May,127,,,125,56030,4,54980,22713,43872,24,44,50,84,53,96,131,236,289,504,13,23,31498,59254,592,21159,20,34,43,105,215,10,27756,174
some,5984,Released separately AFTER election night,,17519,75,75% reported,edison,75%,34011,2020-11-08T04:29:41Z,D+8,Biden +8,7.77141,democrat,Cumberland,92,,,70,63586,4,47649,25393,36491,22,31,33,44,44,59,86,107,249,312,17,24,21690,27957,258,11098,9,11,15,21,63,7,6267,28
unknown,24131,Released as a separate subtotal as first report of the night,,0,81,81% reported,edison,81%,34013,2020-11-05T22:39:35Z,D+55,Biden +55,55.18421,democrat,Essex,550,,,447,357574,2,291105,224615,224615,100,100,202,202,88,88,806,806,1093,1093,230,230,63971,63971,0,0,0,0,0,0,0,0,0,0
unknown,25391,Merged into voters' home precincts and released with cumulative results,,149317,100,>98% reported,edison,>98%,34015,2020-11-05T22:00:35Z,D+2,Biden +2,2.03459,democrat,Gloucester,229,,,229,160473,4,168093,84120,161045,116,214,186,333,144,266,435,784,1542,2723,81,148,80700,150539,2127,76925,98,147,122,349,1181,67,69839,589
some,14745,Released as a separate subtotal as first report of the night,,0,80,80% reported,edison,80%,34017,2020-11-07T21:16:38Z,D+50,Biden +50,49.80444,democrat,Hudson,454,,,364,252281,2,202753,150534,150534,70,70,85,85,205,205,649,649,991,991,173,173,49554,49554,984,0,0,0,0,0,0,0,0,0
some,13401,Released as a separate subtotal as first report of the night,,72648,97,97% reported,edison,97%,34019,2020-11-07T00:40:03Z,R+3,Trump +3,2.95197,republican,Hunterdon,116,,,112,81461,4,78998,37419,72737,64,121,35,65,70,129,358,672,864,1562,40,78,39751,75559,1120,35318,57,30,59,314,698,38,35808,326
