absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bookerc__total_count,democrat__total_count,burked__total_count,independent__total_count,fernandezv__total_count,hoffmanm__total_count,green__total_count,mehtar__total_count,republican__total_count,write-ins__total_count,bookerc__absentee_count,burked__absentee_count,fernandezv__absentee_count,hoffmanm__absentee_count,mehtar__absentee_count,write-ins__absentee_count
some,14118,Released separately AFTER election night,,111152,95,95% reported,edison,95%,34001,2020-11-07T14:00:55Z,D+6,Booker +6,6.48379,democrat,Atlantic,151,,,143,134885,2,127811,66812,125907,393,3385,1493,502,906,58525,108607,244,59095,332,1167,404,50082,72
some,45653,Merged into voters' home precincts AFTER election night,,417177,91,91% reported,edison,91%,34003,2020-11-06T23:54:38Z,D+18,Booker +18,17.80311,democrat,Bergen,561,,,509,482190,2,437227,253970,498589,1459,8368,2885,2510,4868,176130,342033,819,244619,1349,2675,2358,165903,273
unknown,31397,Merged into voters' home precincts and released with cumulative results,,198924,83,83% reported,edison,83%,34005,2020-11-07T14:11:58Z,D+23,Booker +23,22.61842,democrat,Burlington,365,,,303,251784,2,209294,127059,249147,343,2059,745,1323,2543,79720,154261,312,122088,305,666,1220,74541,104
unknown,59568,Released separately AFTER election night,,0,85,85% reported,edison,85%,34007,2020-11-07T23:30:40Z,D+35,Booker +35,35.0181,democrat,Camden,345,,,293,260581,2,221871,148581,148581,243,818,575,1414,1414,70886,70886,344,0,0,0,0,0,0
some,9231,Merged into voters' home precincts and released with cumulative results,,47415,94,94% reported,edison,94%,34009,2020-11-07T14:08:17Z,R+15,Mehta +15,15.41171,republican,Cape May,127,,,119,56030,4,52525,21773,41982,112,836,348,377,700,29868,56336,133,20209,88,288,323,26468,39
some,5984,Released separately AFTER election night,,17100,73,73% reported,edison,73%,34011,2020-11-08T04:29:39Z,D+10,Booker +10,9.97716,democrat,Cumberland,92,,,68,63586,4,46406,24824,35645,223,1456,860,272,369,20194,25991,78,10821,94,279,97,5797,12
unknown,24131,Released as a separate subtotal as first report of the night,,0,79,79% reported,edison,79%,34013,2020-11-05T22:39:35Z,D+56,Booker +56,56.04955,democrat,Essex,550,,,434,357574,2,282707,218663,218663,342,1761,1419,2076,2076,60207,60207,0,0,0,0,0,0,0
unknown,25391,Merged into voters' home precincts and released with cumulative results,,146750,100,>98% reported,edison,>98%,34015,2020-11-07T14:51:00Z,D+3,Booker +3,2.66208,democrat,Gloucester,229,,,229,160473,4,164946,82904,158508,278,2120,901,2165,3974,78513,146758,521,75604,226,715,1809,68245,151
some,14745,Released as a separate subtotal as first report of the night,,0,78,78% reported,edison,78%,34017,2020-11-07T21:16:36Z,D+53,Booker +53,52.80739,democrat,Hudson,454,,,352,252281,2,195698,146926,146926,625,3468,2843,1625,1625,43583,43583,192,0,0,0,0,0,0
some,13401,Released as a separate subtotal as first report of the night,,71243,95,95% reported,edison,95%,34019,2020-11-07T00:40:26Z,R+8,Mehta +8,7.57826,republican,Hunterdon,116,,,110,81461,4,77366,34771,67648,161,942,347,1309,2460,40634,77292,411,32877,138,296,1151,36658,123
