absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,tittles__total_count,constitution__total_count,trumpd__total_count,republican__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,tittles__absentee_count,trumpd__absentee_count
some,298190,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,35001,2020-11-04T10:43:38Z,D+24,Biden +24,24.21828,democrat,Bernalillo,608,,,607,315332,6,315332,192042,192042,1598,1598,4779,4779,619,619,620,620,115674,115674,0,0,0,0,0,0
unknown,1475,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,35003,2020-11-07T02:00:39Z,R+47,Trump +47,47.48387,republican,Catron,9,,,9,2284,6,2325,594,594,7,7,17,17,3,3,6,6,1698,1698,0,0,0,0,0,0
all,18822,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,35005,2020-11-07T02:00:41Z,R+41,Trump +41,41.32692,republican,Chaves,63,,,61,22306,6,22443,6381,6381,70,70,268,268,28,28,40,40,15656,15656,0,0,0,0,0,0
unknown,5168,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,35006,2020-11-06T02:00:35Z,D+8,Biden +8,8.30411,democrat,Cibola,17,,,17,8790,2,8839,4696,4696,48,48,98,98,19,19,16,16,3962,3962,0,0,0,0,0,0
unknown,3562,Released as a separate subtotal at the end of tabulation,,0,91,91% reported,edison,91%,35007,2020-11-04T10:43:42Z,R+11,Trump +11,10.97074,republican,Colfax,10,,,10,6629,2,6016,2611,2611,25,25,87,87,13,13,9,9,3271,3271,0,0,0,0,0,0
all,10835,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,35009,2020-11-07T02:00:40Z,R+41,Trump +41,40.64469,republican,Curry,37,,,36,14812,6,15077,4300,4300,53,53,244,244,29,29,23,23,10428,10428,0,0,0,0,0,0
all,541,Other,,0,100,>98% reported,edison,>98%,35011,2020-11-04T19:44:37Z,R+47,Trump +47,47.05228,republican,DeBaca,4,,,3,901,6,899,231,231,1,1,11,11,0,0,2,2,654,654,0,0,0,0,0,0
some,55667,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,35013,2020-11-05T00:49:48Z,D+18,Biden +18,18.36208,democrat,Dona Ana,170,,,170,75339,4,82556,47919,47919,413,413,1129,1129,158,158,177,177,32760,32760,0,0,0,0,0,0
none,14448,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,35015,2020-11-06T02:00:38Z,R+52,Trump +52,51.80432,republican,Eddy,55,,,55,21193,4,23222,5424,5424,44,44,239,239,30,30,31,31,17454,17454,0,0,0,0,0,0
unknown,12286,Released as a separate subtotal as first report of the night,,0,98,98% reported,edison,98%,35017,2020-11-06T02:00:37Z,D+7,Biden +7,7.18393,democrat,Grant,39,,,38,14800,2,14435,7590,7590,98,98,159,159,19,19,16,16,6553,6553,0,0,0,0,0,0
