absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,lujanb__total_count,democrat__total_count,ronchettim__total_count,republican__total_count,walshb__total_count,libertarian__total_count,lujanb__absentee_count,ronchettim__absentee_count,walshb__absentee_count
some,298190,Released as a separate subtotal as first report of the night,,0,99,>98% reported,edison,>98%,35001,2020-11-04T10:43:54Z,D+16,Luján +16,15.87229,democrat,Bernalillo,608,,,603,315332,6,313326,177262,177262,127530,127530,8534,8534,0,0,0
unknown,1475,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,35003,2020-11-07T02:00:41Z,R+50,Ronchetti +50,49.91327,republican,Catron,9,,,9,2284,6,2306,543,543,1694,1694,69,69,0,0,0
all,18822,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,35005,2020-11-07T02:00:42Z,R+43,Ronchetti +43,42.62656,republican,Chaves,63,,,60,22306,6,22242,6143,6143,15624,15624,475,475,0,0,0
unknown,5168,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,35006,2020-11-06T02:00:38Z,D+3,Luján +3,3.02135,democrat,Cibola,17,,,17,8790,2,8804,4435,4435,4169,4169,200,200,0,0,0
unknown,3562,Released as a separate subtotal at the end of tabulation,,0,91,91% reported,edison,91%,35007,2020-11-04T10:43:59Z,R+13,Ronchetti +13,12.70975,republican,Colfax,10,,,10,6629,2,6019,2549,2549,3314,3314,156,156,0,0,0
all,10835,Released as a precinct at the end of tabulation,,0,100,>98% reported,edison,>98%,35009,2020-11-07T02:00:42Z,R+39,Ronchetti +39,39.08957,republican,Curry,37,,,35,14812,6,14894,4256,4256,10078,10078,560,560,0,0,0
unknown,541,Other,,0,100,>98% reported,edison,>98%,35011,2020-11-04T19:44:37Z,R+47,Ronchetti +47,46.94784,republican,DeBaca,4,,,3,901,6,901,228,228,651,651,22,22,0,0,0
some,55667,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,35013,2020-11-05T00:48:48Z,D+19,Luján +19,18.68768,democrat,Dona Ana,170,,,170,75339,4,81428,46878,46878,31661,31661,2889,2889,0,0,0
none,14448,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,35015,2020-11-06T02:00:40Z,R+52,Ronchetti +52,51.56065,republican,Eddy,55,,,55,21193,4,22843,5301,5301,17079,17079,463,463,0,0,0
unknown,12286,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,35017,2020-11-06T02:00:39Z,D+5,Luján +5,5.34905,democrat,Grant,39,,,38,14800,2,14339,7377,7377,6610,6610,352,352,0,0,0
