absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,,Merged into voters' home precincts AFTER election night,,0,78,78% reported,edison,78%,36001,2020-11-04T10:43:31Z,D+23,Biden +23,22.72626,democrat,Albany,317,,,246,156602,4,121529,73189,73189,574,574,1258,1258,478,478,45570,45570,920,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,82,82% reported,edison,82%,36003,2020-11-04T10:43:32Z,R+49,Trump +49,49.11123,republican,Allegany,34,,,28,20935,2,17271,4188,4188,66,66,278,278,69,69,12670,12670,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,74,74% reported,edison,74%,36005,2020-11-04T10:43:33Z,D+66,Biden +66,65.52218,democrat,Bronx,959,,,706,447465,2,329638,271835,271835,1020,1020,607,607,327,327,55849,55849,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,77,77% reported,edison,77%,36047,2020-11-04T10:43:44Z,D+49,Biden +49,48.90963,democrat,Brooklyn,1730,,,1331,902278,2,693937,514133,514133,2704,2704,1852,1852,517,517,174731,174731,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,75,75% reported,edison,75%,36007,2020-11-04T10:43:34Z,R+8,Trump +8,8.4248,republican,Broome,141,,,106,96401,4,72251,32209,32209,316,316,900,900,293,293,38296,38296,474,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,86,86% reported,edison,86%,36009,2020-11-04T10:43:35Z,R+37,Trump +37,37.11357,republican,Cattaraugus,51,,,44,34900,2,30051,9142,9142,93,93,387,387,134,134,20295,20295,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,82,82% reported,edison,82%,36011,2020-11-04T10:43:35Z,R+19,Trump +19,18.63612,republican,Cayuga,47,,,38,37153,4,30296,11993,11993,155,155,335,335,125,125,17639,17639,98,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,80,80% reported,edison,80%,36013,2020-11-04T10:43:36Z,R+31,Trump +31,31.07087,republican,Chautauqua,55,,,44,60742,2,48428,16200,16200,148,148,615,615,218,218,31247,31247,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,78,78% reported,edison,78%,36015,2020-11-04T10:43:36Z,R+25,Trump +25,24.69506,republican,Chemung,89,,,70,40453,2,31646,11573,11573,83,83,480,480,122,122,19388,19388,0,0,0,0,0,0,0
unknown,,Merged into voters' home precincts AFTER election night,,0,76,76% reported,edison,76%,36017,2020-11-04T10:43:36Z,R+38,Trump +38,38.33884,republican,Chenango,31,,,24,22579,2,17241,5126,5126,70,70,255,255,54,54,11736,11736,0,0,0,0,0,0,0
