absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,5645,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,39001,2020-11-04T10:43:43Z,R+63,Trump +63,63.25073,republican,Adams,21,,,19,12400,2,11905,2130,2130,26,26,89,89,9660,9660,0,0,0,0,0,0
unknown,21147,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,39003,2020-11-04T10:43:43Z,R+40,Trump +40,39.77611,republican,Allen,88,,,78,49000,2,46362,13611,13611,137,137,562,562,32052,32052,0,0,0,0,0,0
all,12763,Released as a separate subtotal as first report of the night,,16298,100,>98% reported,edison,>98%,39005,2020-11-04T10:43:44Z,R+49,Trump +49,48.50288,republican,Ashland,39,,,39,25883,6,25883,6448,11541,103,165,330,487,19002,29988,0,5093,62,157,10986,0
all,17976,Released as a separate subtotal as first report of the night,,23058,100,>98% reported,edison,>98%,39007,2020-11-04T10:43:44Z,R+23,Trump +23,23.1614,republican,Ashtabula,104,,,104,43253,6,43253,16207,27453,191,286,538,760,26225,37683,221,11246,95,222,11458,37
unknown,15184,Merged into voters' home precincts and released with cumulative results,,15706,100,>98% reported,edison,>98%,39009,2020-11-04T10:43:45Z,D+15,Biden +15,14.717,democrat,Athens,56,,,56,24809,6,24876,14047,25249,102,167,274,418,10386,14642,173,11202,65,144,4256,39
all,9630,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,39011,2020-11-04T10:43:45Z,R+62,Trump +62,62.48228,republican,Auglaize,39,,,39,25396,6,25396,4583,4583,64,64,250,250,20451,20451,96,0,0,0,0,0
some,23979,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,39013,2020-11-04T10:43:45Z,R+43,Trump +43,43.29317,republican,Belmont,70,,,70,33243,4,32534,9007,9007,97,97,279,279,23092,23092,118,0,0,0,0,0
unknown,7776,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,39015,2020-11-04T10:43:45Z,R+57,Trump +57,56.86389,republican,Brown,32,,,29,20326,2,20586,4326,4326,52,52,176,176,16032,16032,0,0,0,0,0,0
some,78506,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,39017,2020-11-04T10:43:46Z,R+24,Trump +24,24.16746,republican,Butler,282,,,259,198176,2,182034,67729,67729,476,476,2107,2107,111722,111722,0,0,0,0,0,0
all,5890,Released as a separate subtotal as first report of the night,,7672,100,>98% reported,edison,>98%,39019,2020-11-04T10:43:46Z,R+52,Trump +52,52.43964,republican,Carroll,23,,,22,13748,2,13957,3206,5552,54,86,150,217,10525,15741,55,2346,32,67,5216,11
all,9136,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,39021,2020-11-04T10:43:46Z,R+47,Trump +47,47.18881,republican,Champaign,28,,,26,19369,6,19369,4946,4946,54,54,247,247,14086,14086,72,0,0,0,0,0
