absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,simmonsj__total_count,trumpd__total_count,republican__total_count,westk__total_count,bidenj__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,simmonsj__absentee_count,trumpd__absentee_count,westk__absentee_count
unknown,1456,Released as a separate subtotal as first report of the night,,1292,100,>98% reported,edison,>98%,40001,2020-11-07T00:28:52Z,R+59,Trump +59,59.06021,republican,Adair,17,,,16,6849,2,7108,1387,1789,62,77,15,86,22,5585,6448,37,402,15,2,3,863,7
unknown,512,Released as a separate subtotal as first report of the night,,532,94,94% reported,edison,94%,40003,2020-11-07T00:28:51Z,R+77,Trump +77,77.18833,republican,Alfalfa,8,,,7,2411,2,2262,232,323,31,39,6,23,6,1978,2409,9,91,8,1,1,431,0
unknown,1779,Released as a separate subtotal as first report of the night,,1567,100,>98% reported,edison,>98%,40005,2020-11-07T00:28:51Z,R+70,Trump +70,70.36556,republican,Atoka,17,,,16,5277,2,5389,765,1076,49,63,6,22,4,4557,5795,8,311,14,2,1,1238,1
unknown,675,Released as a separate subtotal as first report of the night,,504,88,88% reported,edison,88%,40007,2020-11-07T00:28:50Z,R+82,Trump +82,81.63453,republican,Beaver,7,,,6,2463,2,2178,190,267,15,18,2,6,1,1968,2391,2,77,3,1,0,423,0
unknown,1622,Released as a separate subtotal as first report of the night,,2191,100,>98% reported,edison,>98%,40009,2020-11-07T00:28:50Z,R+72,Trump +72,71.95521,republican,Beckham,13,,,12,7941,2,7948,1048,1451,100,124,8,42,8,6767,8522,17,403,24,4,2,1755,3
unknown,846,Released as a separate subtotal as first report of the night,,822,97,97% reported,edison,97%,40011,2020-11-07T00:28:49Z,R+63,Trump +63,62.75314,republican,Blaine,9,,,8,4013,2,3901,688,876,44,51,7,40,8,3136,3756,18,188,7,1,4,620,2
unknown,2874,Released as a separate subtotal as first report of the night,,3509,100,>98% reported,edison,>98%,40013,2020-11-07T00:28:48Z,R+56,Trump +56,56.46595,republican,Bryan,22,,,22,14757,2,15976,3323,4552,230,268,19,93,25,12344,14572,35,1229,38,5,6,2228,3
unknown,1565,Released as a separate subtotal as first report of the night,,1533,100,>98% reported,edison,>98%,40015,2020-11-07T00:28:48Z,R+44,Trump +44,44.05112,republican,Caddo,20,,,19,9831,2,9859,2670,3316,97,109,19,87,18,7013,7880,42,646,12,1,6,867,1
all,10027,Released as a separate subtotal as first report of the night,,15988,100,>98% reported,edison,>98%,40017,2020-11-07T00:28:47Z,R+43,Trump +43,43.28059,republican,Canadian,50,,,50,61857,6,61940,16742,23925,1168,1423,100,596,145,43550,51984,235,7183,255,29,41,8434,46
all,3955,Released as a separate subtotal as first report of the night,,4268,98,98% reported,edison,98%,40019,2020-11-04T10:44:01Z,R+53,Trump +53,52.51296,republican,Carter,25,,,23,19793,4,19479,4470,6124,196,222,24,129,24,14699,17272,66,1654,26,1,4,2573,10
all,5304,Released as a separate subtotal as first report of the night,,4735,100,>98% reported,edison,>98%,40021,2020-11-07T00:28:46Z,R+29,Trump +29,29.33273,republican,Cherokee,24,,,23,17697,6,17714,6027,8357,320,389,26,169,51,11223,13534,67,2330,69,4,12,2311,9
unknown,1486,Released as a separate subtotal as first report of the night,,1752,100,>98% reported,edison,>98%,40023,2020-11-07T00:28:46Z,R+62,Trump +62,62.00274,republican,Choctaw,17,,,16,5706,2,5832,1082,1480,34,43,3,21,6,4698,6040,9,398,9,0,2,1342,1
unknown,672,Released as a separate subtotal as first report of the night,,407,82,82% reported,edison,82%,40025,2020-11-07T00:28:45Z,R+85,Trump +85,85.38899,republican,Cimarron,6,,,5,1279,2,1054,70,94,10,17,1,6,2,970,1344,1,24,7,1,1,374,0
all,18829,Released as a separate subtotal as first report of the night,,47141,98,98% reported,edison,98%,40027,2020-11-07T00:28:44Z,R+14,Trump +14,14.06769,republican,Cleveland,84,,,82,122584,2,119778,49827,76246,2278,2985,210,1286,309,66677,86402,477,26419,707,75,105,19725,110
unknown,818,Released as a separate subtotal as first report of the night,,796,100,>98% reported,edison,>98%,40029,2020-11-07T00:28:44Z,R+68,Trump +68,68.02694,republican,Coal,9,,,8,2523,2,2524,374,508,34,47,4,34,9,2091,2731,12,134,13,3,5,640,1
all,8736,Released as a separate subtotal as first report of the night,,10514,100,>98% reported,edison,>98%,40031,2020-11-07T00:28:43Z,R+20,Trump +20,20.08925,republican,Comanche,39,,,38,35616,6,35631,13747,19513,699,872,63,339,96,20905,25421,121,5766,173,17,25,4516,17
unknown,760,Released as a separate subtotal as first report of the night,,799,94,94% reported,edison,94%,40033,2020-11-04T10:44:05Z,R+67,Trump +67,67.02955,republican,Cotton,9,,,8,2736,2,2572,393,540,34,45,6,38,9,2117,2748,13,147,11,2,5,631,3
unknown,944,Released as a separate subtotal as first report of the night,,1371,99,>98% reported,edison,>98%,40035,2020-11-04T10:44:05Z,R+58,Trump +58,57.50995,republican,Craig,12,,,11,6083,2,6032,1217,1660,88,100,11,47,10,4686,5596,20,443,12,0,3,910,3
all,6525,Released as a separate subtotal as first report of the night,,6068,100,>98% reported,edison,>98%,40037,2020-11-07T00:28:42Z,R+55,Trump +55,54.80085,republican,Creek,35,,,33,30318,2,30505,6577,8943,438,503,49,226,64,23294,26901,83,2366,65,9,15,3607,6
unknown,2330,Released as a separate subtotal as first report of the night,,2545,93,93% reported,edison,93%,40039,2020-11-07T00:28:41Z,R+53,Trump +53,53.23169,republican,Custer,13,,,12,11556,2,10691,2369,3201,197,230,14,75,20,8060,9730,31,832,33,1,7,1670,2
all,3314,Released as a separate subtotal as first report of the night,,4236,100,>98% reported,edison,>98%,40041,2020-11-07T00:28:39Z,R+58,Trump +58,58.48072,republican,Delaware,22,,,22,16527,4,17245,3472,4886,136,172,18,101,29,13557,16322,33,1414,36,7,9,2765,5
unknown,440,Released as a separate subtotal as first report of the night,,372,98,98% reported,edison,98%,40043,2020-11-07T00:28:39Z,R+81,Trump +81,80.96651,republican,Dewey,9,,,8,2401,2,2359,214,253,12,15,2,10,2,2124,2453,5,39,3,1,0,329,0
unknown,469,Released as a separate subtotal as first report of the night,,389,96,96% reported,edison,96%,40045,2020-11-07T00:28:53Z,R+81,Trump +81,81.47357,republican,Ellis,7,,,6,1951,2,1873,162,212,18,23,1,7,1,1688,2020,3,50,5,0,0,332,2
all,5979,Released as a separate subtotal as first report of the night,,5342,100,>98% reported,edison,>98%,40047,2020-11-07T00:28:53Z,R+54,Trump +54,53.72715,republican,Garfield,30,,,28,22407,6,22430,4919,6885,371,445,39,203,61,16970,20239,70,1966,74,14,12,3269,7
unknown,2240,Released as a separate subtotal as first report of the night,,2293,98,98% reported,edison,98%,40049,2020-11-07T00:28:52Z,R+64,Trump +64,64.20985,republican,Garvin,17,,,16,11091,2,10922,1865,2468,115,131,12,78,18,8878,10538,34,603,16,3,4,1660,7
all,4398,Released as a separate subtotal as first report of the night,,5510,100,>98% reported,edison,>98%,40051,2020-11-07T00:28:52Z,R+62,Trump +62,62.30899,republican,Grady,28,,,26,23047,6,23101,4144,5809,287,356,30,156,34,18538,22290,68,1665,69,10,7,3752,7
unknown,400,Released as a separate subtotal as first report of the night,,439,95,95% reported,edison,95%,40053,2020-11-04T10:44:09Z,R+73,Trump +73,73.49506,republican,Grant,7,,,6,2350,2,2226,280,380,24,32,2,7,2,1916,2246,2,100,8,0,0,330,1
