absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,broylesa__total_count,democrat__total_count,farrj__total_count,independent__total_count,inhofej__total_count,republican__total_count,murphyr__total_count,libertarian__total_count,nesbita__total_count,broylesa__absentee_count,farrj__absentee_count,inhofej__absentee_count,murphyr__absentee_count,nesbita__absentee_count
unknown,1456,Released as a separate subtotal as first report of the night,,1286,100,>98% reported,edison,>98%,40001,2020-11-07T00:28:52Z,R+50,Inhofe +50,49.74555,republican,Adair,17,,,16,6849,2,7074,1615,2034,124,218,5134,5941,138,167,63,419,23,807,29,8
unknown,512,Released as a separate subtotal as first report of the night,,531,94,94% reported,edison,94%,40003,2020-11-07T00:28:51Z,R+72,Inhofe +72,72.49779,republican,Alfalfa,8,,,7,2411,2,2258,262,359,38,64,1899,2311,46,55,13,97,11,412,9,2
unknown,1779,Released as a separate subtotal as first report of the night,,1552,100,>98% reported,edison,>98%,40005,2020-11-07T00:28:51Z,R+67,Inhofe +67,67.00337,republican,Atoka,17,,,16,5277,2,5346,798,1104,54,101,4380,5580,83,113,31,306,10,1200,30,6
unknown,675,Released as a separate subtotal as first report of the night,,503,88,88% reported,edison,88%,40007,2020-11-07T00:28:50Z,R+78,Inhofe +78,78.28096,republican,Beaver,7,,,6,2463,2,2164,195,272,22,43,1889,2302,43,50,15,77,3,413,7,3
unknown,1622,Released as a separate subtotal as first report of the night,,2182,100,>98% reported,edison,>98%,40009,2020-11-07T00:28:49Z,R+66,Inhofe +66,65.8635,republican,Beckham,13,,,12,7941,2,7927,1196,1628,89,167,6417,8091,178,223,47,432,17,1674,45,14
unknown,846,Released as a separate subtotal as first report of the night,,823,97,97% reported,edison,97%,40011,2020-11-07T00:28:49Z,R+58,Inhofe +58,57.53989,republican,Blaine,9,,,8,4013,2,3886,751,956,59,102,2987,3573,65,78,24,205,15,586,13,4
unknown,2874,Released as a separate subtotal as first report of the night,,3511,100,>98% reported,edison,>98%,40013,2020-11-07T00:28:48Z,R+54,Inhofe +54,54.02024,republican,Bryan,22,,,22,14757,2,15907,3335,4540,185,338,11928,14123,358,417,101,1205,27,2195,59,25
unknown,1565,Released as a separate subtotal as first report of the night,,1529,100,>98% reported,edison,>98%,40015,2020-11-07T00:28:48Z,R+42,Inhofe +42,41.63448,republican,Caddo,20,,,19,9831,2,9838,2665,3294,151,256,6761,7613,186,204,75,629,16,852,18,14
all,10027,Released as a separate subtotal as first report of the night,,15901,100,>98% reported,edison,>98%,40017,2020-11-07T00:28:47Z,R+39,Inhofe +39,39.1255,republican,Canadian,50,,,50,61857,6,61681,17386,24617,818,1537,41519,49657,1525,1771,433,7231,190,8138,246,96
all,3955,Released as a separate subtotal as first report of the night,,4254,98,98% reported,edison,98%,40019,2020-11-04T10:44:07Z,R+51,Inhofe +51,51.44152,republican,Carter,25,,,23,19793,4,19424,4352,5926,243,452,14344,16914,345,386,140,1574,36,2570,41,33
all,5304,Released as a separate subtotal as first report of the night,,4747,100,>98% reported,edison,>98%,40021,2020-11-07T00:28:46Z,R+21,Inhofe +21,21.11879,republican,Cherokee,24,,,23,17697,6,17662,6519,8931,302,559,10249,12406,436,513,156,2412,72,2157,77,29
unknown,1486,Released as a separate subtotal as first report of the night,,1737,100,>98% reported,edison,>98%,40023,2020-11-07T00:28:45Z,R+60,Inhofe +60,60.06549,republican,Choctaw,17,,,16,5706,2,5802,1070,1452,67,124,4555,5874,74,89,36,382,12,1319,15,9
unknown,672,Released as a separate subtotal as first report of the night,,404,82,82% reported,edison,82%,40025,2020-11-07T00:28:45Z,R+85,Inhofe +85,84.75551,republican,Cimarron,6,,,5,1279,2,1043,64,90,11,25,948,1315,14,17,6,26,5,367,3,3
all,18829,Released as a separate subtotal as first report of the night,,47155,98,98% reported,edison,98%,40027,2020-11-07T00:28:44Z,R+12,Inhofe +12,12.46968,republican,Cleveland,84,,,82,122584,2,119554,49632,75602,1635,3183,64540,84326,2890,3598,857,25970,426,19786,708,265
unknown,818,Released as a separate subtotal as first report of the night,,782,98,98% reported,edison,98%,40029,2020-11-07T00:28:43Z,R+62,Inhofe +62,61.82991,republican,Coal,9,,,8,2523,2,2481,430,587,30,71,1964,2564,33,41,24,157,10,600,8,7
all,8736,Released as a separate subtotal as first report of the night,,10474,100,>98% reported,edison,>98%,40031,2020-11-07T00:28:43Z,R+23,Inhofe +23,23.49808,republican,Comanche,39,,,38,35616,6,35488,12687,18038,596,1135,21026,25758,852,1031,327,5351,134,4732,179,78
unknown,760,Released as a separate subtotal as first report of the night,,795,94,94% reported,edison,94%,40033,2020-11-04T10:44:09Z,R+69,Inhofe +69,68.5402,republican,Cotton,9,,,8,2736,2,2562,358,490,33,63,2114,2753,39,51,18,132,8,639,12,4
unknown,944,Released as a separate subtotal as first report of the night,,1366,99,>98% reported,edison,>98%,40035,2020-11-04T10:44:09Z,R+47,Inhofe +47,47.145,republican,Craig,12,,,11,6083,2,6007,1446,1927,94,170,4278,5103,144,173,45,481,23,825,29,8
all,6525,Released as a separate subtotal as first report of the night,,6060,100,>98% reported,edison,>98%,40037,2020-11-07T00:28:42Z,R+50,Inhofe +50,49.76336,republican,Creek,35,,,33,30318,2,30426,6956,9310,486,804,22097,25591,688,781,199,2354,87,3494,93,32
unknown,2330,Released as a separate subtotal as first report of the night,,2549,92,92% reported,edison,92%,40039,2020-11-07T00:28:41Z,R+50,Inhofe +50,49.5264,republican,Custer,13,,,12,11556,2,10663,2454,3308,134,232,7735,9364,275,308,65,854,21,1629,33,12
all,3314,Released as a separate subtotal as first report of the night,,4224,100,>98% reported,edison,>98%,40041,2020-11-07T00:28:39Z,R+53,Inhofe +53,53.13428,republican,Delaware,22,,,21,16527,4,17181,3700,5131,249,445,12829,15492,283,337,120,1431,53,2663,54,23
unknown,440,Released as a separate subtotal as first report of the night,,371,98,98% reported,edison,98%,40043,2020-11-07T00:28:38Z,R+76,Inhofe +76,76.12574,republican,Dewey,9,,,8,2401,2,2354,253,304,20,32,2045,2360,29,29,7,51,5,315,0,0
unknown,469,Released as a separate subtotal as first report of the night,,387,96,96% reported,edison,96%,40045,2020-11-07T00:28:53Z,R+77,Inhofe +77,76.84887,republican,Ellis,7,,,6,1951,2,1866,187,247,18,36,1621,1936,28,34,12,60,5,315,6,1
all,5979,Released as a separate subtotal as first report of the night,,5329,100,>98% reported,edison,>98%,40047,2020-11-07T00:28:53Z,R+51,Inhofe +51,50.56381,republican,Garfield,30,,,28,22407,6,22348,5006,6888,332,603,16306,19580,519,606,185,1882,56,3274,87,30
unknown,2240,Released as a separate subtotal as first report of the night,,2287,98,98% reported,edison,98%,40049,2020-11-07T00:28:52Z,R+60,Inhofe +60,59.80527,republican,Garvin,17,,,16,11091,2,10887,1993,2600,137,255,8504,10134,164,185,89,607,18,1630,21,11
all,4398,Released as a separate subtotal as first report of the night,,5507,100,>98% reported,edison,>98%,40051,2020-11-07T00:28:51Z,R+57,Inhofe +57,57.27119,republican,Grady,28,,,26,23047,6,23043,4503,6216,283,536,17700,21322,397,476,160,1713,62,3622,79,31
unknown,400,Released as a separate subtotal as first report of the night,,433,94,94% reported,edison,94%,40053,2020-11-04T10:43:26Z,R+69,Inhofe +69,69.11964,republican,Grant,7,,,6,2350,2,2215,304,403,24,45,1835,2155,37,45,15,99,3,320,8,3
unknown,514,Released as a separate subtotal as first report of the night,,500,98,98% reported,edison,98%,40055,2020-11-07T00:28:51Z,R+61,Inhofe +61,60.62308,republican,Greer,8,,,7,1994,2,1958,347,482,19,46,1534,1883,40,47,18,135,5,349,7,4
unknown,288,Released as a separate subtotal as first report of the night,,280,89,89% reported,edison,89%,40057,2020-11-04T10:43:28Z,R+59,Inhofe +59,58.73526,republican,Harmon,7,,,6,1043,2,933,182,248,6,13,730,939,12,13,3,66,2,209,1,2
unknown,291,Released as a separate subtotal as first report of the night,,306,93,93% reported,edison,93%,40059,2020-11-07T00:28:50Z,R+77,Inhofe +77,77.32794,republican,Harper,6,,,5,1601,2,1482,144,190,22,38,1290,1540,18,20,8,46,5,250,2,3
unknown,1104,Released as a separate subtotal as first report of the night,,1368,100,>98% reported,edison,>98%,40061,2020-11-07T00:28:50Z,R+60,Inhofe +60,59.59413,republican,Haskell,11,,,10,4983,2,4977,926,1245,49,92,3892,4910,81,98,29,319,11,1018,17,3
unknown,832,Released as a separate subtotal as first report of the night,,938,100,>98% reported,edison,>98%,40063,2020-11-04T10:43:29Z,R+55,Inhofe +55,55.05385,republican,Hughes,16,,,15,4759,2,4828,1002,1260,65,100,3660,4317,75,89,26,258,5,657,14,4
unknown,2832,Released as a separate subtotal as first report of the night,,2162,97,97% reported,edison,97%,40065,2020-11-07T00:28:49Z,R+61,Inhofe +61,60.56906,republican,Jackson,15,,,14,8457,2,8189,1447,1999,100,170,6407,7948,194,234,41,552,16,1541,40,13
unknown,656,Released as a separate subtotal as first report of the night,,522,95,95% reported,edison,95%,40067,2020-11-07T00:28:49Z,R+69,Inhofe +69,68.67317,republican,Jefferson,10,,,9,2471,2,2359,323,405,32,54,1943,2373,45,49,16,82,2,430,4,4
unknown,1016,Released as a separate subtotal as first report of the night,,998,100,>98% reported,edison,>98%,40069,2020-11-07T00:28:48Z,R+61,Inhofe +61,60.90564,republican,Johnston,14,,,13,4225,2,4218,749,987,57,94,3318,4054,68,81,26,238,8,736,13,3
all,2845,Released as a separate subtotal as first report of the night,,3746,100,>98% reported,edison,>98%,40071,2020-11-07T00:28:47Z,R+47,Inhofe +47,46.87682,republican,Kay,28,,,26,17240,6,17194,4159,5507,286,505,12219,14518,369,410,161,1348,41,2299,41,17
unknown,1557,Released as a separate subtotal as first report of the night,,1647,99,>98% reported,edison,>98%,40073,2020-11-07T00:28:47Z,R+69,Inhofe +69,68.74806,republican,Kingfisher,14,,,13,6548,2,6454,895,1204,73,115,5332,6624,130,158,24,309,15,1292,28,3
unknown,818,Released as a separate subtotal as first report of the night,,852,93,93% reported,edison,93%,40075,2020-11-07T00:28:46Z,R+54,Inhofe +54,54.42853,republican,Kiowa,14,,,12,3673,2,3421,730,978,23,47,2592,3185,57,63,19,248,3,593,6,2
unknown,992,Released as a separate subtotal as first report of the night,,929,99,>98% reported,edison,>98%,40077,2020-11-07T00:28:46Z,R+54,Inhofe +54,54.25456,republican,Latimer,12,,,11,4266,2,4219,883,1183,57,113,3172,3776,67,76,40,300,7,604,9,9
unknown,3581,Released as a separate subtotal as first report of the night,,3954,100,>98% reported,edison,>98%,40079,2020-11-07T00:28:45Z,R+59,Inhofe +59,59.11504,republican,LeFlore,37,,,36,18110,2,18645,3462,4558,269,435,14484,17230,320,376,110,1096,39,2746,56,17
