absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,hunterd__total_count,progressive__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,hunterd__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,,Other,,0,99,>98% reported,edison,>98%,41001,2020-11-04T10:44:03Z,R+50,Trump +50,50.45556,republican,Baker,17,,,17,10008,2,9878,2332,2332,32,32,16,16,141,141,7316,7316,82,0,0,0,0,0,0
some,,Other,,0,94,94% reported,edison,94%,41003,2020-11-04T10:44:04Z,D+40,Biden +40,39.87992,democrat,Benton,24,,,23,55578,2,52134,35438,35438,330,330,142,142,1108,1108,14647,14647,938,0,0,0,0,0,0
some,,Other,,0,100,>98% reported,edison,>98%,41005,2020-11-07T14:02:36Z,D+11,Biden +11,11.20629,democrat,Clackamas,120,,,120,244004,2,253206,136782,136782,991,991,423,423,4632,4632,108407,108407,3942,0,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41007,2020-11-07T14:02:36Z,D+12,Biden +12,11.6459,democrat,Clatsop,33,,,33,22417,2,23519,12740,12740,127,127,61,61,416,416,10001,10001,348,0,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41009,2020-11-04T10:44:06Z,R+10,Trump +10,10.29253,republican,Columbia,33,,,33,30345,2,31518,13535,13535,157,157,85,85,763,763,16779,16779,398,0,0,0,0,0,0
some,,Other,,0,100,>98% reported,edison,>98%,41011,2020-11-04T10:44:06Z,R+20,Trump +20,20.45828,republican,Coos,18,,,18,35697,2,36484,14024,14024,167,167,78,78,560,560,21488,21488,334,0,0,0,0,0,0
unknown,,Other,,0,98,98% reported,edison,98%,41013,2020-11-04T10:44:07Z,R+49,Trump +49,48.71744,republican,Crook,17,,,17,15500,2,15165,3715,3715,41,41,16,16,221,221,11103,11103,138,0,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41015,2020-11-05T02:01:47Z,R+16,Trump +16,16.29051,republican,Curry,27,,,27,14377,2,14843,6023,6023,61,61,21,21,227,227,8441,8441,140,0,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41017,2020-11-04T11:15:49Z,D+8,Biden +8,8.14823,democrat,Deschutes,50,,,50,112355,2,121732,64102,64102,396,396,147,147,1992,1992,54183,54183,1824,0,0,0,0,0,0
some,,Other,,0,100,>98% reported,edison,>98%,41019,2020-11-04T10:44:08Z,R+38,Trump +38,37.60756,republican,Douglas,28,,,28,61014,2,63107,18780,18780,248,248,137,137,1131,1131,42513,42513,596,0,0,0,0,0,0
unknown,,Other,,0,98,98% reported,edison,98%,41021,2020-11-04T16:31:48Z,R+43,Trump +43,43.25939,republican,Gilliam,3,,,3,1192,2,1172,323,323,1,1,0,0,16,16,830,830,4,0,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41023,2020-11-04T10:44:08Z,R+57,Trump +57,57.11165,republican,Grant,5,,,5,4574,6,4577,923,923,11,11,10,10,74,74,3537,3537,44,0,0,0,0,0,0
unknown,,Other,,0,99,>98% reported,edison,>98%,41025,2020-11-04T10:44:08Z,R+58,Trump +58,57.67077,republican,Harney,3,,,3,4530,2,4465,890,890,9,9,9,9,62,62,3465,3465,60,0,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41027,2020-11-04T10:44:08Z,D+37,Biden +37,36.65751,democrat,Hood River,13,,,13,12437,2,12745,8530,8530,50,50,25,25,190,190,3858,3858,184,0,0,0,0,0,0
some,,Other,,0,100,>98% reported,edison,>98%,41029,2020-11-04T10:44:09Z,R+4,Trump +4,3.69536,republican,Jackson,45,,,45,124633,4,125184,58386,58386,617,617,264,264,2114,2114,63012,63012,1582,0,0,0,0,0,0
some,,Other,,0,100,>98% reported,edison,>98%,41031,2020-11-04T10:44:09Z,R+23,Trump +23,23.46991,republican,Jefferson,15,,,15,10783,4,11666,4306,4306,56,56,23,23,197,197,7044,7044,80,0,0,0,0,0,0
