absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,dyeg__total_count,libertarian__total_count,merkleyj__total_count,democrat__total_count,perkinsj__total_count,republican__total_count,taheri__total_count,progressive__total_count,write-ins__total_count,dyeg__absentee_count,merkleyj__absentee_count,perkinsj__absentee_count,taheri__absentee_count,write-ins__absentee_count
unknown,,Other,,0,97,97% reported,edison,97%,41001,2020-11-04T10:43:30Z,R+43,Perkins +43,43.43299,republican,Baker,17,,,16,10008,2,9700,174,174,2618,2618,6831,6831,70,70,14,0,0,0,0,0
some,,Other,,0,92,92% reported,edison,92%,41003,2020-11-04T10:43:31Z,D+39,Merkley +39,39.00109,democrat,Benton,24,,,22,55578,2,51396,1013,1013,34637,34637,14592,14592,1102,1102,104,0,0,0,0,0
some,,Other,,0,100,>98% reported,edison,>98%,41005,2020-11-07T14:00:39Z,D+11,Merkley +11,11.30858,democrat,Clackamas,120,,,120,244004,2,246229,4658,4658,132629,132629,104784,104784,3884,3884,548,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41007,2020-11-07T14:00:47Z,D+15,Merkley +15,14.90033,democrat,Clatsop,33,,,33,22417,2,23127,423,423,12871,12871,9425,9425,379,379,58,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41009,2020-11-04T10:43:33Z,R+5,Perkins +5,4.95574,republican,Columbia,33,,,33,30345,2,30954,739,739,14076,14076,15610,15610,490,490,78,0,0,0,0,0
some,,Other,,0,100,>98% reported,edison,>98%,41011,2020-11-04T10:43:34Z,R+14,Perkins +14,14.32148,republican,Coos,18,,,18,35697,2,35548,655,655,14666,14666,19757,19757,449,449,42,0,0,0,0,0
unknown,,Other,,0,96,96% reported,edison,96%,41013,2020-11-04T10:43:35Z,R+43,Perkins +43,43.07899,republican,Crook,17,,,17,15500,2,14875,237,237,4046,4046,10454,10454,114,114,48,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41015,2020-11-05T02:01:45Z,R+12,Perkins +12,12.48537,republican,Curry,27,,,27,14377,2,14529,268,268,6136,6136,7950,7950,168,168,14,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41017,2020-11-04T11:15:49Z,D+10,Merkley +10,9.69525,democrat,Deschutes,50,,,50,112355,2,119378,2129,2129,63512,63512,51938,51938,1679,1679,240,0,0,0,0,0
some,,Other,,0,100,>98% reported,edison,>98%,41019,2020-11-04T10:43:36Z,R+31,Perkins +31,30.83761,republican,Douglas,28,,,28,61014,2,61532,1175,1175,20341,20341,39316,39316,637,637,126,0,0,0,0,0
unknown,,Other,,0,97,97% reported,edison,97%,41021,2020-11-04T16:30:49Z,R+33,Perkins +33,33.41947,republican,Gilliam,3,,,3,1192,2,1161,18,18,372,372,760,760,8,8,6,0,0,0,0,0
unknown,,Other,,0,98,98% reported,edison,98%,41023,2020-11-04T10:43:36Z,R+48,Perkins +48,47.91991,republican,Grant,5,,,5,4574,6,4495,89,89,1110,1110,3264,3264,27,27,10,0,0,0,0,0
unknown,,Other,,0,96,96% reported,edison,96%,41025,2020-11-04T10:43:37Z,R+49,Perkins +49,49.25476,republican,Harney,3,,,3,4530,2,4361,64,64,1053,1053,3201,3201,37,37,12,0,0,0,0,0
unknown,,Other,,0,100,>98% reported,edison,>98%,41027,2020-11-04T10:43:37Z,D+37,Merkley +37,37.28692,democrat,Hood River,13,,,13,12437,2,12554,222,222,8408,8408,3727,3727,191,191,12,0,0,0,0,0
