absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
none,3456,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42001,2020-11-04T21:16:51Z,R+34,Trump +34,34.20289,republican,Adams,50,,,50,56000,4,55814,17919,17919,792,792,37009,37009,188,0,0,0,0
unknown,44826,Merged into voters' home precincts and released with cumulative results,,335573,97,97% reported,edison,97%,42003,2020-11-07T16:27:56Z,D+20,Biden +20,20.22883,democrat,Allegheny,1323,,,1229,725000,4,700530,415737,683427,8074,11068,274028,338917,5382,267690,2994,64889,0
unknown,2059,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,42005,2020-11-07T16:28:38Z,R+52,Trump +52,52.28394,republican,Armstrong,62,,,60,35810,4,35881,8352,8352,417,417,27112,27112,0,0,0,0,0
unknown,6320,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42007,2020-11-05T02:01:50Z,R+18,Trump +18,17.78326,republican,Beaver,129,,,123,93250,4,92767,37389,37389,1221,1221,53886,53886,542,0,0,0,0
unknown,2106,Merged into voters' home precincts and released with cumulative results,,5369,100,>98% reported,edison,>98%,42009,2020-11-04T10:43:52Z,R+68,Trump +68,67.59568,republican,Bedford,40,,,39,27018,6,27018,4266,6690,178,233,22529,25401,108,2424,55,2872,18
unknown,10526,Other,,0,99,>98% reported,edison,>98%,42011,2020-11-04T22:52:50Z,R+8,Trump +8,8.25491,republican,Berks,202,,,188,200000,4,198803,89530,89530,2789,2789,105941,105941,1086,0,0,0,0
some,4155,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42013,2020-11-06T22:22:38Z,R+43,Trump +43,43.38612,republican,Blair,93,,,91,63694,4,62898,17425,17425,645,645,44714,44714,228,0,0,0,0
none,2080,None,,0,100,>98% reported,edison,>98%,42015,2020-11-06T23:48:38Z,R+45,Trump +45,45.03593,republican,Bradford,61,,,61,29116,4,30056,7978,7978,507,507,21514,21514,114,0,0,0,0
some,25432,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,99,>98% reported,edison,>98%,42017,2020-11-06T19:08:38Z,D+4,Biden +4,4.01857,democrat,Bucks,304,,,293,388000,4,385933,198251,198251,4050,4050,182742,182742,1780,0,0,0,0
none,7869,Released as a separate subtotal at the end of tabulation,,0,99,>98% reported,edison,>98%,42019,2020-11-05T00:22:52Z,R+33,Trump +33,32.86794,republican,Butler,89,,,87,111600,4,111017,36534,36534,1403,1403,73023,73023,114,0,0,0,0
some,4526,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,42021,2020-11-06T21:36:39Z,R+37,Trump +37,37.30722,republican,Cambria,125,,,120,70400,4,70418,21614,21614,754,754,47885,47885,330,0,0,0,0
none,235,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,42023,2020-11-04T21:16:50Z,R+47,Trump +47,46.59836,republican,Cameron,10,,,9,2434,6,2440,634,634,29,29,1771,1771,12,0,0,0,0
unknown,2334,Merged into voters' home precincts and released with cumulative results,,9138,100,>98% reported,edison,>98%,42025,2020-11-06T20:50:38Z,R+32,Trump +32,32.15519,republican,Carbon,51,,,50,32591,4,33018,10990,16883,421,520,21607,24753,0,5893,99,3146,0
unknown,6518,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42027,2020-11-06T21:24:39Z,D+5,Biden +5,4.76783,democrat,Centre,87,,,75,77000,4,77100,39718,39718,1051,1051,36042,36042,578,0,0,0,0
some,26734,Merged into voters' home precincts and released with cumulative results,,117736,100,>98% reported,edison,>98%,42029,2020-11-07T01:42:19Z,D+17,Biden +17,16.81024,democrat,Chester,230,,,228,311000,4,310650,179065,273466,3515,4444,126844,149250,2452,94401,929,22406,0
some,1514,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42031,2020-11-04T21:16:50Z,R+51,Trump +51,50.68109,republican,Clarion,41,,,38,19300,4,19234,4615,4615,235,235,14363,14363,42,0,0,0,0
unknown,2733,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42033,2020-11-05T21:20:39Z,R+50,Trump +50,49.55015,republican,Clearfield,70,,,68,38815,4,39124,9598,9598,542,542,28984,28984,0,0,0,0,0
unknown,925,Released with cumulative results periodically election night,,0,99,>98% reported,edison,>98%,42035,2020-11-04T16:58:51Z,R+36,Trump +36,36.15265,republican,Clinton,34,,,32,17435,4,17321,5406,5406,219,219,11668,11668,56,0,0,0,0
all,2053,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42037,2020-11-05T22:06:39Z,R+31,Trump +31,30.85526,republican,Columbia,42,,,39,30800,4,30669,10289,10289,528,528,19752,19752,200,0,0,0,0
none,3675,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,42039,2020-11-06T18:22:38Z,R+37,Trump +37,37.43864,republican,Crawford,68,,,64,42463,4,41150,12584,12584,513,513,27990,27990,126,0,0,0,0
none,10347,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42041,2020-11-05T22:52:39Z,R+11,Trump +11,10.72285,republican,Cumberland,118,,,116,140600,4,139711,61168,61168,2082,2082,76149,76149,624,0,0,0,0
all,8061,Merged into voters' home precincts and released with cumulative results,,48638,100,>98% reported,edison,>98%,42043,2020-11-06T20:45:37Z,D+8,Biden +8,8.4619,democrat,Dauphin,159,,,151,145000,4,144861,77387,115963,1929,2441,65129,74679,832,38576,512,9550,0
some,18510,None,,73887,100,>98% reported,edison,>98%,42045,2020-11-07T01:40:46Z,D+26,Biden +26,26.3775,democrat,Delaware,428,,,394,322600,4,321088,200911,264393,2922,3307,116216,126236,2078,63482,385,10020,0
all,1149,None,,0,100,>98% reported,edison,>98%,42047,2020-11-06T16:02:43Z,R+45,Trump +45,44.86299,republican,Elk,29,,,29,16713,6,16751,4478,4478,242,242,11993,11993,76,0,0,0,0
unknown,10038,None,,5928,99,>98% reported,edison,>98%,42049,2020-11-07T01:46:10Z,D+1.1,Biden +1.1,1.10499,democrat,Erie,149,,,141,136400,4,135657,67471,71158,1903,2000,65972,68096,642,3687,97,2124,20
none,2958,Released as a separate subtotal at the end of tabulation,,0,98,98% reported,edison,98%,42051,2020-11-06T18:52:39Z,R+34,Trump +34,34.14398,republican,Fayette,77,,,73,60896,4,59952,19486,19486,445,445,39956,39956,130,0,0,0,0
all,302,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42053,2020-11-04T10:44:02Z,R+44,Trump +44,43.83823,republican,Forest,9,,,8,2621,6,2621,715,715,34,34,1864,1864,16,0,0,0,0
none,4866,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42055,2020-11-06T21:10:38Z,R+43,Trump +43,43.28694,republican,Franklin,73,,,71,80200,4,79904,22040,22040,1093,1093,56628,56628,286,0,0,0,0
unknown,456,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42057,2020-11-04T10:43:28Z,R+72,Trump +72,71.62803,republican,Fulton,13,,,13,7668,4,7807,1068,1068,65,65,6660,6660,28,0,0,0,0
unknown,1218,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,42059,2020-11-06T21:05:08Z,R+43,Trump +43,43.18052,republican,Greene,42,,,42,17494,6,17494,4882,4882,176,176,12436,12436,0,0,0,0,0
none,1354,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42061,2020-11-07T00:10:37Z,R+51,Trump +51,50.82735,republican,Huntingdon,58,,,57,22833,4,22844,5448,5448,286,286,17059,17059,102,0,0,0,0
unknown,2701,None,,0,100,>98% reported,edison,>98%,42063,2020-11-04T19:16:53Z,R+38,Trump +38,37.60744,republican,Indiana,69,,,64,40773,6,40835,12475,12475,466,466,27832,27832,124,0,0,0,0
all,1357,Merged into voters' home precincts AFTER election night,,816,99,>98% reported,edison,>98%,42065,2020-11-05T21:38:38Z,R+59,Trump +59,58.90609,republican,Jefferson,37,,,37,22900,4,22799,4498,4805,335,354,17928,18415,79,307,19,487,3
none,670,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42067,2020-11-06T16:14:39Z,R+61,Trump +61,61.32858,republican,Juniata,18,,,17,12042,6,12058,2253,2253,141,141,9648,9648,32,0,0,0,0
all,9229,Merged into voters' home precincts and released with cumulative results,,41168,99,>98% reported,edison,>98%,42069,2020-11-06T21:21:39Z,D+8,Biden +8,8.44308,democrat,Lackawanna,163,,,154,115000,4,113975,61124,93118,1070,1379,51501,60239,687,31994,309,8738,127
some,17110,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42071,2020-11-07T23:04:38Z,R+16,Trump +16,16.06637,republican,Lancaster,242,,,239,275000,4,276559,114006,114006,4114,4114,158439,158439,0,0,0,0,0
some,3605,Released as a separate subtotal at the end of tabulation,,11911,98,98% reported,edison,98%,42073,2020-11-04T10:43:32Z,R+30,Trump +30,29.88699,republican,Lawrence,75,,,72,46000,4,45217,15557,23274,482,599,29071,33113,249,7717,117,4042,35
some,4514,Released with cumulative results periodically election night,,19761,100,>98% reported,edison,>98%,42075,2020-11-06T22:00:38Z,R+32,Trump +32,31.9155,republican,Lebanon,60,,,59,70500,4,70483,23412,36291,966,1145,45907,52535,471,12879,179,6628,75
unknown,10606,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,42077,2020-11-06T17:52:38Z,D+7,Biden +7,7.45675,democrat,Lehigh,159,,,159,179770,4,179770,95539,95539,2097,2097,82134,82134,0,0,0,0,0
none,10448,None,,55242,99,>98% reported,edison,>98%,42079,2020-11-05T01:20:48Z,R+15,Trump +15,14.53089,republican,Luzerne,186,,,177,151000,4,149103,62983,100577,1471,1958,84649,101810,0,37594,487,17161,0
some,3546,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42081,2020-11-06T21:16:39Z,R+41,Trump +41,41.32335,republican,Lycoming,81,,,80,59000,4,58473,16722,16722,810,810,40885,40885,112,0,0,0,0
unknown,1194,Released separately AFTER election night,,0,100,>98% reported,edison,>98%,42083,2020-11-04T22:18:51Z,R+46,Trump +46,46.19953,republican,McKean,42,,,42,18456,4,19195,5024,5024,279,279,13892,13892,0,0,0,0,0
unknown,4235,Released separately AFTER election night,,0,99,>98% reported,edison,>98%,42085,2020-11-06T23:24:38Z,R+26,Trump +26,26.33109,republican,Mercer,90,,,83,57000,4,56420,20426,20426,712,712,35282,35282,0,0,0,0,0
unknown,1134,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42087,2020-11-05T19:36:40Z,R+56,Trump +56,56.16175,republican,Mifflin,26,,,25,21067,4,21317,4560,4560,225,225,16532,16532,0,0,0,0,0
none,5680,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42089,2020-11-06T02:34:39Z,D+6,Biden +6,5.97065,democrat,Monroe,52,,,51,80912,4,80477,42102,42102,999,999,37297,37297,158,0,0,0,0
all,32850,Merged into voters' home precincts and released with cumulative results,,238122,99,>98% reported,edison,>98%,42091,2020-11-05T14:09:54Z,D+26,Biden +26,26.04588,democrat,Montgomery,426,,,424,504237,4,501561,313543,510344,5111,6942,182907,222397,0,196801,1831,39490,0
none,1008,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42093,2020-11-06T00:12:09Z,R+21,Trump +21,21.13738,republican,Montour,15,,,15,9925,4,9812,3768,3768,156,156,5842,5842,92,0,0,0,0
some,9456,Merged into voters' home precincts AFTER election night,,73523,100,>98% reported,edison,>98%,42095,2020-11-06T23:40:50Z,D+0.78,Biden +0.78,0.77626,democrat,Northampton,154,,,154,170000,4,169403,84145,137537,1977,2737,82830,101994,1109,53392,760,19164,207
some,2466,None,,0,100,>98% reported,edison,>98%,42097,2020-11-05T20:40:39Z,R+38,Trump +38,38.49374,republican,Northumberland,74,,,72,41478,4,41560,12414,12414,638,638,28412,28412,192,0,0,0,0
some,1426,Merged into voters' home precincts and released with cumulative results,,650,100,>98% reported,edison,>98%,42099,2020-11-04T10:43:39Z,R+51,Trump +51,50.66162,republican,Perry,31,,,30,23963,4,24032,5704,6082,397,407,17879,18137,108,378,10,258,4
all,23992,Merged into voters' home precincts and released with cumulative results,,75220,98,98% reported,edison,98%,42101,2020-11-08T15:02:38Z,D+63,Biden +63,62.69041,democrat,Philadelphia,1703,,,1686,715000,4,699938,566107,636680,4615,4860,127313,131592,3929,70573,245,4279,123
unknown,3176,None,,13058,100,>98% reported,edison,>98%,42103,2020-11-06T22:34:38Z,R+19,Trump +19,18.95957,republican,Pike,18,,,18,32179,4,32179,12878,21378,322,459,18979,23400,0,8500,137,4421,0
unknown,790,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42105,2020-11-04T10:43:43Z,R+61,Trump +61,61.01562,republican,Potter,30,,,30,8816,4,8901,1686,1686,98,98,7117,7117,0,0,0,0,0
unknown,5456,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,42107,2020-11-04T16:30:51Z,R+40,Trump +40,39.73496,republican,Schuylkill,125,,,119,71205,4,69649,20425,20425,997,997,48100,48100,254,0,0,0,0
some,1165,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42109,2020-11-04T10:43:43Z,R+47,Trump +47,47.33703,republican,Snyder,25,,,25,18532,4,18945,4848,4848,240,240,13816,13816,82,0,0,0,0
unknown,3224,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,42111,2020-11-04T10:43:44Z,R+56,Trump +56,56.27416,republican,Somerset,50,,,48,40516,2,40093,8543,8543,414,414,31105,31105,62,0,0,0,0
unknown,398,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42113,2020-11-06T21:32:39Z,R+47,Trump +47,47.22376,republican,Sullivan,15,,,15,3552,4,3602,921,921,56,56,2622,2622,6,0,0,0,0
some,1736,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42115,2020-11-06T12:40:23Z,R+41,Trump +41,41.24267,republican,Susquehanna,41,,,40,21364,4,21325,6084,6084,301,301,14879,14879,122,0,0,0,0
unknown,1650,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,42117,2020-11-06T20:26:41Z,R+51,Trump +51,51.10195,republican,Tioga,41,,,40,20755,4,21099,4953,4953,378,378,15735,15735,66,0,0,0,0
some,1664,Released with cumulative results periodically election night,,0,99,>98% reported,edison,>98%,42119,2020-11-07T00:59:07Z,R+25,Trump +25,24.72856,republican,Union,27,,,27,20263,4,20078,7377,7377,282,282,12342,12342,154,0,0,0,0
none,2155,Released separately at end; NOT included in cumulative results,,0,99,>98% reported,edison,>98%,42121,2020-11-04T10:43:45Z,R+41,Trump +41,41.26651,republican,Venango,44,,,43,26444,4,26198,7475,7475,366,366,18286,18286,142,0,0,0,0
unknown,1773,Merged into voters' home precincts and released with cumulative results,,5048,98,98% reported,edison,98%,42123,2020-11-04T10:43:45Z,R+39,Trump +39,39.37552,republican,Warren,33,,,31,20878,4,20401,5987,9048,338,425,14020,15903,129,3061,87,1883,17
all,7216,None,,35519,97,97% reported,edison,97%,42125,2020-11-06T23:38:38Z,R+23,Trump +23,22.66144,republican,Washington,180,,,179,121000,4,117658,44712,69175,1298,1669,71375,81951,655,24463,371,10576,109
unknown,2445,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42127,2020-11-06T22:10:38Z,R+33,Trump +33,33.42647,republican,Wayne,35,,,35,27858,6,27915,9135,9135,257,257,18466,18466,114,0,0,0,0
none,13342,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,42129,2020-11-06T20:57:36Z,R+29,Trump +29,28.52556,republican,Westmoreland,307,,,293,202000,4,201805,70738,70738,2287,2287,128304,128304,952,0,0,0,0
all,1042,Merged into voters' home precincts and released with cumulative results,,4044,99,>98% reported,edison,>98%,42131,2020-11-04T12:34:37Z,R+35,Trump +35,35.1794,republican,Wyoming,28,,,27,14887,4,14716,4642,7105,213,267,9819,11322,108,2463,54,1503,24
some,12789,Merged into voters' home precincts AFTER election night,,0,97,97% reported,edison,97%,42133,2020-11-04T22:07:14Z,R+25,Trump +25,24.89419,republican,York,160,,,156,238944,4,232733,85323,85323,3473,3473,143260,143260,1354,0,0,0,0
