absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,bidenj__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count
all,3221,Merged into voters' home precincts and released with cumulative results,,6829,98,98% reported,edison,98%,45001,2020-11-04T02:26:26Z,R+29,Trump +29,29.11627,republican,Abbeville,16,,,16,14800,4,14552,5106,7988,6,10,10,16,87,123,9343,13244,2882,4,6,36,3901
all,20973,"As a precinct in the FIRST cumulative report, along with regular precincts",,44596,100,>98% reported,edison,>98%,45003,2020-11-06T19:30:25Z,R+23,Trump +23,22.67301,republican,Aiken,84,,,80,83950,4,85185,32275,52620,65,97,274,389,982,1318,51589,75357,20345,32,115,336,23768
some,2170,Released as a precinct as first report of the night,,2409,85,85% reported,edison,85%,45005,2020-11-06T15:57:37Z,D+52,Biden +52,52.40746,democrat,Allendale,8,,,7,4229,4,3593,2718,4712,2,3,19,30,19,33,835,1224,1994,1,11,14,389
all,15738,Released as a precinct at the end of tabulation,,31178,100,>98% reported,edison,>98%,45007,2020-11-06T19:30:29Z,R+42,Trump +42,42.03844,republican,Anderson,79,,,78,95693,6,96093,27169,40421,58,77,178,227,1123,1366,67565,85180,13252,19,49,243,17615
all,1944,Released as a separate subtotal at the end of tabulation,,3657,93,93% reported,edison,93%,45009,2020-11-06T20:30:28Z,D+25,Biden +25,24.57575,democrat,Bamberg,13,,,11,6990,4,6482,4010,6584,7,13,17,26,31,47,2417,3469,2574,6,9,16,1052
none,2475,"As a precinct in the FIRST cumulative report, along with regular precincts",,5617,96,96% reported,edison,96%,45011,2020-11-06T19:30:29Z,R+7,Trump +7,7.4799,republican,Barnwell,15,,,14,10713,4,10321,4720,7681,12,15,19,23,78,109,5492,8110,2961,3,4,31,2618
all,27701,Released as a precinct at the end of tabulation,,56385,100,>98% reported,edison,>98%,45013,2020-11-07T16:58:37Z,R+10,Trump +10,9.99131,republican,Beaufort,95,,,95,88070,4,97835,43419,73366,67,102,214,302,941,1334,53194,79116,29947,35,88,393,25922
all,19053,"As a precinct in the FIRST cumulative report, along with regular precincts",,57080,99,>98% reported,edison,>98%,45015,2020-11-06T19:30:29Z,R+12,Trump +12,11.65444,republican,Berkeley,96,,,96,105000,4,104458,45223,74873,77,113,276,399,1485,2068,57397,84085,29650,36,123,583,26688
unknown,2608,Released as a precinct as first report of the night,,4327,98,98% reported,edison,98%,45017,2020-11-06T18:42:36Z,R+5,Trump +5,4.82451,republican,Calhoun,12,,,11,8457,2,8291,3905,6566,5,7,18,27,58,80,4305,5938,2661,2,9,22,1633
some,54234,Released as a precinct as first report of the night,,161272,100,>98% reported,edison,>98%,45019,2020-11-06T20:30:28Z,D+13,Biden +13,12.87964,democrat,Charleston,182,,,182,215071,6,218857,121485,216836,155,249,743,1160,3177,5081,93297,156803,95351,94,417,1904,63506
some,4510,"As a precinct in the FIRST cumulative report, along with regular precincts",,10578,97,97% reported,edison,97%,45021,2020-11-06T19:30:29Z,R+44,Trump +44,43.76731,republican,Cherokee,29,,,28,26000,2,25270,6983,10959,10,15,48,72,186,253,18043,24549,3976,5,24,67,6506
all,7206,Merged into voters' home precincts and released with cumulative results,,8200,100,>98% reported,edison,>98%,45023,2020-11-06T21:36:37Z,R+11,Trump +11,10.90944,republican,Chester,21,,,19,15552,4,15757,6941,11414,11,17,37,50,108,145,8660,12331,4473,6,13,37,3671
all,3936,Released separately AFTER election night,,8896,98,98% reported,edison,98%,45025,2020-11-06T18:14:37Z,R+20,Trump +20,20.48103,republican,Chesterfield,25,,,24,19200,4,18876,7431,11856,11,11,28,38,109,147,11297,15720,4425,0,10,38,4423
all,7824,None,,10227,100,>98% reported,edison,>98%,45027,2020-11-06T17:37:37Z,R+0.66,Trump +0.66,0.66336,republican,Clarendon,25,,,23,16731,6,16733,8250,14399,13,19,42,68,67,98,8361,12376,6149,6,26,31,4015
all,6733,"As a precinct in the FIRST cumulative report, along with regular precincts",,10106,100,>98% reported,edison,>98%,45029,2020-11-06T21:00:28Z,R+10,Trump +10,9.53171,republican,Colleton,32,,,30,19205,6,19283,8602,14279,7,10,56,79,178,248,10440,14773,5677,3,23,70,4333
all,9811,Released as a precinct as first report of the night,,18687,100,>98% reported,edison,>98%,45031,2020-11-06T16:43:37Z,R+5,Trump +5,4.9727,republican,Darlington,32,,,29,32371,6,32417,15220,25746,28,39,77,113,260,373,16832,24833,10526,11,36,113,8001
unknown,4576,Other,,5996,99,>98% reported,edison,>98%,45033,2020-11-06T17:31:37Z,R+1.1,Trump +1.1,1.11442,republican,Dillon,19,,,18,13241,2,13101,6436,10013,9,12,36,50,38,48,6582,8974,3577,3,14,10,2392
all,18464,"As a precinct in the FIRST cumulative report, along with regular precincts",,46641,100,>98% reported,edison,>98%,45035,2020-11-06T18:45:37Z,R+10,Trump +10,10.4674,republican,Dorchester,81,,,81,70173,4,77278,33824,57243,83,127,239,350,1219,1772,41913,64427,23419,44,111,553,22514
all,3950,Released as a precinct as first report of the night,,7081,100,>98% reported,edison,>98%,45037,2020-11-06T15:16:38Z,R+24,Trump +24,24.28593,republican,Edgefield,12,,,11,13308,6,13304,4953,8101,8,14,39,57,120,169,8184,12044,3148,6,18,49,3860
all,3861,Released as a precinct as first report of the night,,6796,100,>98% reported,edison,>98%,45039,2020-11-06T17:33:37Z,D+23,Biden +23,22.71753,democrat,Fairfield,22,,,20,12083,4,12136,7382,12007,10,13,41,57,78,104,4625,6751,4625,3,16,26,2126
all,22227,Released as a precinct as first report of the night,,35728,100,>98% reported,edison,>98%,45041,2020-11-06T22:00:30Z,R+2,Trump +2,2.25754,republican,Florence,63,,,58,63918,6,64495,31149,51570,45,68,193,294,503,695,32605,47596,20421,23,101,192,14991
all,12821,None,,21530,100,>98% reported,edison,>98%,45043,2020-11-06T19:03:38Z,R+13,Trump +13,12.72226,republican,Georgetown,34,,,33,36608,6,36668,15822,26526,29,44,93,136,237,345,20487,31147,10704,15,43,108,10660
unknown,32851,Released as a precinct in the middle of the night,,93850,100,>98% reported,edison,>98%,45045,2020-11-06T22:15:31Z,R+18,Trump +18,18.20263,republican,Greenville,151,,,150,258198,2,258155,103030,156773,227,302,698,907,4179,5130,150021,188893,53743,75,209,951,38872
all,10778,Released as a precinct as first report of the night,,15370,100,>98% reported,edison,>98%,45047,2020-11-06T17:36:37Z,R+23,Trump +23,22.76448,republican,Greenwood,51,,,47,31506,6,32006,12145,19438,17,25,95,141,318,433,19431,27339,7293,8,46,115,7908
all,3520,Released as a precinct as first report of the night,,4796,99,>98% reported,edison,>98%,45049,2020-11-07T00:00:27Z,D+15,Biden +15,15.23165,democrat,Hampton,18,,,16,9351,4,9303,5322,8669,10,17,22,33,44,60,3905,5320,3347,7,11,16,1415
some,24302,Released as a precinct as first report of the night,,100347,100,>98% reported,edison,>98%,45051,2020-11-06T19:30:34Z,R+33,Trump +33,33.18108,republican,Horry,124,,,124,159504,2,179744,59180,100020,91,136,397,571,1255,1745,118821,177619,40840,45,174,490,58798
