absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bledsoeb__total_count,constitution__total_count,grahaml__total_count,republican__total_count,harrisonj__total_count,democrat__total_count,bledsoeb__absentee_count,grahaml__absentee_count,harrisonj__absentee_count
all,3221,Merged into voters' home precincts and released with cumulative results,,6846,84,84% reported,edison,84%,45001,2020-11-06T19:30:32Z,R+30,Graham +30,30.4928,republican,Abbeville,16,,,15,14800,4,12439,182,261,8025,11849,4232,7175,79,3824,2943
all,20973,"As a precinct in the FIRST cumulative report, along with regular precincts",,44583,100,>98% reported,edison,>98%,45003,2020-11-06T19:30:36Z,R+21,Graham +21,21.43042,republican,Aiken,84,,,80,83950,4,85164,1255,1642,51080,74901,32829,53204,387,23821,20375
some,2170,Released as a precinct as first report of the night,,2431,86,86% reported,edison,86%,45005,2020-11-06T15:57:37Z,D+54,Harrison +54,53.51724,democrat,Allendale,8,,,7,4229,4,3625,19,28,833,1224,2773,4804,9,391,2031
all,15738,Released as a precinct at the end of tabulation,,31149,100,>98% reported,edison,>98%,45007,2020-11-06T19:30:36Z,R+40,Graham +40,40.17285,republican,Anderson,79,,,78,95693,6,96035,1305,1564,66655,84219,28075,41401,259,17564,13326
all,1944,Released as a separate subtotal at the end of tabulation,,3648,93,93% reported,edison,93%,45009,2020-11-06T20:30:31Z,D+26,Harrison +26,26.04601,democrat,Bamberg,13,,,11,6990,4,6477,44,56,2373,3416,4060,6653,12,1043,2593
none,2475,"As a precinct in the FIRST cumulative report, along with regular precincts",,5604,96,96% reported,edison,96%,45011,2020-11-06T19:30:32Z,R+6,Graham +6,5.54694,republican,Barnwell,15,,,14,10713,4,10312,128,175,5378,7960,4806,7781,47,2582,2975
all,27701,Released as a precinct at the end of tabulation,,56472,100,>98% reported,edison,>98%,45013,2020-11-07T16:58:37Z,R+10,Graham +10,10.30077,republican,Beaufort,95,,,95,88070,4,97915,851,1140,53575,80064,43489,73183,289,26489,29694
all,19053,"As a precinct in the FIRST cumulative report, along with regular precincts",,57049,99,>98% reported,edison,>98%,45015,2020-11-06T19:30:31Z,R+10,Graham +10,9.69911,republican,Berkeley,96,,,96,105000,4,104391,1800,2421,56358,82880,46233,76139,621,26522,29906
unknown,2608,Released as a precinct as first report of the night,,4334,98,98% reported,edison,98%,45017,2020-11-06T18:42:36Z,R+3,Graham +3,2.72322,republican,Calhoun,12,,,11,8457,2,8299,123,162,4201,5794,3975,6677,39,1593,2702
some,54234,Released as a precinct as first report of the night,,161511,100,>98% reported,edison,>98%,45019,2020-11-06T20:30:27Z,D+12,Harrison +12,11.91891,democrat,Charleston,182,,,182,215071,6,219114,2196,3376,95401,161053,121517,216196,1180,65652,94679
some,4510,"As a precinct in the FIRST cumulative report, along with regular precincts",,10572,97,97% reported,edison,97%,45021,2020-11-06T19:30:31Z,R+40,Graham +40,40.48987,republican,Cherokee,29,,,28,26000,2,25231,485,628,17481,23854,7265,11321,143,6373,4056
all,7206,Merged into voters' home precincts and released with cumulative results,,8183,100,>98% reported,edison,>98%,45023,2020-11-06T21:36:37Z,R+6,Graham +6,6.49219,republican,Chester,21,,,19,15552,4,15742,270,347,8247,11764,7225,11814,77,3517,4589
all,3936,Released separately AFTER election night,,8895,98,98% reported,edison,98%,45025,2020-11-06T18:14:37Z,R+17,Graham +17,16.81956,republican,Chesterfield,25,,,24,19200,4,18859,275,351,10878,15174,7706,12229,76,4296,4523
all,7824,None,,10220,100,>98% reported,edison,>98%,45027,2020-11-06T17:37:37Z,D+1.5,Harrison +1.5,1.49665,democrat,Clarendon,25,,,23,16731,6,16704,172,242,8141,12086,8391,14596,70,3945,6205
all,6733,"As a precinct in the FIRST cumulative report, along with regular precincts",,10101,100,>98% reported,edison,>98%,45029,2020-11-06T21:00:26Z,R+6,Graham +6,6.37746,republican,Colleton,32,,,30,19205,6,19271,364,477,10068,14295,8839,14600,113,4227,5761
all,9811,Released as a precinct as first report of the night,,18683,100,>98% reported,edison,>98%,45031,2020-11-06T16:43:37Z,R+3,Graham +3,2.75498,republican,Darlington,32,,,29,32371,6,32414,395,530,16456,24364,15563,26203,135,7908,10640
unknown,4576,Other,,5980,99,>98% reported,edison,>98%,45033,2020-11-06T17:31:37Z,D+3,Harrison +3,2.79603,democrat,Dillon,19,,,18,13241,2,13090,130,174,6297,8582,6663,10314,44,2285,3651
all,18464,"As a precinct in the FIRST cumulative report, along with regular precincts",,46577,100,>98% reported,edison,>98%,45035,2020-11-06T18:45:37Z,R+9,Graham +9,8.50672,republican,Dorchester,81,,,81,70173,4,77139,1345,1830,41178,63612,34616,58274,485,22434,23658
all,3950,Released as a precinct as first report of the night,,7083,100,>98% reported,edison,>98%,45037,2020-11-06T15:16:37Z,R+22,Graham +22,21.66955,republican,Edgefield,12,,,11,13308,6,13309,217,295,7988,11791,5104,8306,78,3803,3202
all,3861,Released as a precinct as first report of the night,,6800,100,>98% reported,edison,>98%,45039,2020-11-06T17:33:37Z,D+24,Harrison +24,23.95747,democrat,Fairfield,22,,,20,12083,4,12134,115,160,4556,6672,7463,12102,45,2116,4639
all,22227,Released as a precinct as first report of the night,,35798,100,>98% reported,edison,>98%,45041,2020-11-06T22:00:26Z,R+0.72,Graham +0.72,0.72136,republican,Florence,63,,,58,63918,6,64600,650,902,32208,47097,31742,52399,252,14889,20657
all,12821,None,,20780,100,>98% reported,edison,>98%,45043,2020-11-06T19:30:30Z,R+13,Graham +13,12.60967,republican,Georgetown,34,,,33,36608,6,36702,340,461,20495,30815,15867,26206,121,10320,10339
