absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count
unknown,349,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,46003,2020-11-04T10:44:07Z,R+52,Trump +52,52.31317,republican,Aurora,5,,,4,1479,2,1405,317,317,36,36,1052,1052,0,0,0
some,3675,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46005,2020-11-04T10:44:07Z,R+38,Trump +38,38.14433,republican,Beadle,10,,,9,7090,6,7081,2107,2107,166,166,4808,4808,0,0,0
unknown,352,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,46007,2020-11-05T15:25:44Z,R+19,Trump +19,19.27303,republican,Bennett,4,,,4,1264,2,1183,466,466,23,23,694,694,0,0,0
unknown,656,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,46009,2020-11-04T10:44:08Z,R+50,Trump +50,50.44985,republican,Bon Homme,5,,,5,3231,2,3001,721,721,45,45,2235,2235,0,0,0
all,11464,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,46011,2020-11-04T21:35:50Z,R+13,Trump +13,12.97453,republican,Brookings,9,,,9,14566,6,14567,6110,6110,457,457,8000,8000,0,0,0
all,7536,Other,,0,99,>98% reported,edison,>98%,46013,2020-11-05T15:01:07Z,R+23,Trump +23,23.03528,republican,Brown,12,,,12,17668,6,17547,6538,6538,429,429,10580,10580,0,0,0
unknown,987,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46015,2020-11-04T10:44:08Z,R+43,Trump +43,43.25301,republican,Brule,5,,,5,2500,2,2490,673,673,67,67,1750,1750,0,0,0
unknown,347,Merged into voters' home precincts and released with cumulative results,,0,81,81% reported,edison,81%,46017,2020-11-05T18:41:43Z,D+31,Biden +31,30.78324,democrat,Buffalo,3,,,3,674,2,549,352,352,14,14,183,183,0,0,0
unknown,2926,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,46019,2020-11-05T15:35:43Z,R+58,Trump +58,58.14244,republican,Butte,16,,,16,4873,2,4802,939,939,132,132,3731,3731,0,0,0
unknown,146,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,46021,2020-11-04T10:44:09Z,R+72,Trump +72,72.16495,republican,Campbell,5,,,5,874,2,873,117,117,9,9,747,747,0,0,0
