absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,kennedya__total_count,socialist-workers__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,kennedya__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
some,24252,Released as a precinct as first report of the night,,23838,96,96% reported,edison,96%,47001,2020-11-04T10:43:36Z,R+32,Trump +32,32.17271,republican,Anderson,27,,,27,37072,4,35527,11733,19435,56,89,12,18,52,81,396,613,33,50,13,124,23163,38955,69,0,7702,33,6,29,217,17,7,15792,35,0
unknown,10626,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,47003,2020-11-04T10:43:36Z,R+52,Trump +52,51.86197,republican,Bedford,11,,,11,18456,2,19039,4443,4443,32,32,8,8,24,24,155,155,9,9,6,51,14317,14317,45,0,0,0,0,0,0,0,0,0,0,0
some,4922,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,47005,2020-11-04T10:43:37Z,R+57,Trump +57,57.03448,republican,Benton,6,,,6,7340,2,7250,1526,1526,8,8,1,1,6,6,35,35,3,3,2,10,5661,5661,8,0,0,0,0,0,0,0,0,0,0,0
unknown,1711,None,,0,100,>98% reported,edison,>98%,47007,2020-11-04T10:43:37Z,R+65,Trump +65,65.19625,republican,Bledsoe,12,,,12,5780,2,5758,971,971,13,13,2,2,4,4,33,33,2,2,1,8,4725,4725,7,0,0,0,0,0,0,0,0,0,0,0
all,40960,Merged into voters' home precincts and released with cumulative results,,50992,100,>98% reported,edison,>98%,47009,2020-11-04T10:43:37Z,R+44,Trump +44,44.28106,republican,Blount,31,,,31,66306,6,66306,17834,32808,141,238,37,60,99,161,831,1369,27,45,12,221,47195,82396,130,0,14974,97,23,62,538,18,9,35201,70,0
all,30918,Released as a separate subtotal as first report of the night,,35440,100,>98% reported,edison,>98%,47011,2020-11-04T10:43:38Z,R+55,Trump +55,55.13618,republican,Bradley,17,,,17,45968,6,45968,9849,17760,85,134,24,38,53,84,497,782,15,26,17,188,35194,62182,102,346,7911,49,14,31,285,11,11,26988,58,82
unknown,7473,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,47013,2020-11-04T10:43:39Z,R+66,Trump +66,66.2603,republican,Campbell,20,,,20,14537,2,14929,2438,2438,24,24,2,2,9,9,101,101,5,5,2,20,12330,12330,18,0,0,0,0,0,0,0,0,0,0,0
some,2997,Released as a precinct as first report of the night,,2655,99,>98% reported,edison,>98%,47015,2020-11-04T10:43:40Z,R+60,Trump +60,59.87504,republican,Cannon,9,,,9,6600,2,6562,1261,1778,12,18,2,3,6,9,63,105,7,10,2,23,5190,7259,12,19,517,6,1,3,42,3,0,2069,9,5
some,6252,Released as a separate subtotal as first report of the night,,7905,91,91% reported,edison,91%,47017,2020-11-04T10:43:42Z,R+56,Trump +56,55.79753,republican,Carroll,19,,,19,13042,2,11893,2558,4447,18,32,3,5,12,18,90,136,7,10,2,15,9194,15135,9,0,1889,14,2,6,46,3,1,5941,3,0
all,13611,Released as a precinct as first report of the night,,12644,100,>98% reported,edison,>98%,47019,2020-11-04T10:43:43Z,R+61,Trump +61,61.364,republican,Carter,22,,,22,24868,6,24868,4613,7649,27,36,6,8,39,55,249,347,13,18,13,61,19873,29338,35,0,3036,9,2,16,98,5,3,9465,10,0
all,12907,Released as a separate subtotal as first report of the night,,16532,100,>98% reported,edison,>98%,47021,2020-11-04T10:43:44Z,R+44,Trump +44,44.1541,republican,Cheatham,8,,,8,20091,6,20091,5457,10263,30,52,15,28,27,47,205,359,5,7,1,38,14328,25829,23,0,4806,22,13,20,154,2,1,11501,13,0
unknown,4605,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,47023,2020-11-04T10:43:44Z,R+60,Trump +60,59.91027,republican,Chester,11,,,11,7821,2,7578,1411,1411,23,23,8,8,7,7,86,86,15,15,6,77,5951,5951,71,0,0,0,0,0,0,0,0,0,0,0
unknown,6758,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,47025,2020-11-04T10:43:45Z,R+65,Trump +65,64.91689,republican,Claiborne,16,,,16,12908,2,12935,2201,2201,11,11,7,7,6,6,82,82,8,8,0,22,10598,10598,22,0,0,0,0,0,0,0,0,0,0,0
unknown,1984,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,47027,2020-11-04T10:43:45Z,R+57,Trump +57,56.98802,republican,Clay,7,,,7,3509,2,3506,735,735,5,5,1,1,4,4,22,22,2,2,0,4,2733,2733,4,0,0,0,0,0,0,0,0,0,0,0
unknown,8249,Other,,0,99,>98% reported,edison,>98%,47029,2020-11-04T10:43:45Z,R+65,Trump +65,64.94956,republican,Cocke,19,,,19,15000,2,14870,2524,2524,12,12,5,5,23,23,93,93,7,7,4,24,12182,12182,20,0,0,0,0,0,0,0,0,0,0,0
all,13744,Released as a separate subtotal as first report of the night,,17194,100,>98% reported,edison,>98%,47031,2020-11-04T10:43:46Z,R+50,Trump +50,50.01028,republican,Coffee,23,,,23,24313,6,24313,5704,10240,59,92,24,36,49,76,242,379,71,111,30,400,17863,30094,219,131,4536,33,12,27,137,40,21,12231,130,27
unknown,3380,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,96,96% reported,edison,96%,47033,2020-11-04T10:43:46Z,R+54,Trump +54,53.82728,republican,Crockett,12,,,12,6378,2,6114,1382,1382,3,3,3,3,6,6,30,30,4,4,1,13,4673,4673,12,0,0,0,0,0,0,0,0,0,0,0
all,21382,Released as a separate subtotal as first report of the night,,22942,100,>98% reported,edison,>98%,47035,2020-11-04T10:43:47Z,R+57,Trump +57,57.07432,republican,Cumberland,24,,,24,32307,6,32307,6728,12239,62,108,9,16,31,54,232,354,13,20,1,54,25167,42362,35,71,5511,46,7,23,122,7,1,17195,17,13
unknown,227158,Released as a separate subtotal as first report of the night,,253821,100,>98% reported,edison,>98%,47037,2020-11-04T10:43:49Z,D+32,Biden +32,31.92443,democrat,Davidson,160,,,160,306783,6,308325,197846,369705,595,1005,399,670,722,1232,3520,5811,630,1066,1066,6007,99415,174034,2590,4158,171859,410,271,510,2291,436,732,74619,1619,1074
unknown,4360,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,47041,2020-11-04T10:43:51Z,R+58,Trump +58,57.82849,republican,DeKalb,15,,,15,8360,2,8501,1747,1747,9,9,4,4,6,6,60,60,1,1,2,11,6663,6663,9,0,0,0,0,0,0,0,0,0,0,0
some,3109,"Released as first report, then NOT included in cumulative results",,3762,99,>98% reported,edison,>98%,47039,2020-11-04T10:43:50Z,R+63,Trump +63,63.33333,republican,Decatur,13,,,13,5327,2,5250,904,1619,15,24,4,7,10,20,21,37,12,20,4,65,4229,7208,42,21,715,9,3,10,16,8,3,2979,16,3
all,12625,Released as a separate subtotal as first report of the night,,17006,100,>98% reported,edison,>98%,47043,2020-11-04T10:43:51Z,R+47,Trump +47,47.32972,republican,Dickson,17,,,17,24342,6,24342,6098,10884,55,87,16,29,40,60,260,411,39,66,29,258,17619,29462,134,143,4786,32,13,20,151,27,21,11843,74,39
unknown,9314,Released as a separate subtotal as first report of the night,,0,91,91% reported,edison,91%,47045,2020-11-04T10:43:52Z,R+57,Trump +57,57.11158,republican,Dyer,16,,,16,16586,2,15074,3157,3157,16,16,9,9,7,7,96,96,9,9,1,14,11766,11766,13,0,0,0,0,0,0,0,0,0,0,0
