absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bradshawm__total_count,democrat__total_count,faparusiy__total_count,independent__total_count,grunauj__total_count,hagertyb__total_count,republican__total_count,henleyr__total_count,hilld__total_count,hoopers__total_count,jamesa__total_count,mcleode__total_count,morgank__total_count,stansberrye__total_count,bradshawm__absentee_count,faparusiy__absentee_count,grunauj__absentee_count,hagertyb__absentee_count,henleyr__absentee_count,hilld__absentee_count,hoopers__absentee_count,jamesa__absentee_count,mcleode__absentee_count,morgank__absentee_count,stansberrye__absentee_count
some,24252,Released as a precinct as first report of the night,,23147,93,93% reported,edison,93%,47001,2020-11-04T10:43:50Z,R+35,Hagerty +35,35.23363,republican,Anderson,27,,,27,37072,4,34521,10810,17910,103,1125,58,22973,38633,75,55,53,54,197,82,61,7100,59,29,15660,41,23,29,27,109,34,36
unknown,10626,Released as a separate subtotal as first report of the night,,0,98,98% reported,edison,98%,47003,2020-11-04T10:43:51Z,R+56,Hagerty +56,55.6795,republican,Bedford,11,,,11,18456,2,18109,3801,3801,49,424,26,13884,13884,63,36,55,29,69,65,32,0,0,0,0,0,0,0,0,0,0,0
some,4922,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,47005,2020-11-04T10:43:51Z,R+59,Hagerty +59,59.06223,republican,Benton,6,,,6,7340,2,6974,1336,1336,13,183,17,5455,5455,24,17,46,7,32,19,8,0,0,0,0,0,0,0,0,0,0,0
unknown,1711,None,,0,95,95% reported,edison,95%,47007,2020-11-04T10:43:51Z,R+65,Hagerty +65,65.08314,republican,Bledsoe,12,,,12,5780,2,5473,898,898,2,115,7,4460,4460,19,6,12,17,22,17,13,0,0,0,0,0,0,0,0,0,0,0
all,40960,Merged into voters' home precincts and released with cumulative results,,49547,97,97% reported,edison,97%,47009,2020-11-04T10:43:52Z,R+49,Hagerty +49,48.68268,republican,Blount,31,,,31,66306,6,64411,15861,29164,263,2247,95,47218,82547,221,191,228,58,146,91,39,13303,179,67,35329,152,129,164,39,98,62,25
all,30918,Released as a separate subtotal as first report of the night,,34052,96,96% reported,edison,96%,47011,2020-11-04T10:43:52Z,R+58,Hagerty +58,57.86575,republican,Bradley,17,,,17,45968,6,44128,8714,15698,143,1943,61,34249,60539,111,57,99,64,229,118,283,6984,94,32,26290,73,40,67,39,149,76,208
unknown,7473,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,47013,2020-11-04T10:43:53Z,R+67,Hagerty +67,67.11939,republican,Campbell,20,,,19,14537,2,14063,2170,2170,24,284,29,11609,11609,60,40,58,11,32,18,12,0,0,0,0,0,0,0,0,0,0,0
unknown,2997,Released as a precinct as first report of the night,,2485,93,93% reported,edison,93%,47015,2020-11-04T10:43:54Z,R+62,Hagerty +62,61.67208,republican,Cannon,9,,,9,6600,2,6160,1105,1553,19,224,11,4904,6868,24,6,17,14,25,27,8,448,8,5,1964,12,0,8,7,14,15,4
some,6252,Released as a separate subtotal as first report of the night,,7579,88,88% reported,edison,88%,47017,2020-11-04T10:43:54Z,R+58,Hagerty +58,57.77039,republican,Carroll,19,,,18,13042,2,11428,2286,3972,18,405,23,8888,14630,44,20,33,17,58,26,15,1686,8,18,5742,28,12,19,13,30,15,8
all,13611,Released as a precinct as first report of the night,,11932,95,95% reported,edison,95%,47019,2020-11-04T10:43:55Z,R+62,Hagerty +62,62.10142,republican,Carter,22,,,21,24868,6,23584,4204,6941,69,782,34,18850,27793,58,51,34,41,135,69,39,2737,36,14,8943,29,22,14,19,65,31,22
all,12907,Released as a separate subtotal as first report of the night,,15906,96,96% reported,edison,96%,47021,2020-11-04T10:43:56Z,R+47,Hagerty +47,46.88113,republican,Cheatham,8,,,8,20091,6,19366,4911,9242,65,812,25,13990,25218,41,28,76,35,127,51,17,4331,46,20,11228,32,21,54,26,100,35,13
unknown,4605,Released as a separate subtotal as first report of the night,,0,95,95% reported,edison,95%,47023,2020-11-04T10:43:57Z,R+63,Hagerty +63,62.64329,republican,Chester,11,,,11,7821,2,7415,1304,1304,8,162,5,5949,5949,14,7,21,37,27,28,15,0,0,0,0,0,0,0,0,0,0,0
unknown,6758,Released as a separate subtotal as first report of the night,,0,95,95% reported,edison,95%,47025,2020-11-04T10:43:58Z,R+66,Hagerty +66,66.31408,republican,Claiborne,16,,,16,12908,2,12290,1960,1960,24,220,9,10110,10110,27,17,28,19,42,29,25,0,0,0,0,0,0,0,0,0,0,0
unknown,1984,Released as a separate subtotal as first report of the night,,0,92,92% reported,edison,92%,47027,2020-11-04T10:43:59Z,R+59,Hagerty +59,59.1938,republican,Clay,7,,,7,3509,2,3225,616,616,5,84,6,2525,2525,14,7,16,3,14,14,5,0,0,0,0,0,0,0,0,0,0,0
unknown,8249,Other,,0,92,92% reported,edison,92%,47029,2020-11-04T10:43:59Z,R+65,Hagerty +65,65.13841,republican,Cocke,19,,,19,15000,2,13872,2220,2220,32,396,31,11256,11256,43,30,80,18,73,50,39,0,0,0,0,0,0,0,0,0,0,0
