absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
none,15380.0,Released as a precinct as first report of the night,,14459,96,96% reported,edison,96%,48001,2020-11-04T10:44:02Z,R+58,Trump +58,58.09449,republican,Anderson,23,,,20,20048,2,19155,3934,7168,22,43,132,228,15062,26165,15,3234,21,96,11103,5
unknown,4805.0,Released as a precinct as first report of the night,,4776,100,>98% reported,edison,>98%,48003,2020-11-04T10:44:05Z,R+70,Trump +70,69.80874,republican,Andrews,5,,,5,5837,2,5856,849,1549,10,16,60,105,4937,8962,0,700,6,45,4025,0
unknown,28954.0,Released as a precinct as first report of the night,,28676,98,98% reported,edison,98%,48005,2020-11-04T10:44:07Z,R+46,Trump +46,46.01479,republican,Angelina,43,,,38,35322,2,34628,9136,16849,75,129,273,472,25070,45725,203,7713,54,199,20655,55
unknown,10783.0,Released as a precinct as first report of the night,,10983,99,>98% reported,edison,>98%,48007,2020-11-04T10:44:07Z,R+52,Trump +52,51.58075,republican,Aransas,6,,,5,12414,2,12241,2896,5549,31,57,103,187,9210,17430,2,2653,26,84,8220,0
unknown,2737.0,Released as a precinct as first report of the night,,3623,91,91% reported,edison,91%,48009,2020-11-04T10:44:08Z,R+80,Trump +80,80.35863,republican,Archer,12,,,10,5288,2,4796,446,802,4,6,45,73,4300,7536,3,356,2,28,3236,1
unknown,777.0,Released as a precinct as first report of the night,,846,88,88% reported,edison,88%,48011,2020-11-04T10:44:09Z,R+86,Trump +86,86.33094,republican,Armstrong,8,,,7,1260,2,1112,75,136,0,0,2,3,1035,1819,0,61,0,1,784,0
unknown,10647.0,Released as a precinct as first report of the night,,14759,100,>98% reported,edison,>98%,48013,2020-11-04T10:44:09Z,R+34,Trump +34,34.03373,republican,Atascosa,25,,,25,17775,2,18085,5865,10707,58,102,142,254,12020,21781,0,4842,44,112,9761,0
some,9966.0,Released as a precinct as first report of the night,,11550,95,95% reported,edison,95%,48015,2020-11-04T10:44:09Z,R+58,Trump +58,58.12222,republican,Austin,18,,,16,15153,2,14368,2931,5367,33,59,122,213,11282,20279,0,2436,26,91,8997,0
unknown,1464.0,Released as a precinct as first report of the night,,1282,79,79% reported,edison,79%,48017,2020-11-04T10:44:10Z,R+55,Trump +55,55.17799,republican,Bailey,5,,,4,2361,2,1854,407,660,2,2,14,21,1430,2451,3,253,0,7,1021,1
unknown,10011.0,Released as a precinct as first report of the night,,11074,100,>98% reported,edison,>98%,48019,2020-11-04T10:44:10Z,R+59,Trump +59,59.41116,republican,Bandera,11,,,11,12614,2,12703,2503,4798,30,52,120,212,10050,18715,0,2295,22,92,8665,0
unknown,25791.0,Released as a precinct as first report of the night,,31298,100,>98% reported,edison,>98%,48021,2020-11-04T10:44:10Z,R+14,Trump +14,13.71326,republican,Bastrop,23,,,23,33601,2,36709,15452,29342,128,235,530,936,20486,37367,240,13890,107,406,16881,14
unknown,1554.0,Released as a precinct as first report of the night,,1373,89,89% reported,edison,89%,48023,2020-11-04T10:43:29Z,R+77,Trump +77,77.32143,republican,Baylor,5,,,4,1880,2,1680,179,324,1,2,22,38,1478,2689,0,145,1,16,1211,0
unknown,7301.0,Released as a precinct as first report of the night,,7536,94,94% reported,edison,94%,48025,2020-11-04T10:43:29Z,R+29,Trump +29,28.91015,republican,Bee,18,,,15,10020,2,9405,3280,6033,27,48,93,161,5999,10687,18,2753,21,68,4688,6
some,89466.0,Released as a precinct as first report of the night,,102935,100,>98% reported,edison,>98%,48027,2020-11-04T10:43:30Z,R+9,Trump +9,8.80374,republican,Bell,49,,,49,117276,4,125867,56032,103912,430,748,1940,3243,67113,120517,734,47880,318,1303,53404,30
all,609654.0,Released as a precinct as first report of the night,,674018,99,>98% reported,edison,>98%,48029,2020-11-04T10:43:32Z,D+18,Biden +18,18.07549,democrat,Bexar,767,,,756,766539,2,757667,440823,838161,2752,4989,8575,15428,303871,570016,4737,397338,2237,6853,266145,1445
unknown,4204.0,Released as a precinct as first report of the night,,6432,100,>98% reported,edison,>98%,48031,2020-11-04T10:43:34Z,R+47,Trump +47,47.49966,republican,Blanco,7,,,7,7019,2,7419,1905,3657,15,26,70,126,5429,10042,0,1752,11,56,4613,0
unknown,320.0,Released as a precinct as first report of the night,,306,87,87% reported,edison,87%,48033,2020-11-04T10:43:35Z,R+92,Trump +92,91.99029,republican,Borden,8,,,7,475,2,412,16,27,0,0,1,2,395,689,0,11,0,1,294,0
unknown,4229.0,Released as a precinct as first report of the night,,6535,98,98% reported,edison,98%,48035,2020-11-04T10:43:36Z,R+65,Trump +65,64.81196,republican,Bosque,12,,,11,9256,2,9094,1552,2753,13,23,83,133,7446,12720,0,1201,10,50,5274,0
all,32487.0,Released as a precinct as first report of the night,,30019,91,91% reported,edison,91%,48037,2020-11-04T10:43:37Z,R+43,Trump +43,42.83657,republican,Bowie,43,,,37,41804,4,38194,10692,19845,90,158,297,495,27053,47608,169,9153,68,198,20555,45
some,131649.0,Released as a precinct as first report of the night,,139447,100,>98% reported,edison,>98%,48039,2020-11-04T10:43:38Z,R+18,Trump +18,18.28067,republican,Brazoria,67,,,66,149605,2,154037,61780,118529,417,762,1856,3350,89939,170761,127,56749,345,1494,80822,37
all,57474.0,Released as a precinct as first report of the night,,71847,100,>98% reported,edison,>98%,48041,2020-11-04T10:43:40Z,R+14,Trump +14,14.41129,republican,Brazos,99,,,96,84753,6,84753,35242,65778,252,415,1803,3098,47456,87309,0,30536,163,1295,39853,0
all,4467.0,Released as a precinct as first report of the night,,3978,100,>98% reported,edison,>98%,48043,2020-11-04T10:43:41Z,R+4,Trump +4,4.16233,republican,Brewster,9,,,8,4805,6,4805,2251,4167,14,23,89,157,2451,4436,0,1916,9,68,1985,0
unknown,503.0,Released as a precinct as first report of the night,,452,76,76% reported,edison,76%,48045,2020-11-04T10:43:43Z,R+78,Trump +78,77.62431,republican,Briscoe,6,,,5,957,2,724,77,128,1,1,7,12,639,1035,0,51,0,5,396,0
unknown,1853.0,Released as a precinct as first report of the night,,1821,74,74% reported,edison,74%,48047,2020-11-04T10:43:44Z,D+19,Biden +19,19.00161,democrat,Brooks,6,,,4,3375,2,2484,1470,2629,6,11,10,17,998,1648,0,1159,5,7,650,0
some,14372.0,Released as a precinct as first report of the night,,12544,96,96% reported,edison,96%,48049,2020-11-04T10:43:44Z,R+73,Trump +73,72.63488,republican,Brown,19,,,17,16564,2,15940,2103,3807,24,39,132,212,13681,24426,0,1704,15,80,10745,0
unknown,5572.0,Released as a precinct as first report of the night,,6680,100,>98% reported,edison,>98%,48051,2020-11-04T10:43:45Z,R+58,Trump +58,57.57787,republican,Burleson,14,,,13,8219,2,8604,1786,3237,15,28,63,97,6740,11922,0,1451,13,34,5182,0
unknown,17630.0,Released as a precinct as first report of the night,,20840,100,>98% reported,edison,>98%,48053,2020-11-04T10:43:46Z,R+53,Trump +53,53.17699,republican,Burnet,21,,,21,23708,2,24646,5615,10547,34,59,266,469,18721,34394,27,4932,25,203,15673,7
unknown,10580.0,Released as a precinct as first report of the night,,12320,100,>98% reported,edison,>98%,48055,2020-11-04T10:43:47Z,R+10,Trump +10,9.73942,republican,Caldwell,32,,,30,14280,2,14775,6536,12086,46,77,185,326,7975,14552,87,5550,31,141,6577,21
unknown,5674.0,Released as a precinct as first report of the night,,5695,95,95% reported,edison,95%,48057,2020-11-04T10:43:49Z,R+44,Trump +44,44.49255,republican,Calhoun,26,,,23,8225,2,7853,2146,3915,6,11,61,104,5640,9518,0,1769,5,43,3878,0
unknown,4184.0,Released as a precinct as first report of the night,,5495,100,>98% reported,edison,>98%,48059,2020-11-04T10:43:50Z,R+77,Trump +77,77.2341,republican,Callahan,8,,,8,6589,2,6826,734,1357,15,25,71,114,6006,10825,0,623,10,43,4819,0
some,71585.0,Released as a precinct as first report of the night,,95867,95,95% reported,edison,95%,48061,2020-11-04T10:44:53Z,D+13,Biden +13,13.09265,democrat,Cameron,104,,,99,119703,4,113789,63732,118324,334,609,725,1299,48834,89137,451,54592,275,574,40303,123
unknown,4295.0,Released as a precinct as first report of the night,,4296,94,94% reported,edison,94%,48063,2020-11-04T10:43:52Z,R+44,Trump +44,44.17639,republican,Camp,5,,,4,5364,2,5057,1392,2539,7,12,31,55,3626,6745,3,1147,5,24,3119,1
unknown,1767.0,Released as a precinct as first report of the night,,1895,84,84% reported,edison,84%,48065,2020-11-04T10:43:53Z,R+80,Trump +80,79.77929,republican,Carson,9,,,7,3659,2,3081,289,505,3,5,36,59,2747,4396,17,216,2,23,1649,5
