absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,collinsda__total_count,green__total_count,cornynj__total_count,republican__total_count,hegarm__total_count,democrat__total_count,mckennonk__total_count,libertarian__total_count,write-ins__total_count,collinsda__absentee_count,cornynj__absentee_count,hegarm__absentee_count,mckennonk__absentee_count,write-ins__absentee_count
none,15380.0,Released as a precinct as first report of the night,,14361,95,95% reported,edison,95%,48001,2020-11-04T10:43:50Z,R+59,Cornyn +59,58.52581,republican,Anderson,23,,,20,20048,2,19007,88,155,14897,25933,3773,6862,245,413,9,67,11036,3089,168,1
unknown,4805.0,Released as a precinct as first report of the night,,4734,98,98% reported,edison,98%,48003,2020-11-04T10:43:51Z,R+74,Cornyn +74,73.91992,republican,Andrews,5,,,4,5837,2,5694,20,34,4888,8893,679,1321,107,180,0,14,4005,642,73,0
unknown,28954.0,Released as a precinct as first report of the night,,28462,97,97% reported,edison,97%,48005,2020-11-04T10:43:52Z,R+47,Cornyn +47,47.12286,republican,Angelina,43,,,38,35322,2,34357,160,278,24955,45594,8765,16126,460,795,43,118,20639,7361,335,9
unknown,10783.0,Released as a precinct as first report of the night,,10900,98,98% reported,edison,98%,48007,2020-11-04T10:43:53Z,R+53,Cornyn +53,53.23539,republican,Aransas,6,,,5,12414,2,12116,67,121,9161,17388,2711,5190,177,317,0,54,8227,2479,140,0
unknown,2737.0,Released as a precinct as first report of the night,,3581,89,89% reported,edison,89%,48009,2020-11-04T10:43:53Z,R+79,Cornyn +79,78.55631,republican,Archer,12,,,10,5288,2,4724,14,27,4178,7343,467,835,65,100,0,13,3165,368,35,0
unknown,777.0,Released as a precinct as first report of the night,,842,88,88% reported,edison,88%,48011,2020-11-04T10:43:54Z,R+87,Cornyn +87,86.88969,republican,Armstrong,8,,,7,1260,2,1106,5,9,1025,1804,64,115,12,20,0,4,779,51,8,0
unknown,10647.0,Released as a precinct as first report of the night,,14598,100,>98% reported,edison,>98%,48013,2020-11-04T10:43:56Z,R+35,Cornyn +35,35.33923,republican,Atascosa,25,,,25,17775,2,17864,142,229,11889,21623,5576,10165,257,445,0,87,9734,4589,188,0
some,9966.0,Released as a precinct as first report of the night,,11500,94,94% reported,edison,94%,48015,2020-11-04T10:43:57Z,R+60,Cornyn +60,59.88669,republican,Austin,18,,,16,15153,2,14297,57,95,11294,20341,2732,4992,211,364,8,38,9047,2260,153,2
unknown,1464.0,Released as a precinct as first report of the night,,1266,77,77% reported,edison,77%,48017,2020-11-04T10:43:59Z,R+56,Cornyn +56,55.80627,republican,Bailey,5,,,4,2361,2,1817,11,16,1396,2412,382,615,28,40,0,5,1016,233,12,0
unknown,10011.0,Released as a precinct as first report of the night,,10936,99,>98% reported,edison,>98%,48019,2020-11-04T10:43:59Z,R+61,Cornyn +61,61.1253,republican,Bandera,11,,,10,12614,2,12530,55,92,9950,18569,2291,4392,234,413,0,37,8619,2101,179,0
