absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,mchughj__total_count,pierceb__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,mchughj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
unknown,2092,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,49001,2020-11-05T22:10:39Z,R+75,Trump +75,75.3251,republican,Beaver,9,,,9,3021,2,3076,356,356,4,4,6,6,23,23,3,14,3,1,2673,2673,7,0,0,0,0,0,0,0,0,0,0,0
unknown,21942,Released as a separate subtotal as first report of the night,,14856,100,>98% reported,edison,>98%,49003,2020-11-06T23:00:39Z,R+63,Trump +63,62.93464,republican,Box Elder,53,,,53,23287,4,26027,4280,7163,128,192,52,74,579,864,16,295,31,35,20660,32021,109,411,2883,64,22,285,10,20,18,11361,56,137
all,32212,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,49005,2020-11-05T22:10:38Z,R+36,Trump +36,36.23845,republican,Cache,91,,,87,54465,4,52792,15246,15246,333,333,198,198,1627,1627,51,441,91,97,34377,34377,202,1140,0,0,0,0,0,0,0,0,0,0
unknown,7692,Released as a separate subtotal as first report of the night,,0,94,94% reported,edison,94%,49007,2020-11-04T10:44:12Z,R+45,Trump +45,44.76309,republican,Carbon,20,,,19,9383,2,8822,2306,2306,21,21,17,17,138,138,3,85,18,22,6255,6255,42,0,0,0,0,0,0,0,0,0,0,0
unknown,562,Released as a separate subtotal at the end of tabulation,,0,96,96% reported,edison,96%,49009,2020-11-04T10:44:13Z,R+62,Trump +62,62.37288,republican,Daggett,3,,,3,614,2,590,105,105,2,2,0,0,7,7,0,3,0,1,473,473,2,0,0,0,0,0,0,0,0,0,0,0
unknown,123145,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,49011,2020-11-07T00:01:39Z,R+25,Trump +25,25.46388,republican,Davis,224,,,202,163325,2,147774,51697,51697,702,702,480,480,4056,4056,101,1513,278,309,89326,89326,825,0,0,0,0,0,0,0,0,0,0,0
unknown,2795,Released with cumulative results periodically election night,,0,100,>98% reported,edison,>98%,49013,2020-11-05T22:13:39Z,R+78,Trump +78,78.04389,republican,Duchesne,34,,,34,8192,2,8476,830,830,21,21,9,9,106,106,3,31,4,6,7445,7445,18,68,0,0,0,0,0,0,0,0,0,0
unknown,2072,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,49015,2020-11-04T10:44:13Z,R+75,Trump +75,74.75083,republican,Emery,12,,,11,5250,2,4816,566,566,4,4,8,8,45,45,2,27,4,6,4166,4166,15,0,0,0,0,0,0,0,0,0,0,0
unknown,1560,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,49017,2020-11-04T10:44:13Z,R+60,Trump +60,60.10287,republican,Garfield,11,,,11,2766,2,2722,513,513,3,3,11,11,37,37,1,9,3,3,2149,2149,2,0,0,0,0,0,0,0,0,0,0,0
unknown,3890,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,49019,2020-11-04T10:44:14Z,D+11,Biden +11,11.23931,democrat,Grand,18,,,17,5349,2,5027,2733,2733,5,5,22,22,61,61,1,38,6,13,2168,2168,18,0,0,0,0,0,0,0,0,0,0,0
unknown,15125,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,49021,2020-11-06T22:01:41Z,R+57,Trump +57,56.63478,republican,Iron,41,,,41,20832,2,23731,4673,4673,84,84,73,73,626,626,20,162,23,38,18113,18113,81,0,0,0,0,0,0,0,0,0,0,0
unknown,3157,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,49023,2020-11-04T10:44:14Z,R+75,Trump +75,75.42128,republican,Juab,10,,,10,5900,4,5875,638,638,16,16,5,5,89,89,1,20,4,3,5069,5069,12,76,0,0,0,0,0,0,0,0,0,0
unknown,2752,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,49025,2020-11-04T10:44:14Z,R+46,Trump +46,45.79995,republican,Kane,12,,,11,4136,2,3869,1005,1005,15,15,7,7,47,47,0,18,2,3,2777,2777,13,0,0,0,0,0,0,0,0,0,0,0
unknown,2212,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,79,79% reported,edison,79%,49027,2020-11-04T10:44:14Z,R+76,Trump +76,76.48864,republican,Millard,17,,,13,6186,2,4887,529,529,23,23,4,4,42,42,1,22,4,7,4267,4267,10,0,0,0,0,0,0,0,0,0,0,0
unknown,4537,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,49029,2020-11-04T10:44:14Z,R+62,Trump +62,62.31212,republican,Morgan,15,,,15,6127,2,6254,1060,1060,21,21,13,13,155,155,0,48,5,10,4957,4957,33,0,0,0,0,0,0,0,0,0,0,0
unknown,682,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,49031,2020-11-04T10:44:15Z,R+79,Trump +79,78.87486,republican,Piute,5,,,5,923,2,871,86,86,1,1,0,0,7,7,1,4,0,0,773,773,3,0,0,0,0,0,0,0,0,0,0,0
unknown,670,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,49033,2020-11-04T10:44:15Z,R+71,Trump +71,71.21212,republican,Rich,5,,,5,1309,2,1320,178,178,2,2,2,2,14,14,0,6,2,1,1118,1118,3,0,0,0,0,0,0,0,0,0,0,0
unknown,375002,Released as a separate subtotal as first report of the night,,314286,86,86% reported,edison,86%,49035,2020-11-07T22:49:45Z,D+15,Biden +15,14.50739,democrat,Salt Lake,788,,,679,494264,4,429140,237188,420012,1139,1909,1530,2506,7899,12941,381,5404,518,626,174931,297470,1744,6368,182824,770,976,5042,251,333,393,122539,1158,0
unknown,3260,Merged into voters' home precincts and released with cumulative results,,0,82,82% reported,edison,82%,49037,2020-11-04T10:44:15Z,R+3,Trump +3,3.49037,republican,San Juan,23,,,19,6427,2,5243,2451,2451,16,16,10,10,68,68,3,64,18,12,2634,2634,31,0,0,0,0,0,0,0,0,0,0,0
unknown,4390,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,49039,2020-11-04T22:00:55Z,R+68,Trump +68,67.88923,republican,Sanpete,29,,,29,11994,4,12133,1724,1724,48,48,18,18,205,205,7,83,20,19,9961,9961,37,188,0,0,0,0,0,0,0,0,0,0
unknown,7135,"As a subtotal in the FIRST cumulative report, along with regular precincts",,0,95,95% reported,edison,95%,49041,2020-11-04T10:44:15Z,R+76,Trump +76,75.99425,republican,Sevier,23,,,22,10212,4,9731,1032,1032,28,28,12,12,123,123,3,44,3,11,8427,8427,27,130,0,0,0,0,0,0,0,0,0,0
