absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,carrollb__total_count,Asp__total_count,collinsp__total_count,prohibition__total_count,de_la_fuenter__total_count,Ali__total_count,duncanr__total_count,independent__total_count,hawkinsh__total_count,green__total_count,huberb__total_count,Apv__total_count,jorgensenj__total_count,libertarian__total_count,kennedya__total_count,socialist-workers__total_count,kopitkek__total_count,independent-american__total_count,la_rivag__total_count,lafontainec__total_count,mccormick__total_count,Bmp__total_count,paigeh__total_count,pierceb__total_count,scalfz__total_count,segalj__total_count,Bar__total_count,swingg__total_count,unity__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,carrollb__absentee_count,collinsp__absentee_count,de_la_fuenter__absentee_count,duncanr__absentee_count,hawkinsh__absentee_count,huberb__absentee_count,jorgensenj__absentee_count,kennedya__absentee_count,kopitkek__absentee_count,la_rivag__absentee_count,lafontainec__absentee_count,mccormick__absentee_count,paigeh__absentee_count,pierceb__absentee_count,scalfz__absentee_count,segalj__absentee_count,swingg__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
,,,,0,,,edison,,50001,2020-11-05T20:51:48Z,D+39,Biden +39,39.36629,democrat,Addison,23,,,23,,,22029,14964,14964,13,13,16,16,10,10,2,2,19,225,69,69,7,7,242,242,13,13,6,6,9,52,10,10,73,3,2,3,3,6,6,6292,6292,67,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50003,2020-11-04T10:43:59Z,D+27,Biden +27,27.01573,democrat,Bennington,18,,,17,,,20340,12591,12591,7,7,10,10,10,10,1,1,11,225,72,72,4,4,199,199,12,12,1,1,7,64,11,11,65,6,4,3,3,7,7,7096,7096,68,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50005,2020-11-04T10:43:59Z,D+15,Biden +15,15.19214,democrat,Caledonia,17,,,17,,,16186,9010,9010,16,16,11,11,7,7,4,4,19,223,66,66,2,2,167,167,4,4,5,5,8,61,5,5,79,1,3,9,9,4,4,6551,6551,52,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50007,2020-11-04T10:43:58Z,D+49,Biden +49,48.93218,democrat,Chittenden,32,,,27,,,81662,59573,59573,37,37,51,51,22,22,16,16,37,707,235,235,9,9,762,762,28,28,9,9,19,137,25,25,191,29,3,6,6,28,28,19614,19614,291,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50009,2020-11-04T10:44:00Z,R+11,Trump +11,11.19221,republican,Essex,13,,,13,,,3288,1405,1405,3,3,0,0,2,2,1,1,4,32,7,7,1,1,40,40,1,1,0,0,1,4,3,3,14,1,0,1,1,1,1,1773,1773,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50011,2020-11-04T10:43:28Z,D+9,Biden +9,8.94268,democrat,Franklin,16,,,16,,,25820,13576,13576,16,16,24,24,11,11,2,2,19,313,59,59,5,5,333,333,15,15,6,6,6,66,5,5,120,5,1,4,4,9,9,11267,11267,96,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50013,2020-11-04T10:43:37Z,D+23,Biden +23,22.51696,democrat,Grand Isle,5,,,5,,,4863,2905,2905,4,4,1,1,1,1,0,0,3,41,12,12,3,3,35,35,1,1,1,1,0,11,2,2,12,2,0,0,0,1,1,1810,1810,13,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50015,2020-11-04T10:43:59Z,D+41,Biden +41,40.64611,democrat,Lamoille,10,,,10,,,14951,10240,10240,9,9,6,6,6,6,3,3,11,182,44,44,5,5,168,168,6,6,0,0,9,43,3,3,55,3,1,1,1,7,7,4163,4163,60,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50017,2020-11-04T10:43:34Z,D+24,Biden +24,23.99275,democrat,Orange,17,,,17,,,17101,10281,10281,9,9,13,13,16,16,2,2,16,234,57,57,2,2,162,162,17,17,0,0,11,49,8,8,71,6,3,8,8,7,7,6178,6178,78,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,edison,,50019,2020-11-04T10:43:57Z,D+5,Biden +5,4.50259,democrat,Orleans,20,,,20,,,14103,7147,7147,8,8,5,5,6,6,2,2,7,148,35,35,2,2,133,133,8,8,1,1,8,45,5,5,50,3,1,4,4,6,6,6512,6512,34,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
