absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
none,1487,Released separately AFTER election night,,7557,99,>98% reported,edison,>98%,51001,2020-11-06T23:30:38Z,R+9,Trump +9,9.39914,republican,Accomack,17,,,17,17184,2,16959,7578,12330,188,249,9172,11916,42,4752,61,2744,0
unknown,6993,Released as a precinct at the end of tabulation,,43552,99,>98% reported,edison,>98%,51003,2020-11-06T21:30:31Z,D+33,Biden +33,33.36137,democrat,Albemarle,31,,,30,64182,4,64209,42132,76038,1009,1476,20711,29690,914,33906,467,8979,200
unknown,19940,Released as a precinct at the end of tabulation,,64546,90,90% reported,edison,90%,51510,2020-11-04T10:43:35Z,D+63,Biden +63,63.35095,democrat,Alexandria,31,,,28,89409,2,80425,65201,120397,973,1568,14251,23006,0,55196,595,8755,0
unknown,550,Released as a separate subtotal at the end of tabulation,,2724,100,>98% reported,edison,>98%,51005,2020-11-06T20:30:40Z,R+44,Trump +44,44.14601,republican,Alleghany,13,,,12,7854,4,8191,2243,3493,89,113,5859,7309,0,1250,24,1450,0
some,822,Released as a precinct at the end of tabulation,,4344,100,>98% reported,edison,>98%,51007,2020-11-04T10:44:08Z,R+38,Trump +38,38.02475,republican,Amelia,6,,,6,7548,4,7837,2390,4107,77,112,5370,7962,0,1717,35,2592,0
unknown,1222,"As a subtotal in the FIRST cumulative report, along with regular precincts",,8440,100,>98% reported,edison,>98%,51009,2020-11-06T22:30:31Z,R+32,Trump +32,31.63379,republican,Amherst,12,,,11,16507,2,16985,5680,9548,252,339,11053,15538,0,3868,87,4485,0
unknown,525,Released as a precinct in the middle of the night,,4607,100,>98% reported,edison,>98%,51011,2020-11-06T23:30:27Z,R+46,Trump +46,46.22356,republican,Appomattox,10,,,10,8408,4,9268,2418,3983,119,166,6702,9697,58,1565,47,2995,0
none,37665,Released as a precinct at the end of tabulation,,107030,90,90% reported,edison,90%,51013,2020-11-07T21:30:25Z,D+64,Biden +64,64.11373,democrat,Arlington,55,,,49,143200,4,129498,105344,197307,1836,3004,22318,36217,0,91963,1168,13899,0
all,2612,Released separately AFTER election night,,20900,100,>98% reported,edison,>98%,51015,2020-11-05T21:15:26Z,R+47,Trump +47,47.27672,republican,Augusta,26,,,25,38142,4,41898,10748,18585,594,842,30556,43371,0,7837,248,12815,0
unknown,202,Released as a precinct in the middle of the night,,752,100,>98% reported,edison,>98%,51017,2020-11-04T10:43:26Z,R+46,Trump +46,45.76204,republican,Bath,8,,,8,2513,6,2513,674,1030,15,18,1824,2217,0,356,3,393,0
unknown,3722,Released as a precinct at the end of tabulation,,24035,100,>98% reported,edison,>98%,51019,2020-11-04T10:43:28Z,R+49,Trump +49,48.67301,republican,Bedford,33,,,32,44630,4,48041,11986,20626,686,979,35369,50471,0,8640,293,15102,0
unknown,209,None,,1307,100,>98% reported,edison,>98%,51021,2020-11-06T20:30:40Z,R+68,Trump +68,68.23022,republican,Bland,8,,,7,3366,2,3475,532,845,40,58,2903,3879,0,313,18,976,0
unknown,1719,"As a precinct in the FIRST cumulative report, along with regular precincts",,11424,100,>98% reported,edison,>98%,51023,2020-11-05T21:15:26Z,R+45,Trump +45,44.90537,republican,Botetourt,11,,,10,19667,2,20924,5637,9805,254,364,15033,22179,0,4168,110,7146,0
unknown,770,Released as a separate subtotal as first report of the night,,4707,100,>98% reported,edison,>98%,51520,2020-11-06T19:30:30Z,R+39,Trump +39,38.88746,republican,Bristol,5,,,5,7730,4,7802,2313,4059,125,188,5347,8245,34,1746,63,2898,0
unknown,801,None,,4155,84,84% reported,edison,84%,51025,2020-11-06T04:06:21Z,D+15,Biden +15,15.03474,democrat,Brunswick,14,,,12,9479,2,7915,4533,7321,34,46,3343,4698,10,2788,12,1355,0
all,942,Released as a precinct in the middle of the night,,3087,100,>98% reported,edison,>98%,51027,2020-11-06T20:30:40Z,R+68,Trump +68,67.55752,republican,Buchanan,18,,,16,9382,6,9953,1587,2355,44,54,8311,10617,25,768,10,2306,3
all,520,Released as a precinct in the middle of the night,,4119,100,>98% reported,edison,>98%,51029,2020-11-06T20:30:42Z,R+13,Trump +13,13.23384,republican,Buckingham,11,,,10,8086,6,8108,3471,5756,93,132,4544,6339,0,2285,39,1795,0
unknown,2407,Merged into voters' home precincts and released with cumulative results,,1837,100,>98% reported,edison,>98%,51530,2020-11-06T21:30:30Z,R+37,Trump +37,36.87389,republican,Buena Vista,3,,,3,2757,6,2815,825,1462,127,199,1863,2991,0,637,72,1128,0
unknown,2042,Released separately AFTER election night,,14981,100,>98% reported,edison,>98%,51031,2020-11-06T23:30:27Z,R+44,Trump +44,44.28528,republican,Campbell,17,,,15,28898,2,29739,8041,13548,487,664,21211,30508,0,5507,177,9297,0
unknown,1350,None,,7836,100,>98% reported,edison,>98%,51033,2020-11-06T04:00:51Z,R+2,Trump +2,2.33584,republican,Caroline,13,,,12,15598,2,16097,7733,12674,255,335,8109,10924,0,4941,80,2815,0
unknown,1199,Released as a precinct at the end of tabulation,,5682,100,>98% reported,edison,>98%,51035,2020-11-06T18:45:29Z,R+63,Trump +63,62.85294,republican,Carroll,18,,,17,14655,2,15619,2842,4582,118,151,12659,16568,0,1740,33,3909,0
unknown,611,Released separately AFTER election night,,2856,89,89% reported,edison,89%,51036,2020-11-07T00:30:28Z,D+19,Biden +19,19.44132,democrat,Charles City,4,,,4,4971,2,4439,2624,4648,54,75,1761,2572,0,2024,21,811,0
