absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,gaded__total_count,republican__total_count,warnerm__total_count,democrat__total_count,gaded__absentee_count,warnerm__absentee_count
none,1487,Released separately AFTER election night,,8569,98,98% reported,edison,98%,51001,2020-11-06T23:30:26Z,R+5,Gade +5,5.49935,republican,Accomack,17,,,15,17184,2,16802,8863,11863,7939,13508,3000,5569
unknown,6993,Released as a precinct at the end of tabulation,,42507,98,98% reported,edison,98%,51003,2020-11-06T21:30:29Z,D+35,Warner +35,34.57662,democrat,Albemarle,31,,,29,64182,4,63005,20610,29941,42395,75571,9331,33176
unknown,19940,Released as a precinct at the end of tabulation,,64571,90,90% reported,edison,90%,51510,2020-11-04T10:44:10Z,D+59,Warner +59,59.14056,democrat,Alexandria,31,,,28,89409,2,80471,16440,26898,64031,118144,10458,54113
unknown,550,Released as a separate subtotal at the end of tabulation,,2662,100,>98% reported,edison,>98%,51005,2020-11-06T20:30:37Z,R+29,Gade +29,29.28204,republican,Alleghany,13,,,12,7854,4,7981,5159,6441,2822,4202,1282,1380
some,822,Released as a precinct at the end of tabulation,,4324,100,>98% reported,edison,>98%,51007,2020-11-04T10:44:06Z,R+35,Gade +35,34.78149,republican,Amelia,6,,,6,7548,4,7780,5243,7784,2537,4320,2541,1783
unknown,1222,"As a subtotal in the FIRST cumulative report, along with regular precincts",,8391,100,>98% reported,edison,>98%,51009,2020-11-06T21:30:28Z,R+26,Gade +26,25.80111,republican,Amherst,12,,,11,16507,2,16914,10639,14958,6275,10347,4319,4072
unknown,525,Released as a precinct in the middle of the night,,4487,100,>98% reported,edison,>98%,51011,2020-11-06T23:30:28Z,R+39,Gade +39,39.40533,republican,Appomattox,10,,,10,8408,4,9047,6306,9104,2741,4430,2798,1689
none,37665,Released as a precinct at the end of tabulation,,106823,90,90% reported,edison,90%,51013,2020-11-07T21:30:26Z,D+59,Warner +59,58.92485,democrat,Arlington,55,,,49,143200,4,129470,26590,43850,102880,192443,17260,89563
all,2612,Released separately AFTER election night,,20807,100,>98% reported,edison,>98%,51015,2020-11-05T21:15:35Z,R+42,Gade +42,42.02572,republican,Augusta,26,,,25,38142,4,41753,29650,42189,12103,20371,12539,8268
all,202,Released as a precinct in the middle of the night,,744,97,97% reported,edison,97%,51017,2020-11-06T20:30:38Z,R+39,Gade +39,38.81579,republican,Bath,8,,,7,2513,6,2432,1688,2055,744,1121,367,377
unknown,3722,Released as a precinct at the end of tabulation,,23920,100,>98% reported,edison,>98%,51019,2020-11-04T10:44:09Z,R+43,Gade +43,42.91686,republican,Bedford,33,,,31,44630,4,47846,34190,48876,13656,22890,14686,9234
unknown,209,None,,1268,100,>98% reported,edison,>98%,51021,2020-11-06T20:30:37Z,R+57,Gade +57,56.7248,republican,Bland,8,,,7,3366,2,3383,2651,3544,732,1107,893,375
unknown,1719,"As a precinct in the FIRST cumulative report, along with regular precincts",,11198,100,>98% reported,edison,>98%,51023,2020-11-05T21:15:35Z,R+37,Gade +37,37.34014,republican,Botetourt,11,,,10,19667,2,20565,14122,20844,6443,10919,6722,4476
unknown,770,Released as a separate subtotal as first report of the night,,4644,99,>98% reported,edison,>98%,51520,2020-11-06T19:30:27Z,R+27,Gade +27,27.41242,republican,Bristol,5,,,5,7730,4,7679,4892,7528,2787,4795,2636,2008
unknown,801,None,,4170,84,84% reported,edison,84%,51025,2020-11-06T18:45:33Z,D+19,Warner +19,19.38376,democrat,Brunswick,14,,,12,9479,2,7919,3192,4503,4727,7586,1311,2859
all,942,Released as a precinct in the middle of the night,,3023,100,>98% reported,edison,>98%,51027,2020-11-06T20:30:37Z,R+48,Gade +48,48.12834,republican,Buchanan,18,,,16,9382,6,9724,7202,9242,2522,3505,2040,983
all,520,Released as a precinct in the middle of the night,,4099,100,>98% reported,edison,>98%,51029,2020-11-06T20:30:39Z,R+9,Gade +9,9.14513,republican,Buckingham,11,,,10,8086,6,8048,4392,6138,3656,6009,1746,2353
unknown,2407,Merged into voters' home precincts and released with cumulative results,,1783,100,>98% reported,edison,>98%,51530,2020-11-06T21:30:28Z,R+26,Gade +26,25.65598,republican,Buena Vista,3,,,3,2757,6,2744,1724,2747,1020,1780,1023,760
unknown,2042,Released separately AFTER election night,,14867,100,>98% reported,edison,>98%,51031,2020-11-06T23:30:28Z,R+37,Gade +37,37.38789,republican,Campbell,17,,,15,28898,2,29547,20297,29160,9250,15254,8863,6004
unknown,1350,None,,7834,100,>98% reported,edison,>98%,51033,2020-11-06T21:30:37Z,D+0.54,Warner +0.54,0.54455,democrat,Caroline,13,,,12,15598,2,16160,8036,10792,8124,13202,2756,5078
unknown,1199,Released as a precinct at the end of tabulation,,5486,100,>98% reported,edison,>98%,51035,2020-11-06T18:45:32Z,R+53,Gade +53,52.75311,republican,Carroll,18,,,17,14655,2,15201,11610,15143,3591,5544,3533,1953
unknown,611,Released separately AFTER election night,,2835,89,89% reported,edison,89%,51036,2020-11-07T00:30:28Z,D+23,Warner +23,22.6158,democrat,Charles City,4,,,4,4971,2,4404,1704,2490,2700,4749,786,2049
all,425,None,,2927,97,97% reported,edison,97%,51037,2020-11-06T21:30:29Z,R+18,Gade +18,18.05037,republican,Charlotte,8,,,7,6324,4,6155,3633,4964,2522,4118,1331,1596
unknown,3257,Released as a precinct in the middle of the night,,17799,91,91% reported,edison,91%,51540,2020-11-07T01:30:25Z,D+72,Warner +72,71.68722,democrat,Charlottesville,10,,,9,26517,2,24081,3409,4995,20672,36885,1586,16213
none,15226,"As a precinct in the FIRST cumulative report, along with regular precincts",,88551,94,94% reported,edison,94%,51550,2020-11-06T16:45:26Z,D+8,Warner +8,7.62431,democrat,Chesapeake,64,,,60,132992,2,124667,57581,92755,67086,120463,35174,53377
unknown,17975,Released as a precinct at the end of tabulation,,139773,95,95% reported,edison,95%,51041,2020-11-04T10:44:11Z,D+13,Warner +13,13.24181,democrat,Chesterfield,81,,,77,208224,2,197254,85567,135670,111687,201357,50103,89670
unknown,1052,Released as a precinct at the end of tabulation,,5745,100,>98% reported,edison,>98%,51043,2020-11-06T20:30:45Z,R+13,Gade +13,12.54047,republican,Clarke,8,,,8,8619,2,9266,5214,7800,4052,7211,2586,3159
unknown,1209,Released as a separate subtotal at the end of tabulation,,5640,99,>98% reported,edison,>98%,51570,2020-11-06T20:30:44Z,R+30,Gade +30,29.61594,republican,Colonial Heights,6,,,5,9026,2,8931,5788,9255,3143,5316,3467,2173
unknown,181,None,,1085,100,>98% reported,edison,>98%,51580,2020-11-06T18:45:31Z,R+9,Gade +9,9.00511,republican,Covington,6,,,5,2554,4,2543,1386,1845,1157,1783,459,626
unknown,2794,Merged into voters' home precincts and released with cumulative results,,1107,100,>98% reported,edison,>98%,51045,2020-11-07T00:30:26Z,R+52,Gade +52,51.75271,republican,Craig,9,,,9,2996,2,3138,2381,3117,757,1128,736,371
unknown,2558,"As a precinct in the FIRST cumulative report, along with regular precincts",,14840,100,>98% reported,edison,>98%,51047,2020-11-06T22:30:29Z,R+17,Gade +17,16.72531,republican,Culpeper,16,,,16,23318,4,26714,15591,22290,11123,19264,6699,8141
some,345,Released as a separate subtotal in the middle of the tabulation,,2460,97,97% reported,edison,97%,51049,2020-11-06T20:30:39Z,R+12,Gade +12,11.95136,republican,Cumberland,6,,,5,5404,4,5263,2946,3965,2317,3758,1019,1441
unknown,2090,Released as a precinct in the middle of the night,,11729,80,80% reported,edison,80%,51590,2020-11-06T21:30:28Z,D+30,Warner +30,30.18621,democrat,Danville,17,,,14,23811,4,19065,6655,10461,12410,20333,3806,7923
all,793,None,,3471,98,98% reported,edison,98%,51051,2020-11-06T18:45:32Z,R+43,Gade +43,42.95246,republican,Dickenson,11,,,10,7376,4,7194,5142,7344,2052,3321,2202,1269
all,1542,None,,8185,100,>98% reported,edison,>98%,51053,2020-11-06T22:30:32Z,R+13,Gade +13,13.25123,republican,Dinwiddie,14,,,13,14555,4,14859,8414,12255,6445,10789,3841,4344
all,2367,Merged into voters' home precincts and released with cumulative results,,1027,73,73% reported,edison,73%,51595,2020-11-06T17:45:30Z,D+39,Warner +39,38.88412,democrat,Emporia,8,,,7,3177,4,2330,712,950,1618,2407,238,789
unknown,644,"As a precinct in the FIRST cumulative report, along with regular precincts",,3846,100,>98% reported,edison,>98%,51057,2020-11-06T20:30:45Z,D+5,Warner +5,4.53281,democrat,Essex,5,,,5,6082,2,6111,2917,4548,3194,5409,1631,2215
unknown,93111,Released as a precinct in the middle of the night,,0,88,88% reported,edison,88%,51059,2020-11-04T10:43:28Z,D+40,Warner +40,40.03185,democrat,Fairfax,244,,,68,650396,4,572734,171729,171729,401005,401005,0,0
