absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,kennedya__total_count,socialist-workers__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,kennedya__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,,None,,0,93,93% reported,edison,93%,53001,2020-11-07T00:56:43Z,R+37,Trump +37,36.93482,republican,Adams,31,,,29,5512,4,5109,1562,1562,15,15,71,71,4,4,8,8,3449,3449,0,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53003,2020-11-06T22:04:41Z,R+26,Trump +26,25.54233,republican,Asotin,26,,,26,11386,4,11847,4233,4233,35,35,254,254,5,5,9,9,7259,7259,104,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53005,2020-11-06T23:49:38Z,R+21,Trump +21,21.49981,republican,Benton,245,,,245,92031,4,101066,37859,37859,341,341,2629,2629,54,54,114,114,59588,59588,962,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53007,2020-11-07T00:52:38Z,R+8,Trump +8,8.15785,republican,Chelan,91,,,91,38387,4,42548,19005,19005,145,145,697,697,21,21,43,43,22476,22476,322,0,0,0,0,0,0,0
unknown,,None,,0,96,96% reported,edison,96%,53009,2020-11-07T00:56:42Z,D+6,Biden +6,5.50152,democrat,Clallam,67,,,64,45376,4,43697,22535,22535,178,178,629,629,29,29,43,43,20131,20131,304,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53011,2020-11-07T01:26:39Z,D+5,Biden +5,5.13111,democrat,Clark,314,,,314,230184,2,270039,138612,138612,1095,1095,5207,5207,138,138,231,231,124756,124756,0,0,0,0,0,0,0,0
unknown,,None,,0,92,92% reported,edison,92%,53013,2020-11-04T10:43:28Z,R+44,Trump +44,44.01335,republican,Columbia,13,,,12,2598,2,2397,644,644,4,4,46,46,3,3,1,1,1699,1699,0,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53015,2020-11-07T03:09:38Z,R+17,Trump +17,17.4853,republican,Cowlitz,78,,,78,52546,2,59164,23631,23631,236,236,1233,1233,45,45,43,43,33976,33976,0,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53017,2020-11-07T00:16:41Z,R+25,Trump +25,24.62683,republican,Douglas,47,,,47,18500,2,20567,7554,7554,55,55,315,315,11,11,13,13,12619,12619,0,0,0,0,0,0,0,0
some,,None,,0,100,>98% reported,edison,>98%,53019,2020-11-06T20:52:38Z,R+29,Trump +29,29.48004,republican,Ferry,19,,,19,4141,4,4308,1465,1465,10,10,74,74,3,3,5,5,2735,2735,32,0,0,0,0,0,0,0
some,,None,,0,100,>98% reported,edison,>98%,53021,2020-11-06T00:08:38Z,R+15,Trump +15,15.3112,republican,Franklin,105,,,105,27278,4,31330,12786,12786,106,106,663,663,22,22,31,31,17583,17583,278,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53023,2020-11-05T18:21:46Z,R+47,Trump +47,47.3613,republican,Garfield,12,,,12,1470,4,1478,362,362,2,2,42,42,1,1,1,1,1062,1062,16,0,0,0,0,0,0,0
unknown,,None,,0,78,78% reported,edison,78%,53025,2020-11-05T01:18:52Z,R+32,Trump +32,32.35973,republican,Grant,75,,,58,32598,4,25575,8386,8386,62,62,349,349,18,18,25,25,16662,16662,146,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53027,2020-11-06T23:41:40Z,R+6,Trump +6,6.37619,republican,Grays Harbor,77,,,77,32987,4,36652,16623,16623,193,193,721,721,30,30,24,24,18960,18960,202,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53029,2020-11-07T00:16:40Z,D+12,Biden +12,12.18331,democrat,Island,48,,,48,49307,2,53089,29003,29003,214,214,1261,1261,25,25,51,51,22535,22535,0,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53031,2020-11-07T00:03:39Z,D+43,Biden +43,42.60814,democrat,Jefferson,39,,,39,23317,2,23580,16578,16578,132,132,298,298,10,10,31,31,6531,6531,0,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53033,2020-11-08T01:00:43Z,D+53,Biden +53,53.25497,democrat,King,2642,,,2642,1148274,4,1188152,897770,897770,5482,5482,17674,17674,643,643,1563,1563,265020,265020,0,0,0,0,0,0,0,0
some,,None,,0,100,>98% reported,edison,>98%,53035,2020-11-07T01:11:38Z,D+18,Biden +18,18.30892,democrat,Kitsap,215,,,215,142965,4,155853,89373,89373,702,702,4702,4702,101,101,137,137,60838,60838,0,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53037,2020-11-07T03:30:41Z,R+11,Trump +11,10.84483,republican,Kittitas,62,,,62,21798,4,25579,11004,11004,95,95,512,512,9,9,19,19,13778,13778,324,0,0,0,0,0,0,0
all,,None,,0,94,94% reported,edison,94%,53039,2020-11-06T01:05:39Z,R+8,Trump +8,8.49324,republican,Klickitat,29,,,27,12384,4,11621,5216,5216,42,42,144,144,10,10,6,6,6203,6203,0,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53041,2020-11-05T01:48:58Z,R+33,Trump +33,32.98983,republican,Lewis,95,,,95,42800,4,44735,14316,14316,167,167,896,896,20,20,42,42,29074,29074,440,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53043,2020-11-05T21:22:39Z,R+49,Trump +49,48.99165,republican,Lincoln,46,,,46,6753,4,6942,1694,1694,15,15,108,108,1,1,3,3,5095,5095,52,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53045,2020-11-05T01:02:54Z,R+4,Trump +4,3.67221,republican,Mason,43,,,43,32470,4,36572,16999,16999,169,169,853,853,25,25,44,44,18342,18342,280,0,0,0,0,0,0,0
unknown,,None,,0,86,86% reported,edison,86%,53047,2020-11-07T00:25:38Z,R+10,Trump +10,10.37386,republican,Okanogan,248,,,214,19655,2,16985,7469,7469,55,55,203,203,15,15,12,12,9231,9231,0,0,0,0,0,0,0,0
some,,None,,0,100,>98% reported,edison,>98%,53049,2020-11-07T00:25:38Z,R+1.1,Trump +1.1,1.09914,republican,Pacific,39,,,39,12323,4,14011,6776,6776,46,46,198,198,10,10,13,13,6930,6930,76,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53051,2020-11-04T20:30:57Z,R+37,Trump +37,36.53526,republican,Pend Oreille,27,,,27,8400,2,8422,2578,2578,31,31,144,144,5,5,9,9,5655,5655,0,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53053,2020-11-06T23:41:39Z,D+11,Biden +11,11.25593,democrat,Pierce,555,,,555,395000,4,453965,244893,244893,2054,2054,10126,10126,298,298,514,514,193795,193795,4570,0,0,0,0,0,0,0
some,,None,,0,100,>98% reported,edison,>98%,53055,2020-11-06T23:46:39Z,D+51,Biden +51,50.95168,democrat,San Juan,19,,,19,12390,4,12977,9606,9606,69,69,202,202,9,9,16,16,2994,2994,162,0,0,0,0,0,0,0
some,,None,,0,88,88% reported,edison,88%,53057,2020-11-08T01:01:40Z,D+10,Biden +10,10.30592,democrat,Skagit,121,,,106,64363,4,56812,30717,30717,200,200,946,946,34,34,53,53,24862,24862,0,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53059,2020-11-05T21:34:39Z,R+10,Trump +10,9.80052,republican,Skamania,23,,,23,6115,6,6918,3016,3016,25,25,141,141,4,4,4,4,3694,3694,68,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53061,2020-11-07T01:11:38Z,D+21,Biden +21,20.67038,democrat,Snohomish,784,,,784,393499,4,428889,251625,251625,1930,1930,9397,9397,241,241,469,469,162972,162972,4510,0,0,0,0,0,0,0
all,,None,,0,100,>98% reported,edison,>98%,53063,2020-11-07T00:46:38Z,R+4,Trump +4,4.43671,republican,Spokane,362,,,362,261333,4,291049,133892,133892,1269,1269,6987,6987,194,194,301,301,146805,146805,3202,0,0,0,0,0,0,0
some,,None,,0,83,83% reported,edison,83%,53065,2020-11-06T20:24:38Z,R+37,Trump +37,37.08355,republican,Stevens,58,,,47,26079,4,21581,6563,6563,48,48,321,321,11,11,14,14,14566,14566,116,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53067,2020-11-08T00:00:40Z,D+20,Biden +20,20.14154,democrat,Thurston,284,,,284,148822,4,156135,91245,91245,861,861,3266,3266,97,97,240,240,59797,59797,1258,0,0,0,0,0,0,0
unknown,,None,,0,100,>98% reported,edison,>98%,53069,2020-11-05T21:55:38Z,R+19,Trump +19,19.14023,republican,Wahkiakum,11,,,11,2712,4,2931,1150,1150,18,18,43,43,2,2,0,0,1711,1711,14,0,0,0,0,0,0,0
some,,None,,0,80,80% reported,edison,80%,53071,2020-11-07T02:20:40Z,R+6,Trump +6,5.83002,republican,Walla Walla,63,,,50,29232,4,23379,10705,10705,69,69,427,427,9,9,22,22,12068,12068,158,0,0,0,0,0,0,0
some,,None,,0,100,>98% reported,edison,>98%,53073,2020-11-07T00:34:40Z,D+24,Biden +24,23.91266,democrat,Whatcom,181,,,181,126124,4,137032,82809,82809,710,710,2431,2431,87,87,201,201,50041,50041,1506,0,0,0,0,0,0,0
unknown,,None,,0,83,83% reported,edison,83%,53075,2020-11-06T03:57:38Z,D+9,Biden +9,9.30163,democrat,Whitman,69,,,57,19901,4,16653,8794,8794,95,95,400,400,10,10,13,13,7245,7245,192,0,0,0,0,0,0,0
unknown,,None,,0,87,87% reported,edison,87%,53077,2020-11-08T01:20:46Z,R+10,Trump +10,9.57095,republican,Yakima,173,,,150,89413,4,77777,34382,34382,236,236,1031,1031,59,59,96,96,41826,41826,294,0,0,0,0,0,0,0
