absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,2032,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54001,2020-11-04T10:43:28Z,R+55,Trump +55,55.11004,republican,Barbour,13,,,13,6659,2,6634,1438,1438,23,23,79,79,5094,5094,0,0,0,0,0,0
unknown,15549,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54003,2020-11-04T15:19:53Z,R+33,Trump +33,32.52961,republican,Berkeley,66,,,66,49100,2,49146,16075,16075,168,168,841,841,32062,32062,0,0,0,0,0,0
all,2061,Other,,0,100,>98% reported,edison,>98%,54005,2020-11-04T10:43:28Z,R+53,Trump +53,52.83313,republican,Boone,26,,,24,8983,6,8983,2029,2029,32,32,121,121,6775,6775,52,0,0,0,0,0
unknown,2472,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54007,2020-11-04T10:43:28Z,R+47,Trump +47,47.11504,republican,Braxton,18,,,18,5599,2,5650,1453,1453,23,23,59,59,4115,4115,0,0,0,0,0,0
some,3091,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54009,2020-11-04T10:43:28Z,R+43,Trump +43,43.08155,republican,Brooke,22,,,22,10631,6,10631,2936,2936,26,26,137,137,7516,7516,32,0,0,0,0,0
unknown,13914,None,,0,100,>98% reported,edison,>98%,54011,2020-11-04T10:43:29Z,R+18,Trump +18,18.22802,republican,Cabell,71,,,71,36900,2,36795,14733,14733,115,115,507,507,21440,21440,0,0,0,0,0,0
unknown,965,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54013,2020-11-04T10:43:29Z,R+60,Trump +60,60.48168,republican,Calhoun,10,,,10,2879,2,2948,563,563,10,10,29,29,2346,2346,0,0,0,0,0,0
unknown,1368,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54015,2020-11-04T10:43:29Z,R+60,Trump +60,60.40048,republican,Clay,11,,,11,3313,2,3346,640,640,8,8,37,37,2661,2661,0,0,0,0,0,0
unknown,1440,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,54017,2020-11-04T10:43:30Z,R+70,Trump +70,70.38123,republican,Doddridge,12,,,12,3124,2,3069,432,432,16,16,29,29,2592,2592,0,0,0,0,0,0
all,4426,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54019,2020-11-04T10:43:31Z,R+39,Trump +39,38.60307,republican,Fayette,37,,,37,16794,6,16794,5031,5031,60,60,157,157,11514,11514,64,0,0,0,0,0
unknown,1074,Other,,0,94,94% reported,edison,94%,54021,2020-11-04T10:43:31Z,R+53,Trump +53,53.27776,republican,Gilmer,10,,,9,2797,2,2639,591,591,12,12,39,39,1997,1997,0,0,0,0,0,0
unknown,2250,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54023,2020-11-04T10:43:32Z,R+77,Trump +77,77.42405,republican,Grant,15,,,15,5452,2,5497,605,605,11,11,20,20,4861,4861,0,0,0,0,0,0
all,5698,Other,,0,100,>98% reported,edison,>98%,54025,2020-11-04T10:43:33Z,R+40,Trump +40,39.53371,republican,Greenbrier,29,,,29,15374,4,15827,4641,4641,59,59,209,209,10898,10898,40,0,0,0,0,0
all,2597,None,,0,100,>98% reported,edison,>98%,54027,2020-11-04T10:43:34Z,R+60,Trump +60,59.86629,republican,Hampshire,24,,,24,9872,6,9872,1919,1919,21,21,89,89,7829,7829,28,0,0,0,0,0
all,3621,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,54029,2020-11-04T10:43:35Z,R+44,Trump +44,44.16802,republican,Hancock,24,,,23,13882,4,13546,3670,3670,42,42,150,150,9653,9653,62,0,0,0,0,0
unknown,1837,Other,,0,100,>98% reported,edison,>98%,54031,2020-11-04T10:43:35Z,R+55,Trump +55,54.97057,republican,Hardy,14,,,14,6207,2,6287,1371,1371,19,19,70,70,4827,4827,0,0,0,0,0,0
all,6885,Other,,0,99,>98% reported,edison,>98%,54033,2020-11-04T10:43:35Z,R+38,Trump +38,37.63621,republican,Harrison,67,,,66,30559,4,30375,9149,9149,104,104,458,458,20581,20581,166,0,0,0,0,0
