absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,capitos__total_count,republican__total_count,morand__total_count,libertarian__total_count,swearenginp__total_count,democrat__total_count,capitos__absentee_count,morand__absentee_count,swearenginp__absentee_count
unknown,2032,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,54001,2020-11-04T10:43:57Z,R+57,Capito +57,57.09506,republican,Barbour,13,,,13,6659,2,6575,5069,5069,191,191,1315,1315,0,0,0
unknown,15549,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,54003,2020-11-04T15:19:52Z,R+38,Capito +38,38.39345,republican,Berkeley,66,,,66,49100,2,48464,32841,32841,1389,1389,14234,14234,0,0,0
unknown,2061,Other,,0,98,98% reported,edison,98%,54005,2020-11-04T10:43:59Z,R+52,Capito +52,52.46739,republican,Boone,26,,,24,8983,6,8815,6633,6633,174,174,2008,2008,0,0,0
unknown,2472,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,54007,2020-11-04T10:43:59Z,R+47,Capito +47,47.17902,republican,Braxton,18,,,18,5599,2,5530,3998,3998,143,143,1389,1389,0,0,0
some,3091,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,54009,2020-11-04T10:43:59Z,R+45,Capito +45,45.00291,republican,Brooke,22,,,21,10631,6,10326,7332,7332,309,309,2685,2685,0,0,0
unknown,13914,None,,0,98,98% reported,edison,98%,54011,2020-11-04T10:43:59Z,R+27,Capito +27,27.19684,republican,Cabell,71,,,71,36900,2,36177,22586,22586,844,844,12747,12747,0,0,0
unknown,965,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54013,2020-11-04T10:44:00Z,R+60,Capito +60,60.38394,republican,Calhoun,10,,,10,2879,2,2865,2260,2260,75,75,530,530,0,0,0
unknown,1368,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54015,2020-11-04T10:44:00Z,R+63,Capito +63,63.01659,republican,Clay,11,,,11,3313,2,3315,2663,2663,78,78,574,574,0,0,0
unknown,1440,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,54017,2020-11-04T10:44:00Z,R+69,Capito +69,69.06114,republican,Doddridge,12,,,11,3124,2,2993,2480,2480,100,100,413,413,0,0,0
all,4426,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,54019,2020-11-04T10:44:01Z,R+38,Capito +38,37.80547,republican,Fayette,37,,,36,16794,6,16368,11097,11097,362,362,4909,4909,0,0,0
unknown,1074,Other,,0,92,92% reported,edison,92%,54021,2020-11-04T10:44:01Z,R+52,Capito +52,52.39207,republican,Gilmer,10,,,9,2797,2,2571,1925,1925,68,68,578,578,0,0,0
unknown,2250,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,54023,2020-11-04T10:44:01Z,R+77,Capito +77,76.70944,republican,Grant,15,,,14,5452,2,5221,4537,4537,152,152,532,532,0,0,0
all,5698,Other,,0,100,>98% reported,edison,>98%,54025,2020-11-04T10:44:01Z,R+43,Capito +43,43.19553,republican,Greenbrier,29,,,29,15374,4,15578,11014,11014,279,279,4285,4285,0,0,0
all,2597,None,,0,97,97% reported,edison,97%,54027,2020-11-04T10:44:01Z,R+61,Capito +61,60.88272,republican,Hampshire,24,,,24,9872,6,9584,7577,7577,265,265,1742,1742,0,0,0
all,3621,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,54029,2020-11-04T10:44:02Z,R+46,Capito +46,46.23566,republican,Hancock,24,,,23,13882,4,13163,9448,9448,353,353,3362,3362,0,0,0
unknown,1837,Other,,0,100,>98% reported,edison,>98%,54031,2020-11-04T10:43:26Z,R+59,Capito +59,58.96112,republican,Hardy,14,,,14,6207,2,6199,4845,4845,164,164,1190,1190,0,0,0
all,6885,Other,,0,98,98% reported,edison,98%,54033,2020-11-04T10:43:26Z,R+45,Capito +45,44.71744,republican,Harrison,67,,,65,30559,4,29834,21092,21092,991,991,7751,7751,0,0,0
unknown,6758,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,54035,2020-11-04T10:43:26Z,R+56,Capito +56,56.45551,republican,Jackson,31,,,31,13320,2,13260,10232,10232,282,282,2746,2746,0,0,0
some,10602,Released as a separate subtotal as first report of the night,,0,98,98% reported,edison,98%,54037,2020-11-04T10:43:27Z,R+17,Capito +17,17.21382,republican,Jefferson,32,,,32,27300,4,26775,15382,15382,620,620,10773,10773,0,0,0
all,23987,Merged into voters' home precincts and released with cumulative results,,41805,97,97% reported,edison,97%,54039,2020-11-04T10:43:27Z,R+28,Capito +28,27.56908,republican,Kanawha,169,,,164,83259,4,80554,50609,73339,1544,2119,28401,46901,22730,575,18500
unknown,2592,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,54041,2020-11-04T10:43:27Z,R+58,Capito +58,58.16036,republican,Lewis,24,,,23,7621,2,7371,5711,5711,236,236,1424,1424,0,0,0
unknown,2981,Other,,0,97,97% reported,edison,97%,54043,2020-11-04T10:43:28Z,R+54,Capito +54,53.86039,republican,Lincoln,16,,,16,7773,2,7564,5727,5727,184,184,1653,1653,0,0,0
unknown,3142,None,,0,90,90% reported,edison,90%,54045,2020-11-04T10:43:28Z,R+61,Capito +61,61.23431,republican,Logan,36,,,32,13595,2,12266,9774,9774,229,229,2263,2263,0,0,0
all,7667,Merged into voters' home precincts and released with cumulative results,,14679,100,>98% reported,edison,>98%,54049,2020-11-04T10:43:28Z,R+36,Capito +36,36.03049,republican,Marion,70,,,70,25170,4,25187,16645,25725,972,1389,7570,12752,9080,417,5182
unknown,4835,None,,0,93,93% reported,edison,93%,54051,2020-11-04T10:43:29Z,R+56,Capito +56,56.13303,republican,Marshall,37,,,34,14445,2,13411,10349,10349,241,241,2821,2821,0,0,0
all,4762,Released as a separate subtotal as first report of the night,,0,98,98% reported,edison,98%,54053,2020-11-04T10:43:29Z,R+55,Capito +55,54.91535,republican,Mason,30,,,29,11205,4,10986,8352,8352,315,315,2319,2319,0,0,0
unknown,1014,None,,0,88,88% reported,edison,88%,54047,2020-11-04T10:43:28Z,R+53,Capito +53,52.89008,republican,McDowell,37,,,32,6823,2,5986,4519,4519,114,114,1353,1353,0,0,0
all,10426,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,54055,2020-11-04T10:43:29Z,R+55,Capito +55,55.10831,republican,Mercer,47,,,45,25103,6,24421,18694,18694,491,491,5236,5236,0,0,0
