absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,carrollb__total_count,Asp__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,carrollb__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
unknown,2010,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55001,2020-11-04T12:19:11Z,R+26,Trump +26,25.68598,republican,Adams,20,,,20,11808,6,11808,4329,4329,27,27,4,4,84,84,7362,7362,4,0,0,0,0,0,0
unknown,1553,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55003,2020-11-04T10:43:38Z,D+11,Biden +11,10.85316,democrat,Ashland,17,,,17,8744,6,8744,4794,4794,11,11,11,11,67,67,3845,3845,32,0,0,0,0,0,0
unknown,4648,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55005,2020-11-05T17:37:17Z,R+26,Trump +26,26.07615,republican,Barron,36,,,36,25333,6,25345,9194,9194,37,37,20,20,262,262,15803,15803,58,0,0,0,0,0,0
unknown,2054,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55007,2020-11-04T17:26:39Z,D+14,Biden +14,14.12954,democrat,Bayfield,29,,,29,10885,6,10885,6155,6155,11,11,13,13,80,80,4617,4617,18,0,0,0,0,0,0
unknown,55945,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55009,2020-11-04T12:04:36Z,R+7,Trump +7,7.19112,republican,Brown,95,,,95,144011,6,144011,65509,65509,215,215,205,205,1829,1829,75865,75865,776,0,0,0,0,0,0
unknown,1338,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55011,2020-11-04T12:24:43Z,R+25,Trump +25,25.28485,republican,Buffalo,23,,,23,7811,6,7811,2859,2859,20,20,10,10,75,75,4834,4834,26,0,0,0,0,0,0
all,1150,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55013,2020-11-04T10:43:42Z,R+29,Trump +29,28.5179,republican,Burnett,24,,,24,10141,6,10141,3569,3569,13,13,9,9,86,86,6461,6461,6,0,0,0,0,0,0
unknown,10174,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55015,2020-11-04T17:46:56Z,R+20,Trump +20,19.5314,republican,Calumet,36,,,36,30858,6,30858,12115,12115,102,102,75,75,363,363,18142,18142,122,0,0,0,0,0,0
some,5366,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55017,2020-11-04T10:43:43Z,R+20,Trump +20,20.35054,republican,Chippewa,47,,,47,35945,6,35945,14001,14001,60,60,44,44,487,487,21316,21316,74,0,0,0,0,0,0
unknown,1937,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55019,2020-11-04T17:26:45Z,R+37,Trump +37,36.85201,republican,Clark,51,,,51,14873,6,14873,4520,4520,31,31,147,147,167,167,10001,10001,14,0,0,0,0,0,0
unknown,8394,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55021,2020-11-04T17:26:51Z,R+1.5,Trump +1.5,1.52431,republican,Columbia,40,,,40,33917,6,33917,16408,16408,61,61,32,32,421,421,16925,16925,140,0,0,0,0,0,0
unknown,1396,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55023,2020-11-04T11:24:13Z,R+8,Trump +8,7.66843,republican,Crawford,27,,,27,8698,6,8698,3953,3953,18,18,12,12,92,92,4620,4620,6,0,0,0,0,0,0
all,123182,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55025,2020-11-04T10:43:44Z,D+53,Biden +53,52.60932,democrat,Dane,240,,,240,344745,6,344745,260157,260157,404,404,583,583,3666,3666,78789,78789,2292,0,0,0,0,0,0
unknown,10082,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55027,2020-11-04T10:43:45Z,R+31,Trump +31,30.92769,republican,Dodge,61,,,61,48497,6,48497,16355,16355,90,90,81,81,535,535,31354,31354,164,0,0,0,0,0,0
unknown,6534,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55029,2020-11-04T17:27:07Z,D+1.5,Biden +1.5,1.45151,democrat,Door,21,,,21,20117,6,20117,10044,10044,27,27,22,22,231,231,9752,9752,82,0,0,0,0,0,0
unknown,4935,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55031,2020-11-04T17:29:13Z,D+9,Biden +9,9.30355,democrat,Douglas,26,,,26,24668,6,24668,13214,13214,42,42,41,41,379,379,10919,10919,146,0,0,0,0,0,0
unknown,3873,Other,,0,100,>98% reported,edison,>98%,55033,2020-11-04T10:43:46Z,R+14,Trump +14,13.87674,republican,Dunn,36,,,36,23543,6,23543,9909,9909,44,44,28,28,369,369,13176,13176,34,0,0,0,0,0,0
all,18289,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55035,2020-11-04T11:27:55Z,D+11,Biden +11,10.78046,democrat,Eau Claire,95,,,95,58235,6,58235,31617,31617,97,97,91,91,925,925,25339,25339,332,0,0,0,0,0,0
unknown,602,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,55037,2020-11-04T10:43:46Z,R+46,Trump +46,46.00204,republican,Florence,8,,,8,2939,6,2939,781,781,4,4,0,0,21,21,2133,2133,0,0,0,0,0,0,0
unknown,16866,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55039,2020-11-04T10:43:46Z,R+26,Trump +26,26.45756,republican,Fond du Lac,68,,,68,57322,6,57322,20588,20588,91,91,75,75,685,685,35754,35754,258,0,0,0,0,0,0
unknown,878,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,55041,2020-11-04T10:43:47Z,R+31,Trump +31,30.97783,republican,Forest,15,,,15,5052,6,5052,1722,1722,6,6,2,2,33,33,3287,3287,4,0,0,0,0,0,0
all,5001,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55043,2020-11-04T10:43:49Z,R+12,Trump +12,11.97447,republican,Grant,52,,,52,25379,6,25379,10942,10942,34,34,34,34,342,342,13981,13981,92,0,0,0,0,0,0
unknown,4597,None,,0,100,>98% reported,edison,>98%,55045,2020-11-04T17:27:21Z,D+3,Biden +3,3.20093,democrat,Green,24,,,24,21400,6,21400,10850,10850,38,38,27,27,271,271,10165,10165,98,0,0,0,0,0,0
all,1960,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55047,2020-11-04T11:27:23Z,R+36,Trump +36,35.83419,republican,Green Lake,16,,,16,10663,6,10663,3344,3344,15,15,11,11,109,109,7165,7165,38,0,0,0,0,0,0
unknown,2770,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55049,2020-11-04T17:27:53Z,D+14,Biden +14,13.73713,democrat,Iowa,29,,,29,13984,6,13984,7828,7828,25,25,40,40,161,161,5907,5907,46,0,0,0,0,0,0
unknown,1020,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55051,2020-11-04T17:28:12Z,R+22,Trump +22,22.47581,republican,Iron,19,,,19,4031,6,4031,1533,1533,6,6,1,1,52,52,2439,2439,0,0,0,0,0,0,0
unknown,1378,None,,0,100,>98% reported,edison,>98%,55053,2020-11-04T11:30:02Z,R+15,Trump +15,15.05841,republican,Jackson,31,,,31,10187,6,10187,4255,4255,17,17,6,6,112,112,5789,5789,16,0,0,0,0,0,0
unknown,12689,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55055,2020-11-04T18:27:00Z,R+15,Trump +15,15.22922,republican,Jefferson,35,,,35,48032,6,47967,19904,19904,69,69,44,44,634,634,27209,27209,214,0,0,0,0,0,0
unknown,1959,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,55057,2020-11-04T12:28:01Z,R+29,Trump +29,29.20741,republican,Juneau,28,,,28,13702,6,13702,4747,4747,25,25,20,20,142,142,8749,8749,38,0,0,0,0,0,0
some,41542,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55059,2020-11-04T12:16:32Z,R+3,Trump +3,3.13561,republican,Kenosha,126,,,126,88691,6,88691,42191,42191,147,147,120,120,1037,1037,44972,44972,448,0,0,0,0,0,0
all,1563,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55061,2020-11-04T10:43:53Z,R+33,Trump +33,32.72306,republican,Kewaunee,14,,,14,12071,6,12071,3977,3977,26,26,11,11,125,125,7927,7927,10,0,0,0,0,0,0
unknown,24362,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55063,2020-11-06T20:16:36Z,D+14,Biden +14,13.50077,democrat,La Crosse,55,,,55,67798,6,67848,37843,37843,135,135,121,121,877,877,28683,28683,378,0,0,0,0,0,0
unknown,1104,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55065,2020-11-04T17:30:48Z,R+14,Trump +14,13.70808,republican,Lafayette,28,,,28,8557,6,8557,3647,3647,15,15,9,9,56,56,4820,4820,20,0,0,0,0,0,0
unknown,2079,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55067,2020-11-04T17:29:29Z,R+33,Trump +33,32.50291,republican,Langlade,27,,,27,11159,6,11159,3703,3703,20,20,14,14,89,89,7330,7330,6,0,0,0,0,0,0
unknown,2972,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55069,2020-11-04T17:29:18Z,R+23,Trump +23,22.727,republican,Lincoln,27,,,27,16531,6,16531,6260,6260,31,31,24,24,175,175,10017,10017,48,0,0,0,0,0,0
unknown,11915,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55071,2020-11-06T23:02:13Z,R+23,Trump +23,23.21014,republican,Manitowoc,43,,,43,44806,6,44808,16817,16817,75,75,87,87,553,553,27217,27217,118,0,0,0,0,0,0
all,23595,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55073,2020-11-04T10:43:55Z,R+18,Trump +18,18.00341,republican,Marathon,109,,,109,76741,6,76741,30807,30807,151,151,93,93,929,929,44623,44623,276,0,0,0,0,0,0
unknown,3737,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55075,2020-11-04T17:32:08Z,R+35,Trump +35,34.5563,republican,Marinette,28,,,28,22977,6,22977,7363,7363,32,32,32,32,229,229,15303,15303,36,0,0,0,0,0,0
unknown,1312,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55077,2020-11-04T12:23:12Z,R+27,Trump +27,27.37307,republican,Marquette,19,,,19,9060,6,9060,3239,3239,10,10,4,4,78,78,5719,5719,20,0,0,0,0,0,0
unknown,257,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55078,2020-11-04T10:43:58Z,D+65,Biden +65,64.62799,democrat,Menominee,2,,,2,1586,6,1586,1303,1303,2,2,0,0,3,3,278,278,0,0,0,0,0,0,0
unknown,182432,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55079,2020-11-04T17:29:24Z,D+40,Biden +40,39.85227,democrat,Milwaukee,478,,,478,458935,6,458935,317251,317251,623,623,750,750,4339,4339,134355,134355,3234,0,0,0,0,0,0
unknown,5014,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55081,2020-11-04T12:19:26Z,R+24,Trump +24,23.67931,republican,Monroe,44,,,44,22564,6,22564,8432,8432,66,66,30,30,257,257,13775,13775,8,0,0,0,0,0,0
unknown,4978,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55083,2020-11-04T17:47:24Z,R+41,Trump +41,40.97097,republican,Oconto,29,,,29,23214,6,23214,6715,6715,40,40,20,20,210,210,16226,16226,6,0,0,0,0,0,0
unknown,3561,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55085,2020-11-04T17:28:42Z,R+15,Trump +15,14.76054,republican,Oneida,29,,,29,24159,6,24159,10105,10105,43,43,17,17,283,283,13671,13671,80,0,0,0,0,0,0
unknown,38925,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55087,2020-11-04T10:44:00Z,R+10,Trump +10,9.90547,republican,Outagamie,101,,,101,108223,6,108223,47659,47659,172,172,177,177,1569,1569,58379,58379,534,0,0,0,0,0,0
unknown,30423,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55089,2020-11-04T19:14:48Z,R+12,Trump +12,12.03684,republican,Ozaukee,51,,,51,61453,6,61453,26515,26515,82,82,89,89,646,646,33912,33912,418,0,0,0,0,0,0
unknown,566,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55091,2020-11-04T17:30:17Z,R+26,Trump +26,26.44928,republican,Pepin,11,,,11,4140,6,4140,1489,1489,13,13,4,4,48,48,2584,2584,4,0,0,0,0,0,0
unknown,3021,None,,0,100,>98% reported,edison,>98%,55093,2020-11-04T19:13:21Z,R+13,Trump +13,12.95852,republican,Pierce,28,,,28,22973,6,23336,9789,9789,57,57,218,218,383,383,12813,12813,152,0,0,0,0,0,0
unknown,3181,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55095,2020-11-04T10:44:01Z,R+27,Trump +27,27.45955,republican,Polk,36,,,36,26326,6,26326,9361,9361,50,50,35,35,281,281,16590,16590,18,0,0,0,0,0,0
unknown,14091,None,,0,100,>98% reported,edison,>98%,55097,2020-11-04T10:44:01Z,D+3,Biden +3,2.77826,democrat,Portage,47,,,47,40601,6,40601,20426,20426,67,67,76,76,643,643,19298,19298,182,0,0,0,0,0,0
all,1569,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55099,2020-11-04T12:25:22Z,R+26,Trump +26,26.16541,republican,Price,23,,,23,8645,6,8645,3132,3132,13,13,5,5,98,98,5394,5394,6,0,0,0,0,0,0
unknown,50558,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55101,2020-11-04T10:44:01Z,R+4,Trump +4,4.05953,republican,Racine,64,,,64,106441,6,106441,50154,50154,169,169,150,150,1200,1200,54475,54475,586,0,0,0,0,0,0
all,1485,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55103,2020-11-05T15:52:12Z,R+10,Trump +10,9.78261,republican,Richland,34,,,34,8745,6,9016,3995,3995,25,25,14,14,94,94,4877,4877,22,0,0,0,0,0,0
unknown,26755,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55105,2020-11-04T17:28:32Z,D+11,Biden +11,11.14965,democrat,Rock,100,,,100,85348,6,85348,46649,46649,152,152,122,122,1094,1094,37133,37133,396,0,0,0,0,0,0
unknown,1175,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,55107,2020-11-04T11:30:59Z,R+35,Trump +35,34.76716,republican,Rusk,33,,,33,7881,6,7881,2517,2517,12,12,8,8,85,85,5257,5257,4,0,0,0,0,0,0
unknown,9943,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55111,2020-11-04T17:28:18Z,D+1.7,Biden +1.7,1.69384,democrat,Sauk,41,,,41,36249,6,36249,18103,18103,50,50,89,89,441,441,17489,17489,154,0,0,0,0,0,0
unknown,2219,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,55113,2020-11-04T17:28:24Z,R+13,Trump +13,13.25508,republican,Sawyer,21,,,21,10479,6,10479,4494,4494,17,17,9,9,60,60,5883,5883,32,0,0,0,0,0,0
