absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,7554,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,56001,2020-11-04T10:43:35Z,D+3,Biden +3,2.7724,democrat,Albany,14,,,14,18255,6,18612,9091,9091,595,595,178,178,8575,8575,346,0,0,0,0,0
some,1650,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,56003,2020-11-04T10:43:35Z,R+70,Trump +70,69.85396,republican,Big Horn,13,,,13,5955,2,5752,788,788,74,74,46,46,4806,4806,76,0,0,0,0,0
all,8522,Merged into voters' home precincts and released with cumulative results,,19564,100,>98% reported,edison,>98%,56005,2020-11-04T10:43:36Z,R+77,Trump +77,76.86567,republican,Campbell,37,,,15,19564,6,19564,1935,3870,434,868,120,240,16973,33946,306,1935,434,120,16973,102
some,2373,Merged into voters' home precincts and released with cumulative results,,2865,92,92% reported,edison,92%,56007,2020-11-04T10:43:37Z,R+54,Trump +54,53.81267,republican,Carbon,19,,,18,7233,2,6662,1427,2397,142,185,49,72,5012,6829,76,970,43,23,1817,12
some,2742,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,56009,2020-11-04T10:43:37Z,R+73,Trump +73,72.53551,republican,Converse,19,,,18,7452,2,6969,861,861,121,121,43,43,5916,5916,56,0,0,0,0,0
some,1090,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,56011,2020-11-04T10:43:38Z,R+79,Trump +79,79.46103,republican,Crook,17,,,16,4285,2,4119,378,378,57,57,19,19,3651,3651,28,0,0,0,0,0
unknown,5466,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,56013,2020-11-04T10:43:38Z,R+36,Trump +36,35.82353,republican,Fremont,33,,,31,19066,2,18111,5519,5519,321,321,157,157,12007,12007,214,0,0,0,0,0
unknown,1994,Merged into voters' home precincts and released with cumulative results,,0,96,96% reported,edison,96%,56015,2020-11-04T10:43:39Z,R+59,Trump +59,58.88479,republican,Goshen,25,,,24,6492,2,6241,1203,1203,86,86,43,43,4878,4878,62,0,0,0,0,0
unknown,862,Merged into voters' home precincts and released with cumulative results,,0,89,89% reported,edison,89%,56017,2020-11-04T10:43:40Z,R+59,Trump +59,58.8669,republican,Hot Springs,4,,,4,2896,2,2577,482,482,61,61,24,24,1999,1999,22,0,0,0,0,0
some,1765,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,56019,2020-11-04T10:43:42Z,R+61,Trump +61,60.72446,republican,Johnson,16,,,16,4947,2,4914,897,897,86,86,27,27,3881,3881,46,0,0,0,0,0
