absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,ben_davidm__total_count,democrat__total_count,lummisc__total_count,republican__total_count,ben_davidm__absentee_count,lummisc__absentee_count
all,7554,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,56001,2020-11-04T10:43:49Z,R+0.98,Lummis +0.98,0.98055,republican,Albany,14,,,13,18255,6,18255,9038,9038,9217,9217,0,0
some,1650,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,56003,2020-11-04T10:43:50Z,R+73,Lummis +73,73.20574,republican,Big Horn,13,,,12,5955,2,5643,756,756,4887,4887,0,0
all,8522,Merged into voters' home precincts and released with cumulative results,,18896,97,97% reported,edison,97%,56005,2020-11-04T10:43:50Z,R+79,Lummis +79,79.48772,republican,Campbell,37,,,14,19564,6,18896,1938,3876,16958,33916,1938,16958
some,2373,Merged into voters' home precincts and released with cumulative results,,2814,90,90% reported,edison,90%,56007,2020-11-04T10:43:51Z,R+56,Lummis +56,55.86524,republican,Carbon,19,,,17,7233,2,6530,1441,2374,5089,6970,933,1881
some,2742,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,56009,2020-11-04T10:43:51Z,R+70,Lummis +70,69.5046,republican,Converse,19,,,17,7452,2,6742,1028,1028,5714,5714,0,0
some,1090,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,56011,2020-11-04T10:43:52Z,R+82,Lummis +82,81.51553,republican,Crook,17,,,16,4285,2,4025,372,372,3653,3653,0,0
unknown,5466,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,56013,2020-11-04T10:43:52Z,R+39,Lummis +39,39.1491,republican,Fremont,33,,,31,19066,2,17699,5385,5385,12314,12314,0,0
unknown,1994,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,56015,2020-11-04T10:43:52Z,R+61,Lummis +61,60.56246,republican,Goshen,25,,,24,6492,2,6116,1206,1206,4910,4910,0,0
unknown,862,Merged into voters' home precincts and released with cumulative results,,0,87,87% reported,edison,87%,56017,2020-11-04T10:43:57Z,R+58,Lummis +58,58.30696,republican,Hot Springs,4,,,3,2896,2,2528,527,527,2001,2001,0,0
some,1765,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,56019,2020-11-04T10:43:59Z,R+62,Lummis +62,62.49482,republican,Johnson,16,,,16,4947,2,4826,905,905,3921,3921,0,0
unknown,24234,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,56021,2020-11-04T10:43:59Z,R+32,Lummis +32,31.8917,republican,Laramie,61,,,59,45885,2,44394,15118,15118,29276,29276,0,0
some,3246,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,56023,2020-11-04T10:43:59Z,R+72,Lummis +72,71.66699,republican,Lincoln,15,,,15,10600,4,10306,1460,1460,8846,8846,0,0
all,11960,Released as a precinct as first report of the night,,17039,92,92% reported,edison,92%,56025,2020-11-04T10:43:59Z,R+46,Lummis +46,46.2542,republican,Natrona,46,,,42,37350,4,34265,9208,15142,25057,36162,5934,11105
some,480,None,,377,88,88% reported,edison,88%,56027,2020-11-06T02:43:31Z,R+76,Lummis +76,75.79519,republican,Niobrara,6,,,5,1472,2,1289,156,232,1133,1434,76,301
all,6325,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,56029,2020-11-04T10:44:00Z,R+62,Lummis +62,61.78782,republican,Park,30,,,29,16699,6,16288,3112,3112,13176,13176,0,0
all,1712,Merged into voters' home precincts and released with cumulative results,,1964,96,96% reported,edison,96%,56031,2020-11-04T10:44:01Z,R+63,Lummis +63,63.04527,republican,Platte,13,,,12,5072,2,4860,898,1456,3962,5368,558,1406
all,5912,None,,0,98,98% reported,edison,98%,56033,2020-11-04T10:43:26Z,R+53,Lummis +53,52.96608,republican,Sheridan,29,,,29,16428,6,16065,3778,3778,12287,12287,0,0
some,1936,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,56035,2020-11-04T10:43:26Z,R+65,Lummis +65,65.48874,republican,Sublette,7,,,7,5000,2,4839,835,835,4004,4004,0,0
all,4187,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,56037,2020-11-04T10:43:26Z,R+52,Lummis +52,52.16452,republican,Sweetwater,37,,,31,16489,6,16193,3873,3873,12320,12320,0,0
unknown,7958,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,56039,2020-11-04T10:43:27Z,D+25,Ben-David +25,25.41667,democrat,Teton,19,,,19,14142,2,14400,9030,9030,5370,5370,0,0
some,3219,Merged into voters' home precincts and released with cumulative results,,3823,96,96% reported,edison,96%,56041,2020-11-04T10:43:27Z,R+65,Lummis +65,65.07381,republican,Uinta,10,,,10,9486,2,9145,1597,2588,7548,10380,991,2832
unknown,1323,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,56043,2020-11-04T10:43:28Z,R+67,Lummis +67,66.51423,republican,Washakie,5,,,5,4381,2,3936,659,659,3277,3277,0,0
some,1131,Merged into voters' home precincts and released with cumulative results,,0,87,87% reported,edison,87%,56045,2020-11-04T10:43:28Z,R+77,Lummis +77,76.75094,republican,Weston,8,,,7,3949,2,3441,400,400,3041,3041,0,0
