timestamp,trumpd_percent,bidenj_percent,trumpd_count,bidenj_count,trumpd_delta,bidenj_delta
2020-11-04 01:23:07+00:00,0.407,0.585,429,616,,
2020-11-04 01:28:39+00:00,0.395,0.602,865,1318,436.0,702.0
2020-11-04 01:29:35+00:00,0.506,0.489,1877,1814,1012.0,496.0
2020-11-04 01:32:46+00:00,0.52,0.474,2226,2029,349.0,215.0
2020-11-04 01:40:51+00:00,0.516,0.476,2708,2499,482.0,470.0
2020-11-04 01:41:31+00:00,0.472,0.52,4234,4665,1526.0,2166.0
2020-11-04 01:42:13+00:00,0.463,0.53,4275,4894,41.0,229.0
2020-11-04 01:43:04+00:00,0.439,0.551,4674,5867,399.0,973.0
2020-11-04 01:45:58+00:00,0.475,0.515,5543,6010,869.0,143.0
2020-11-04 01:46:29+00:00,0.475,0.515,5544,6011,1.0,1.0
2020-11-04 01:49:11+00:00,0.398,0.592,7415,11030,1871.0,5019.0
2020-11-04 01:52:02+00:00,0.406,0.58,8644,12348,1229.0,1318.0
2020-11-04 01:55:09+00:00,0.423,0.564,9994,13325,1350.0,977.0
2020-11-04 01:56:07+00:00,0.452,0.533,13928,16424,3934.0,3099.0
2020-11-04 01:57:36+00:00,0.454,0.53,14654,17107,726.0,683.0
2020-11-04 02:00:03+00:00,0.468,0.519,19020,21092,4366.0,3985.0
2020-11-04 02:02:35+00:00,0.462,0.526,26462,30127,7442.0,9035.0
2020-11-04 02:02:42+00:00,0.465,0.523,26840,30188,378.0,61.0
2020-11-04 02:03:00+00:00,0.489,0.499,29816,30426,2976.0,238.0
2020-11-04 02:04:16+00:00,0.491,0.497,30343,30714,527.0,288.0
2020-11-04 02:06:06+00:00,0.498,0.49,32245,31727,1902.0,1013.0
2020-11-04 02:08:52+00:00,0.497,0.49,33216,32749,971.0,1022.0
2020-11-04 02:09:29+00:00,0.538,0.449,46951,39184,13735.0,6435.0
2020-11-04 02:09:46+00:00,0.54,0.447,47422,39255,471.0,71.0
